Project,Statistic,p-Value
laaber_byte-buddy,42.821309505300256,1.12700367472062e-08
laaber_jctools,27.301046611392866,1.7278506109087317e-05
laaber_jenetics,14.965908771059842,0.004772449414073313
laaber_jmh-core-benchmarks,44.79838919759698,4.378791797710466e-09
laaber_jmh-jdk-microbenchmarks,461.05853371258536,1.766108511994841e-98
laaber_log4j2,267.72986548647197,9.842318830736796e-57
laaber_protostuff,30.83234047077899,3.312181916847138e-06
laaber_rxjava,919.9932397940897,7.757182796841365e-198
laaber_squidlib,226.98024019513883,5.897053963931311e-48
laaber_zipkin,47.16732150772332,1.4073198899739564e-09
