Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#,"(5, 100)",0.2975019916646915,500,7.471270487342167,7.214925110668987,7.9738366008511825
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool#,"(5, 100)",0.2883675174280598,500,992044.8028085538,965246.5173745176,1012444.2282137424
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool#,"(5, 100)",0.2603482728295375,500,894643.5123292292,866510.8271715561,923564.7940904892
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,"(5, 100)",0.3427133896911802,500,5502660.923076924,5362976.800855616,5595229.361340783
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy#,"(5, 100)",0.3819360279811623,500,7.318951545505987,7.274723816031019,7.367772152867881
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator#,"(5, 100)",0.2969784338684612,500,893508.4792357092,869304.5680424967,903418.6811201444
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline#,"(5, 100)",0.32785279661243943,500,37.185928268748285,36.96995373121738,37.56461469667611
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 100)",0.31057957271822323,500,2381916.6476190477,2317497.5488527976,2478171.3563324567
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.baseline#,"(5, 100)",0.06628822521123338,500,5.063761782311581,5.057932992129372,5.06866083358476
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.2590307850237081,500,12.110344609204517,12.076085926616265,12.154722743955793
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool#,"(5, 100)",0.33465956444428974,500,6232763.627329193,6128315.31707317,6352014.582278481
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist#,"(5, 100)",0.3998380182137018,500,1281599.0153846154,1246767.2418952622,1315153.22453835
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool#,"(5, 100)",0.2968600757254709,500,3561763.5302491114,3502824.7272727275,3749504.4794007502
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool#,"(5, 100)",0.28660193298471914,500,1017152.0445084698,991675.7846849998,1035719.229015544
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib#,"(5, 100)",0.09908588562838348,500,1164882.7785765384,1153288.8683602773,1179072.3117661867
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.05763462545466293,500,1194413.7266724976,1184654.4217953258,1202256.186185319
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 100)",0.2979057871407893,500,892085.7805530776,875334.8371278461,906411.7497733457
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool#,"(5, 100)",0.2966708621392454,500,3843225.0114942533,3734879.52238806,3939586.4188976367
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.34145625615184866,500,156374.66201133217,155577.2101573454,157339.10872990862
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.08639701598454963,500,113252.12439060154,112639.50405106111,113903.7736193519
