Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#,"(5, 100)",0.07776875220377223,500,7.471270487342167,7.216408199127454,7.972491992636451
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool#,"(5, 100)",0.0717141226224499,500,992044.8028085538,965094.3011583012,1012819.5560088436
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool#,"(5, 100)",0.0634645148328462,500,894643.5123292292,866845.6385432322,922004.0117673067
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,"(5, 100)",0.08275056625630146,500,5502660.923076924,5363633.913155081,5591566.301675978
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy#,"(5, 100)",0.09719062366363426,500,7.318951545505987,7.274723816031019,7.368267876701611
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator#,"(5, 100)",0.07178266774048805,500,893508.4792357092,868759.2582180144,903352.6491573572
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline#,"(5, 100)",0.0870724657419591,500,37.185928268748285,36.9816449071765,37.554060898183295
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 100)",0.0756247459938619,500,2381916.6476190477,2318773.1600928074,2478171.2475247523
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.baseline#,"(5, 100)",0.015318114427385208,500,5.063761782311581,5.0579854065023095,5.06866083358476
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib#,"(5, 100)",0.07987614921805482,500,29.87379572078644,29.591688649505798,30.20246913580247
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized#,"(5, 100)",0.08549646462154929,500,7.1718520080541275,7.143679396404148,7.196895739343633
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline#,"(5, 100)",0.05270019996927245,500,37.34033673004723,37.15386788970228,37.54069272409388
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib#,"(5, 100)",0.07019577490945902,500,809231.3439948347,760852.5527464566,860424.3717728055
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.01624901774008396,500,5.0625348836067054,5.058127018299246,5.0686477755196435
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool#,"(5, 100)",0.08106789308637853,500,6322935.949685535,6143874.355828221,6390699.731974522
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized#,"(5, 100)",0.07089466709881942,500,771688.5769579103,758236.0780825486,780848.7261538632
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist#,"(5, 100)",0.06791075253778972,500,38.472493928330806,36.62932912066924,39.255182176550505
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.0662308283416646,500,672460.8422380519,657807.676795676,692794.4692147842
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 100)",0.09570042627204423,500,7.213387983330861,7.198370196963105,7.229503347506707
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.06410272854088278,500,12.110344609204517,12.074642657853465,12.15472134396494
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool#,"(5, 100)",0.08263181002715883,500,6232763.627329193,6132237.560377076,6357201.207088607
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist#,"(5, 100)",0.10043906249718364,500,1281599.0153846154,1248543.4239219131,1314236.8587902344
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool#,"(5, 100)",0.07329051550215614,500,3561763.5302491114,3502724.475524476,3749504.4794007502
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool#,"(5, 100)",0.07020678725574145,500,1017152.0445084698,991788.4058574107,1035436.6597449875
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib#,"(5, 100)",0.02378924121517986,500,1164882.7785765384,1153725.1916859122,1178295.9340400472
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.013182773689522358,500,1194413.7266724976,1184695.4667242358,1201895.454225678
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 100)",0.0710434462394472,500,892085.7805530776,875359.9439579685,906381.2731288641
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool#,"(5, 100)",0.07033182098439268,500,3843225.0114942533,3734604.4179104483,3946265.264573154
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.08244341636095667,500,156374.66201133217,155577.2101573454,157338.31491061428
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.02023924865108179,500,113252.12439060154,112638.2424648359,113881.89209028811
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator#,"(5, 100)",0.08292251509693038,500,5486453.154626794,5322141.957446809,5551900.444444444
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 100)",0.05919749721020195,500,31.79749388706547,30.98817747950741,32.232068187175244
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist#,"(5, 100)",0.07841644611621514,500,15.606792277661196,15.555791549723132,15.706666930877589
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator#,"(5, 100)",0.07052653339868235,500,2454580.8353808355,2394327.578947368,2524263.434343435
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline#,"(5, 100)",0.014253902309775156,500,33.81761286405825,33.7241365063626,33.943123741675706
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib#,"(5, 100)",0.017052782332577968,500,1618171.857605178,1615443.3344103396,1623392.4155844157
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib#,"(5, 100)",0.016353690904978648,500,5.846960384259409,5.837830347920288,5.857288935767394
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist#,"(5, 100)",0.023995084964470732,500,831047.0756442228,823772.9168277215,837054.1425970417
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist#,"(5, 100)",0.028330467829387168,500,232953.0494384552,228834.15483279893,237065.3769559033
