Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jctools#org.jctools.jmh.collections.ConcurrentSetThroughput.rw#implementation=NonBlockingHashSet&readRatio=75&tableSize=100000,"(5, 100)",0.010705389224646073,500,168.9020759971857,168.1161390985951,169.94328963079337
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr#qCapacity=132000&qType=SpmcArrayQueue,"(5, 100)",0.01419707319824022,500,130.5115115097235,129.5541615609166,131.42672479057762
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=SpmcArrayQueue,"(5, 100)",0.015188165723757101,500,2433.7382496525224,2414.7747379308785,2452.375265212602
jctools#org.jctools.jmh.collections.ConcurrentSetThroughput.rw#implementation=SingleWriterHashSet&readRatio=75&tableSize=100000,"(5, 100)",0.01559378842983937,500,176.19276961385157,174.99090476453586,177.7933440710331
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs#limit=1,"(5, 100)",0.044167331888496926,500,79.50592412144005,77.84646539200894,81.40464731808085
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs#limit=1,"(5, 100)",0.04888180938338825,500,116.2815956886262,113.47463506142857,119.21160874037325
jctools#org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops#burstSize=1&qCapacity=132000&qType=MpmcArrayQueue,"(5, 100)",0.03363730374224842,500,55.95094925378142,55.124074971224026,56.99575683962656
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=MpscArrayQueue&warmup=true,"(5, 100)",0.010795001265962742,500,16075.436963991064,15990.30742464292,16159.79972328678
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=128000,"(5, 100)",0.019705986839386982,500,41.61618834033873,41.28191869631665,42.080847300625976
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline#limit=1,"(5, 100)",0.011627147884131881,500,38.82500643839977,38.61757466072987,39.05482021140242
jctools#org.jctools.jmh.collections.SetOps.remove#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,"(5, 100)",0.014567996130113166,500,36.9301882268386,36.69377715888028,37.25000098434145
jctools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet,"(5, 100)",0.017247466450435775,500,39.28351481350178,38.989143606183,39.65900881637822
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=SpmcArrayQueue,"(5, 100)",0.008280276920302946,500,12324.340780446435,12277.585111412998,12378.990178512819
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs#limit=10000,"(5, 100)",0.05488447521143688,500,2731.0559605530875,2663.2495076918212,2815.0987391779713
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs#limit=1,"(5, 100)",0.05719091894766041,500,2541.1303118932246,2480.0419320986816,2622.6217271310907
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=1,"(5, 100)",0.019678775135468583,500,39.34474197875417,39.07583288052491,39.84331437648309
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=1,"(5, 100)",0.009955650869557884,500,37.6200940518072,37.44899307683887,37.81086340039847
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline#limit=1,"(5, 100)",0.009339880268799707,500,39.62394511421792,39.456222742322225,39.819368900334815
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=SpmcArrayQueue,"(5, 100)",0.0031637913225892726,500,2.007857942838679,2.005199605739075,2.0115657309669692
jctools#org.jctools.channels.spsc.QueueThroughputBaseline.tpt#qCapacity=128000&qType=SpscArrayQueue,"(5, 100)",0.0222229843332488,500,110.1681045730067,108.90160300281465,111.40781480834387
jctools#org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt#capacity=132000&type=Spsc,"(5, 100)",0.051100959883131424,500,52.464743677502284,51.17034026988414,53.776536937656594
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,"(5, 100)",0.01774533804424309,500,2598.6771246773583,2576.2115650327232,2621.484996905079
jctools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,"(5, 100)",0.015504935380118167,500,38.66003468205763,38.409267324608,39.001315922592795
