Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jctools#org.jctools.jmh.collections.SetOps.remove#keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet,423,0.0074579843800840085,0.035784535132461985,0.003058804982445549
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs#limit=1,368,0.0621098744585587,0.09144895934135977,0.02546499892042076
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg#limit=128000,328,-0.06478633646376496,-0.05071528645799314,-0.08045803341233147
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=SpscArrayQueue,430,-0.007798266533618949,-0.0010563981221482681,-0.01397697177184725
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=MpscArrayQueue,490,-0.12089164704721615,-0.0814472549915919,-1.1140293394877026
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=1,209,0.0032557132929081803,0.00980084731057168,0.0019267856367798882
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=SpscArrayQueue,272,0.0012169244575479276,0.02303167200832078,-0.0006102881838896763
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=MpmcArrayQueue,266,-0.00113445302343517,0.0036596797222381156,-0.03328523773521554
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgs#limit=10000,461,0.03400656218820815,0.15828986751106133,0.0036916759971221914
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=SpscArrayQueue,320,0.00025104119789162905,0.0027153371935059907,-0.0010124776979863555
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline#limit=10000,423,0.008646964861341174,0.03238529161036608,0.003989898698488793
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=MpmcArrayQueue,368,-0.013275989752258143,-0.014132459360980364,-0.021823085161749915
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr#qCapacity=132000&qType=MpscArrayQueue,328,0.010754415143111594,0.01850059459469068,0.0013789987173880571
jctools#org.jctools.jmh.collections.SetOps.add#keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet,430,0.0016067237590414595,0.07208862373008612,-0.01301682020647034
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs#limit=128000,490,1.68325524469713,254.7384195080711,-1.7372332521184406
jctools#org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll#,209,0.0037370717051645763,0.05865233803640832,-0.0002013370017335906
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor#qCapacity=132000&qType=MpmcArrayQueue,272,0.04930865287848678,0.05239993578335873,0.040045651381802896
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline#limit=1,266,0.0031497181800400112,-0.02723975607675656,0.006751154896635443
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs#limit=128000,461,-0.20222047654858302,-0.10078315192472374,-0.38393551255937464
jctools#org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt#qCapacity=132000&qType=MpscArrayQueue,320,-0.053305108776446807,-0.05093390683719633,-0.057867238921685916
jctools#org.jctools.jmh.collections.ConcurrentSetThroughput.rw#implementation=NonBlockingHashSet&readRatio=75&tableSize=100000,423,-0.004135113558606419,0.0242575964901209,-0.009520913066154548
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr#qCapacity=132000&qType=SpmcArrayQueue,368,-0.00969435034107187,-0.003723949006649385,-0.018362389541744423
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=SpmcArrayQueue,328,0.0008949714794523706,0.006613739869399589,-0.004443697534071346
jctools#org.jctools.jmh.collections.ConcurrentSetThroughput.rw#implementation=SingleWriterHashSet&readRatio=75&tableSize=100000,430,0.00298937705097393,0.012459934881652323,-0.00023451015996549333
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs#limit=1,490,0.2494301128870725,0.8050798238695164,-0.05667176284205748
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs#limit=1,209,0.0009347053916632833,0.00643846411537526,-0.005465572758612403
jctools#org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops#burstSize=1&qCapacity=132000&qType=MpmcArrayQueue,272,-0.0014230812236150738,0.046346422981705666,-0.008584033704878044
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=MpscArrayQueue&warmup=true,266,-0.00856137153317398,-0.005517303890902575,-0.011635902566125827
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=128000,461,0.03418842857440693,0.4414024564199598,-0.005349494252773389
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline#limit=1,320,-0.005699041039642144,0.005590052607140727,-0.009874268220402709
jctools#org.jctools.jmh.collections.SetOps.remove#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,423,0.0327395362742896,0.09499794659642488,0.024334385927296392
jctools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet,368,0.0005087911869763427,0.055597481062049044,-0.009925948994730106
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=SpmcArrayQueue,328,0.002846432417504828,0.00834729408115991,0.001076263143796949
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs#limit=10000,430,-0.044242143115583284,0.09895221489178185,-0.05462303259572579
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs#limit=1,490,-0.020459160263470232,0.17764170908144628,-0.06693757814970745
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=1,209,0.0026949157919097405,0.0347127823281273,-0.001636804129239382
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=1,272,0.015366865128828051,0.020553130353500208,0.013397198437611231
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline#limit=1,266,-0.0002943938176885742,0.006982922902205078,-0.0021186618042417405
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=SpmcArrayQueue,461,0.011679769342412072,0.08878650901338304,0.0017795535426062983
jctools#org.jctools.channels.spsc.QueueThroughputBaseline.tpt#qCapacity=128000&qType=SpscArrayQueue,320,-0.006193413244087672,0.0027339934004871292,-0.015556849565218212
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg#limit=128000,423,0.013229121571086785,2.0711410292409407,-0.1182490191944753
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=1,368,0.005757947353653691,0.02719537739425972,-0.0012528899204307744
jctools#org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove#implementation=ConcurrentHashMap&readRatio=50&tableSize=100000,328,0.03457406838033377,0.08277071585505943,0.014696715875381796
jctools#org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal#qCapacity=132000&qType=SpscArrayQueue,430,-0.1582626113921457,-0.24484301860426397,-0.12493504078640572
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg#limit=10000,490,0.08208545653790984,0.9009361026164249,-0.024446387887989307
jctools#org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops#burstSize=1&qCapacity=132000&qType=SpmcArrayQueue,209,0.014287010318668695,0.048130677550305756,0.010000588880686546
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=1,272,0.007280044618688511,0.012483378345042404,0.0047829317426004055
jctools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=SpscArrayQueue,266,0.00020104304803208732,0.0018928351902537202,-5.975067177856422e-05
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs#limit=1,461,0.013470525867487032,0.08343629124967054,-0.011312418507700485
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=10000,320,0.006711961088849398,0.018477718076540115,0.0017543666269217327
jctools#org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.busy#capacity=32000,423,0.0026840288520933904,0.06325356256224465,-0.033758440508522065
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs#limit=10000,368,-0.013764967895256103,-0.018273294675087804,-0.013326591040732128
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline#limit=10000,328,-0.0034869177749642416,0.0021855057180404916,-0.005844530288826643
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr#qCapacity=132000&qType=SpscArrayQueue,430,-0.051929120440770665,-0.026591276161241222,-0.06655924324406201
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs#limit=1,490,0.007195884827115688,0.09406425838274937,-0.02849113876220775
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=MpscArrayQueue,209,0.0034632913075053613,0.0049870993289108335,2.1271727036411977e-05
jctools#org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt#capacity=132000&type=Mpsc,272,-0.02271333048145352,-0.017350556942640216,-0.028317423087535095
jctools#org.jctools.jmh.baseline.BaselinePingPong.pingpong#,266,-0.0015975315474725993,-0.004727509399200459,-0.002762736325049802
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=MpmcArrayQueue&warmup=true,461,-0.04723855841788801,-0.014581053934424455,-0.13109107802201692
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg#limit=128000,320,0.04017874307186619,0.2512329803948525,-0.025495824254729703
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=SpmcArrayQueue,423,0.010629626756546889,0.01402722741356094,0.008259961080909182
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr#qCapacity=132000&qType=MpmcArrayQueue,368,-0.06407502157166542,-0.0579932980316472,-0.07666828289174414
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=1,328,0.0067183165019992315,0.011939110577088366,0.004801075120528948
jctools#org.jctools.jmh.collections.SetOps.sum#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,430,-0.009653223863061687,-0.009310526425001799,-0.02152644672573163
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg#limit=10000,490,0.07022779534649412,0.2792345969637256,-0.013006145938275563
jctools#org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt#qCapacity=132000&qType=MpmcArrayQueue,209,-0.13832683729403908,-0.11247108408870748,-0.1681022685972866
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor#qCapacity=132000&qType=MpscArrayQueue,272,-0.42938991441792107,-0.4165759036281265,-0.433240066012409
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=1,266,-0.002117189058267242,0.013913970506450272,-0.005738931200387728
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000,461,0.04246000572455606,0.11327661423495726,0.021187536934957063
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr#qCapacity=132000&qType=SpmcArrayQueue,320,0.006830203836829668,0.012528844301711113,-0.002215885475965495
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr#qCapacity=132000&qType=SpscArrayQueue,423,-0.035146245203768384,0.02163322255781646,-0.048712645309131906
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs#limit=128000,368,0.09997360813844855,1.355808604522589,-0.039189271212525585
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=MpscArrayQueue,328,-0.048501029585797724,-0.04288617900608307,-0.059087563862005844
jctools#org.jctools.jmh.latency.spsc.RingCqBurstRoundTripWithGroups.ring#,430,0.0004939052084543212,0.012659339368917905,-0.0030132848950066814
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline#limit=10000,490,0.02360870972234709,0.5479477260841306,-0.03185352380400928
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs#limit=1,209,0.0013712743949781834,0.026591830412772216,-0.0047323521101227065
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=MpmcArrayQueue,272,-0.004218889307643051,-0.0023511058397123912,-0.006338827782038791
jctools#org.jctools.jmh.throughput.IntrusiveQueueThroughputBackoffNone.tpt#,266,0.004451455191413973,0.011353372473750994,-0.0007636971668867466
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000,461,-0.000994359554360176,0.16606171952426688,-0.02597960684427855
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor#qCapacity=132000&qType=SpmcArrayQueue,320,-0.016817777177330615,-0.006918570803733276,-0.024153431498983424
jctools#org.jctools.jmh.collections.SetOps.sum#keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet,423,-0.006226058734942956,-0.005761725590499766,-0.007615584882363702
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline#limit=128000,368,0.0644572996457783,0.08740120290853515,0.04381150635174442
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=SpmcArrayQueue,328,-0.002712295811209068,-6.639500585085666e-06,-0.00476603692687498
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs#limit=10000,430,0.006965992076132327,0.12265912973461059,-0.013324194700379799
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgs#limit=1,490,-0.0026166404981930566,0.051949972696839014,-0.028180845028790827
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgsBaseline#limit=128000,209,0.006124497877539776,0.008883336594496095,0.004780297139325439
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=MpscArrayQueue,272,-0.012943149461246809,-0.007615455362183347,-0.01850915503080017
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpscArrayQueue&warmup=true,266,0.002567441836136719,0.00378253156130918,0.0018980108196889438
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg#limit=1,461,0.12418785938458811,0.8773854151990208,0.010658694242489195
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg#limit=1,320,0.033836181659709905,0.1527242361169799,0.007620289760100461
jctools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=MpscArrayQueue,423,0.0007113743504411573,0.011863512129561302,-0.0006950837873619075
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArg#limit=10000,368,0.007687504071035647,0.02437149496133236,0.0030586432820456496
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArg#limit=1,328,0.004653318219666771,0.01745541701395764,-0.011937335044425887
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg#limit=1,430,-0.21214514842130278,-0.16891408656734883,-0.23473849824971396
jctools#org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal#qCapacity=132000&qType=MpscArrayQueue,490,-0.31623305110817956,-0.21865504597913388,-0.375026551752945
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=128000,209,0.014090605005399706,0.017843615933546667,0.010854025086499885
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline#limit=1,272,0.02130837044383729,0.024220432100837994,0.019312338176239435
jctools#org.jctools.jmh.collections.SetOps.add#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,266,-0.004376563641242967,0.0031563886045293662,-0.006704082771456765
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg#limit=1,461,0.11748765269465682,0.4713844481975903,0.011180981211880771
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline#limit=1,320,0.0027306948415803524,0.01741771535134868,-0.0017861466994880816
jctools#org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt#capacity=132000&type=Spsc,423,-0.13382282011778615,-0.09716476133964318,-0.13960986470716336
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,368,-0.021771061107882125,-0.011398921165592036,-0.030419395322373973
jctools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,328,0.004971278157568316,0.03143813923536558,-0.00011467997777361026
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr#qCapacity=132000&qType=SpmcArrayQueue,430,0.035244092087348376,0.02821849915443002,0.03933077328860032
jctools#org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.backoffOneNano#capacity=32000,490,0.2631604606070069,1.524300677079836,-0.059112053088603685
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline#limit=1,209,-0.011843563754609725,-0.01031228614252048,-0.012566955518445368
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=SpscArrayQueue,272,-0.01204430217400488,-0.006927478361059171,-0.01623534477270536
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=SpscArrayQueue,266,0.015247536906955645,0.017016964441146212,0.01357088357286188
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs#limit=10000,461,0.014302476284408368,0.09237962786634725,-0.019412222730263003
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=10000,320,0.005208863820525122,0.019468908176991623,-0.0008833459901786116
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=MpscArrayQueue,423,-0.0032268773460769457,0.0007862556224797739,-0.0037345163779442
jctools#org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove#implementation=NonBlockingHashMap&readRatio=50&tableSize=100000,368,0.003057378533050308,0.014514687632553178,0.00012603033386754763
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=MpmcArrayQueue,328,0.0027967614897969474,0.003021457603999585,-0.0015917473701664996
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs#limit=128000,430,-0.03250951204525254,-0.2166889266071024,-0.016717697257365695
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=1,490,0.05604445093701636,0.8477223943484555,-0.044708222755698274
jctools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=MpmcArrayQueue,209,-9.315413379278623e-05,0.0002296078662190519,-0.00019400249178660138
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr#qCapacity=132000&qType=MpmcArrayQueue,272,0.003292570253525663,0.019964798576585212,-0.02047351996539143
jctools#org.jctools.jmh.counters.CountersBenchmark.rw#stripes=0,266,0.005984063440503659,0.007603214506120022,0.004381991914978208
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=128000,461,0.014423122015410381,0.102809927797738,-0.007450032794725748
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=MpmcArrayQueue,320,-0.030374074418929916,-0.03230404682773026,-0.027578837428172708
jctools#org.jctools.jmh.latency.spsc.RingBurstRoundTripWithGroups.ring#,389,-0.03556632880217768,-0.020516341567661765,-0.05759895417510681
jctools#org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops#burstSize=1&qCapacity=132000&qType=MpscArrayQueue,408,0.011971996776461411,0.32591890627467124,-0.011854333907596498
jctools#org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt#qCapacity=132000&qType=SpscArrayQueue,244,-0.007126660001089448,0.00044386507701823233,-0.0124308360219577
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=MpmcArrayQueue,336,-0.00505220913235208,0.002274037816222438,-0.013029740187709814
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr#qCapacity=132000&qType=MpscArrayQueue,368,0.00732394982459956,0.018510449998978364,-0.00447171016223522
jctools#org.jctools.jmh.collections.ConcurrentSetThroughput.rw#implementation=ConcurrentHashSet&readRatio=75&tableSize=100000,454,0.02621533589517527,0.09216927037228288,-0.0007991644056204551
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr#qCapacity=132000&qType=MpmcArrayQueue,445,-0.10269800920919202,-0.08701500081324776,-0.16351005789958892
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=10000,472,0.06810454665285927,0.41900709520797363,0.011880012748498824
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs#limit=128000,172,0.0446405917260282,0.08372770190471708,0.016351012103566407
jctools#org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal#qCapacity=132000&qType=MpmcArrayQueue,374,0.08667125302154097,0.042782107922177896,0.10929001250197465
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=MpscArrayQueue,389,-0.004525379960257263,0.004405178959732311,-0.014844269166128642
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr#qCapacity=132000&qType=SpscArrayQueue,408,-0.04694416839882796,-0.05380152682712837,-0.050687571204794266
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArg#limit=1,244,0.012652585719936821,0.06769524955149249,-0.005702773025369643
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs#limit=1,336,0.008445130446947169,0.0205753088504583,-0.0014527130146112601
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs#limit=1,368,-0.004792546039549268,0.02448842071494438,-0.023543785675522694
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=1,454,0.02342252067269721,0.12041674619531614,0.0034557226686278792
jctools#org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt#qCapacity=132000&qType=SpmcArrayQueue,445,0.061586426785154906,0.05448238915650367,0.05971379874287542
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=10000,472,0.044498692366338466,0.15917700975804344,0.01198740269169264
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline#limit=128000,172,0.008094594377229364,0.011730390346428528,0.006328256059378355
jctools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=SpmcArrayQueue,374,0.0007627449720890048,0.0025217288347274152,0.00015897773183410236
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr#qCapacity=132000&qType=MpscArrayQueue,389,-0.2220255610144882,-0.17000228112688487,-0.26981963114639046
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor#qCapacity=132000&qType=SpscArrayQueue,408,0.011220929066692482,0.0033147182711081636,0.008435382197893556
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=10000,244,0.005981719348105179,0.03654717665552293,-0.0013018544638215832
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=SpmcArrayQueue,336,-0.005552285240024264,-0.00048182182345340784,-0.012401155653309874
jctools#org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops#burstSize=1&qCapacity=132000&qType=SpscArrayQueue,368,0.030536440151903252,0.23240672181908356,-0.013335001854845817
jctools#org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal#qCapacity=132000&qType=SpmcArrayQueue,454,-0.32604383583175434,-0.4340809216666412,-0.2817152340908088
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=SpscArrayQueue,445,0.009337817558543385,0.02784871814767886,-0.012304919660194357
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=1,472,0.04761802493835395,0.30985771577839677,0.0005052995183638195
