Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jenetics#io.jenetics.util.ThreadIDPerf.getThreadId#,"(1, 77)",0.046611221330573875,77,37.08424073989704,36.9476513736389,37.34777853725222
jenetics#io.jenetics.util.SeqPerf.array_set#,"(3, 44)",2.217142545029572,132,0.00755178607628635,0.0064638256613878,0.0092400092400092
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort160#,"(2, 86)",0.018568260870761626,172,16779.24453692988,16667.92470192965,16938.98706852663
jenetics#io.jenetics.util.SeqPerf.arrayList_contains#,"(1, 70)",0.03331771307652667,70,563.3907472371038,558.0201005025126,615.6660505237214
jenetics#io.jenetics.util.SeqPerf.array_forLoop#,"(1, 10)",9.374305737720194,10,0.008887237091624551,0.0015829941203075,0.0215472364311258
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80#,"(3, 97)",0.05312182840674351,291,52.828183293936725,52.42843776409514,53.45572489486712
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20#,"(3, 76)",0.023571268192040747,228,45.07481542983889,44.58772737738891,45.40923590860257
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10#,"(3, 78)",0.02106691441624749,234,40.79565650184888,40.62085396617771,40.94105989445292
jenetics#io.jenetics.util.SeqPerf.array_get#,"(3, 13)",5.796035307622957,39,0.0057318846779023,0.004198560493545,0.0173652694610778
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40#,"(4, 45)",0.052058454148940135,180,51.356523852939276,49.93273025482888,52.492485590738994
jenetics#io.jenetics.util.SeqPerf.arrayList_forLoop#,"(1, 77)",0.017999306563730527,77,1.0039156118143462,1.0034096279792049,1.0046871815773388
jenetics#io.jenetics.util.SeqPerf.mseq_set#,"(3, 44)",3.9612508346664224,132,0.0061145607021361,0.005385789313675201,0.0078409144584573
jenetics#io.jenetics.util.SeqPerf.mseq_contains#,"(2, 86)",0.017945124284825004,172,714.3517857142857,714.2532142857143,715.1602288984266
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160#,"(1, 70)",0.06216258806550613,70,70.18115562667029,68.08656767279548,70.94042813896498
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort250#,"(1, 10)",0.055785063326878194,10,19977.48287546537,19625.915118944125,21089.832396568483
jenetics#io.jenetics.util.SeqPerf.arrayList_set#,"(3, 97)",1.5733736403450673,291,0.0062221396731054,0.005594858279003,0.0069367369589345
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort250#,"(3, 76)",0.015519761009489208,228,38176.34586025037,37800.84004922032,38585.29128014842
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40#,"(3, 78)",0.017571013095278806,234,50.12586227469765,49.64939665764726,50.770783279798565
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250#,"(3, 13)",0.08411576482238364,39,130.69886971131814,127.89949796796556,134.43453485636616
jenetics#io.jenetics.util.SeqPerf.arrayList_forEachLoop#,"(4, 45)",0.01526568732871729,180,1.005631395445711,1.0048934475918525,1.006456820016142
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort160#,"(1, 77)",0.01751648346241143,77,10808.013129480869,10724.206379790194,10892.45689917758
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15#,"(3, 44)",0.03964650402087528,132,42.92724674357561,42.46103482756581,43.474682005995305
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort320#,"(2, 86)",0.01602093429859283,172,61836.91878336074,61315.852211008045,62431.60800000001
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort80#,"(1, 70)",0.0403918834220585,70,4557.8794213736,4458.563586159487,4678.999920095147
jenetics#io.jenetics.util.SeqPerf.mseq_forLoop#,"(1, 10)",0.18620836810537436,10,1.004700353797488,1.0030566670736585,1.0120688397870636
jenetics#io.jenetics.util.SeqPerf.array_copy#,"(3, 97)",0.7925366924617945,291,0.0428255319148936,0.0198604226454474,0.0508238017429194
jenetics#io.jenetics.util.SeqPerf.arrayList_copy#,"(3, 76)",1.6584023461659625,228,0.04778285640420015,0.017230257198779565,0.0636075598532009
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250#,"(3, 78)",0.051534936379833585,234,68.39587462603585,66.87230178500067,69.17627626931363
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort320#,"(3, 13)",0.02535524841585033,39,26825.84509614352,26663.12286125473,27034.859277708598
jenetics#io.jenetics.util.SeqPerf.mseq_get#,"(4, 45)",0.017440525225428532,180,1.0041231538747508,1.0037496834332136,1.0047977835591446
jenetics#io.jenetics.util.SeqPerf.mseq_copy#,"(1, 77)",5.779842523031075,77,0.0504313205043132,0.031171712833727,0.0846797808936507
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160#,"(3, 44)",0.032583208030149594,132,100.2319944968592,99.09544019494547,101.74595505389986
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort80#,"(2, 86)",0.011645259302651065,172,5699.6959513526945,5665.635571628411,5726.554957181955
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80#,"(1, 70)",0.060904451817870006,70,62.65977801718675,62.06217718724125,64.06795771870316
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15#,"(1, 10)",0.13815930584191283,10,42.128454522978686,41.10624241125634,45.45715483723413
jenetics#io.jenetics.util.ThreadIDPerf.getThread#,"(3, 97)",0.02401523037358892,291,34.7309137454065,34.64524731182796,34.84999586879287
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10#,"(3, 76)",0.022389334690594096,228,43.83888133768227,42.9405111797314,44.10366500373179
jenetics#io.jenetics.util.SeqPerf.arrayList_get#,"(3, 78)",0.006448003525413825,234,1.0038504168143234,1.0034960333467795,1.0041191700343821
jenetics#io.jenetics.util.SeqPerf.mseq_forEachLoop#,"(3, 13)",0.08393739571366694,39,1.0078415639361005,1.0049463538825243,1.01081573197378
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20#,"(4, 45)",0.03777480673782995,180,44.535895515826866,43.66121484022584,44.88538395153641
