Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.compiler.InnerClassNullRef.refIsNull#,423,0.004806077371773544,0.01224152713514364,-0.0007374926136068717
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.tasks.PrimesFilter.t100.Bulk.bulk_seq_inner#,368,-0.22033099895019262,-0.239518701151363,-0.19883714013030013
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.AllMatch.par_invoke#size=100000,328,0.01798458047356144,0.0638052055787602,-0.009298357448493713
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.Filter.seq_chain_123#size=100000,430,0.03162959444739091,0.06364695780129814,-0.004349643886126002
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.chain.ChainAnonymCap4.call4#,490,0.0733326667954256,0.3490052683234702,-0.017007502924919052
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertReturnReference.test_1_Convert#,209,0.007696294948227813,0.016074261966180003,0.0034015326680770608
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.KeyPairGeneratorBench.generateKeyPair#algorithm=DiffieHellman&keyLength=2048,272,0.0017933788966807418,0.003965799042497357,0.0006179663640150284
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringIndexOf.advancedWithShortSub1#,266,0.005280069821160232,0.006585070619926047,0.0041556442379152144
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testSinglePutShort#size=1000,461,0.20516320366216112,0.34875477609345695,0.08166221888064443
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringUpperLower.upperToUpper#,320,0.017513104986300675,0.027825464306200042,0.009538826622876617
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyAligned.testInt#length=5,423,0.0009710107594068312,0.003364684177696565,-0.0010409808568071495
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.SignatureBench.verify#algorithm=SHA256withDSA&dataSize=1024&keyLength=1024,368,0.006515702189742687,0.009454755061856631,0.0042768383632399145
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lang.Throw.throwWith32Frames#,328,0.006553465980833894,0.011769341211505302,0.002442014082865129
