Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
log4j2#org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytes#,423,-0.17490898356244847,-0.13601922218709642,-0.2153014573695427
log4j2#org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove#count=5&threadContextMapAlias=Default,368,0.02302855625269234,0.05995709747636738,5.531895069125165e-05
log4j2#org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.testBaseline#,328,0.0015460428754463182,0.012009080901175775,-0.005073972975979224
log4j2#org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode#,430,-0.03700107655060166,-0.020878392082255053,-0.03869803010573197
log4j2#org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createSerializableLogEventProxyWithoutException#,490,1.423151843022529,4.905437931694381,-0.05152715394999143
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params#configFileName=perf5AsyncApndNoLoc-noOpAppender.xml,209,0.012394234397719679,0.02331084033244953,0.006668251240041229
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params#configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml,272,0.04420170360067418,0.06160935601794495,0.03556022191836926
log4j2#org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.byteArrayMCDEx#,266,0.013798514691388993,0.02639453297691839,0.00429265904914609
log4j2#org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatDouble#,461,0.1826083682351129,0.43306953540281834,0.015693832220893458
log4j2#org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringNewInstance#,320,0.05654634912815989,0.09648123461343332,0.02379047037290619
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params#configFileName=perf5AsyncApndNoLoc-noOpAppender.xml,423,-0.025712402634780324,0.0037309482546799954,-0.04435671529624927
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput7Params#,368,0.05281652508123089,0.08740399284614758,0.028042371319638056
log4j2#org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.logbackFile#,328,0.010238598079947316,0.01960224774694442,0.003698483686223841
log4j2#org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties#count=500&threadContextMapAlias=Default,430,0.019746086632335864,0.13113452807352408,-0.037307433106704216
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple#configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml,490,0.296933012093126,0.6040621227777899,0.07938855727887258
log4j2#org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringObjectPool#,209,0.004188714151372557,0.010339303117220451,-0.0007689565365145675
log4j2#org.apache.logging.log4j.perf.jmh.UnboxBenchmark.boxLong#,272,0.11959638875788343,0.2845378745531062,0.044334740602716256
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params#configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml,266,0.020854726360520322,0.034051241121238245,0.011709650802965706
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params#configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml,461,0.07857042530690331,0.16876526518349097,0.012615576362083358
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params#configFileName=perf5AsyncApndNoLoc-noOpAppender.xml,320,0.02012349900285982,0.051353385340877855,-0.0011467661454463676
log4j2#org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataTriConsumer#count=500&length=20,423,0.0012678775679675954,0.003669244886305162,-0.0051441881985680015
log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params#,368,0.011204476297221004,0.04235489589777338,-0.010704854218260373
