Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field#,"(5, 100)",0.2936685819523031,500,101.1884971469569,100.60431398097057,101.6078842220793
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,"(5, 100)",0.23488694654216127,500,189.23531485030085,188.64170352355248,189.93070815727677
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,"(5, 100)",0.07869140787863246,500,166869.88207783533,166646.22118432025,167000.70674288174
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1,"(5, 100)",0.2633967279889377,500,87.86745693711737,87.44249519608422,88.19920144737662
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,"(5, 100)",0.06980437563954381,500,1698.2258015750958,1688.311718202742,1704.5684280486857
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field#,"(5, 100)",0.36455827598388674,500,56.27363873383901,56.0795051844074,56.45824461793234
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,"(5, 100)",0.3446245912405947,500,49.35354625100551,49.12167653400599,49.520750188484456
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,"(5, 100)",0.25304992215258343,500,168.63573519188827,168.1900692187648,169.040765563463
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field#,"(5, 100)",0.2368617579489181,500,132.88396642027064,132.16295466618394,133.6360626764383
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,"(5, 100)",0.24620909210210795,500,57.700876470938326,56.94516792323508,62.076121940851394
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,"(5, 100)",0.2886421721733958,500,87.16107197197599,86.92494681572626,87.47893175862951
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=10000,"(5, 100)",0.2572966153841752,500,11055.87023737115,11005.776471510819,11098.010687251812
protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,"(5, 100)",0.1733197825988148,500,149.14734936194324,148.7513332951273,149.6996227533557
protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10,"(5, 100)",0.3151289030281797,500,95.2815742988673,94.72410016637147,96.04981256750747
