Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(1, 77)",0.004734624690917911,77,231472.60760977672,231239.73405536814,231868.08507667336
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(3, 44)",0.05323828687444723,132,108117.83590245689,106939.41918765611,109532.77391946578
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(2, 86)",0.05055245434242412,172,915153.579527034,907214.8625888336,925532.2033937926
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(1, 70)",0.08305613814561527,70,25859357.294657726,25264905.96689798,26588548.0676738
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(1, 10)",0.049741600586588545,10,6119276.00865688,5877884.745713132,6365701.05230919
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(3, 97)",0.06363574732503781,291,8477746.80488069,8402168.235220222,8564293.178749222
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(3, 76)",0.0869307198683244,228,28058036.733679537,27663871.42025244,28482300.86847975
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(3, 78)",0.0773440258641722,234,39642.60895486418,39144.95404976844,40175.36154943566
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(3, 13)",0.0743890410402513,39,8518.085464516074,8288.276212313745,8807.830447617007
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(4, 45)",0.09866896538823816,180,51016.993559412076,49993.193732101725,51922.09818276476
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(1, 77)",0.32440254692671666,77,79.44667715131658,74.83418802497253,89.15984990819086
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(3, 44)",0.0731257582039728,132,20068.830040744655,19778.507980966024,20441.408485391465
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(2, 86)",0.364774384007187,172,99.14111784912174,93.47329729859736,107.25412435104762
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(1, 70)",0.032066905387638865,70,1771084.4344434876,1758782.3103747484,1792522.1856949113
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(1, 10)",0.10237917719040227,10,159643667.5047619,145290461.18400002,171037500.56228566
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(3, 97)",0.003621151899325216,291,344866.822423205,344704.31227011094,345079.66043703613
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,"(3, 76)",0.010488353118031106,228,9515865.087827556,9500111.39185004,9533888.4577505
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,"(3, 78)",0.2520100514613696,234,247.43053757633402,238.66066348930653,259.06886311606377
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,"(3, 13)",0.006312145903059664,39,11075.552075903568,11042.808726746378,11101.029148724894
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,"(4, 45)",0.02914880849719479,180,5943794801.777778,5908935242.183111,5975951365.461333
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(1, 77)",0.036250191744553344,77,94278731.25184311,93392870.73730344,95425102.52466694
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(3, 44)",0.7396523083724917,132,77.8132465541626,67.99175013189698,93.40968295617837
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(2, 86)",0.15187645315263745,172,1301.8860804278083,1272.534980352209,1347.0408025291433
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(1, 70)",0.3443756577540619,70,67.97792637873289,62.511401628095015,76.54556741816202
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,"(1, 10)",0.2994754328856362,10,1467.162416132178,1215.065294566618,1882.6352958703155
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain#count=100,"(3, 97)",0.018545148142149182,291,3901.107297115324,3891.9556912282483,3913.518274252933
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1000&count=10000&parallelism=4,"(3, 76)",0.5972172937966161,228,94874663.72053826,85749440.69468848,104816860.40319848
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=100,"(3, 78)",0.04272123055629966,234,2514948.481503715,2497712.488576473,2533769.084586363
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=100&count=10000&parallelism=3,"(3, 13)",0.09412415928919686,39,230665173.4062678,219784341.11307123,237888961.7197949
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain#count=1000000,"(4, 45)",0.19211170914463804,180,69904311.08591232,67521381.12993012,72640957.34892738
rxjava#io.reactivex.XMapYPerf.flowFlatMapMaybe1#times=1000000,"(1, 77)",0.04227844398676747,77,113317838.94256854,112091799.11462049,114910754.12151226
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybePerf.flowableDedicated#count=10,"(3, 44)",0.26008496651644875,132,1349.4204883786024,1285.1396716980996,1438.5653335243837
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=10000,"(2, 86)",0.04394942942574016,172,1481194.9643915093,1471267.6924557118,1495856.2308516821
rxjava#io.reactivex.BlockingGetPerf.flowableBlockingFirst#,"(1, 70)",0.32294549266535444,70,77.17850315905422,71.67690636023246,86.43016105932215
rxjava#io.reactivex.xmapz.FlowableFlatMapCompletablePerf.flowableConvert#count=1000,"(1, 10)",0.13679469317107035,10,158587.08137906296,146660.4722054308,179152.95083311832
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=256&work=100,"(3, 97)",0.03936784261096387,291,2533013.1112760324,2517994.4617190817,2547605.7881229036
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observableDedicated#count=1000,"(3, 76)",0.04179208307771822,228,90810.0105830316,90205.3526411847,91503.34940196964
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1&count=10000&parallelism=1,"(3, 78)",0.06312256545900692,234,586593131.2136753,580404983.1019943,592933894.1848433
rxjava#io.reactivex.BinaryFlatMapPerf.completableFlatMapPublisher#times=1000000,"(3, 13)",0.006782920217313615,39,10680737.572928552,10655524.408683497,10714340.812024733
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=1&maxConcurrency=256,"(4, 45)",0.5294206644797901,180,258.41209673301955,236.28535666100595,288.7138764755918
rxjava#io.reactivex.StrictPerf.external#count=10000&cpu=10,"(1, 77)",0.018033280113232044,77,350585.5872902285,348471.1963483879,352194.62549088564
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableConvert#count=1000000,"(3, 44)",0.10455147752871163,132,139813133.5203463,136674550.01415297,143318887.9456046
rxjava#io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observablePlain#count=100000,"(2, 86)",0.029277278791141982,172,7554880.303326439,7512338.879199964,7599052.777369447
rxjava#io.reactivex.StrictPerf.internal#count=100000&cpu=1,"(1, 70)",0.014814042881041224,70,907790.1421942702,903646.9635722714,911717.790115776
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowablePlain#count=10000,"(1, 10)",0.023126712698957573,10,190574.26692227143,188785.29895482928,194972.11571796352
rxjava#io.reactivex.xmapz.FlowableFlatMapMaybePerf.flowableDedicated#count=1,"(3, 97)",0.49599102061274697,291,317.4421694004311,299.33180503081485,344.3276129363444
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=100&maxConcurrency=1,"(3, 76)",0.07627129384524214,228,14118.227378071624,13942.76953694317,14310.66599852404
rxjava#io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowablePlain#count=1000000,"(3, 78)",0.006661667357006606,234,7167887.822976066,7160582.366058117,7176509.175998705
rxjava#io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableDedicated#count=1000,"(3, 13)",0.056734686116577365,39,63886.507941752454,62644.729953269765,65574.84367353935
rxjava#io.reactivex.xmapz.ObservableFlatMapSinglePerf.observableConvert#count=10,"(4, 45)",0.1500204546929524,180,1941.1850711629475,1894.8942717940752,2005.8983634178949
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1,"(1, 77)",0.3648543970687293,77,88.10020813525966,81.08216458340573,99.70606433459633
rxjava#io.reactivex.xmapz.ObservableConcatMapSinglePerf.observableDedicated#count=100,"(3, 44)",0.039902694594478275,132,9616.2198314777,9550.522584665616,9714.523718250262
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1000,"(2, 86)",0.05910993777469149,172,1512.38733356901,1497.6019798767672,1530.9622271146393
rxjava#io.reactivex.xmapz.ObservableSwitchMapMaybePerf.observablePlain#count=1000,"(1, 70)",0.03311954684825713,70,80818.09609619564,80122.65654534718,81715.65978138837
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=32&work=100,"(1, 10)",0.0856806199699662,10,55314.7544201355,51418.85694734109,59166.91091932919
rxjava#io.reactivex.xmapz.FlowableSwitchMapCompletablePerf.flowableConvert#count=1,"(3, 97)",0.36257123530115487,291,98.81131579698052,94.3099004692118,104.84127979009115
