Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(1, 77)",0.004734624690917911,77,231161.48751156335,231132.00370027756,231186.29840388615
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(3, 44)",0.05323828687444723,132,106149.00754276004,105681.2123615764,107298.23869896238
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(2, 86)",0.05055245434242412,172,909916.2438580528,907038.1996370238,911688.2284047402
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(1, 70)",0.08305613814561527,70,25457049.6,25096192.0,25666586.256410263
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(1, 10)",0.049741600586588545,10,6119928.415382313,5710405.818181818,6451332.129032259
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(3, 97)",0.06363574732503781,291,8255387.278688525,8253238.557377051,8264509.355371902
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(3, 76)",0.0869307198683244,228,27471982.702702705,27200083.58054054,27772700.444444448
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(3, 78)",0.0773440258641722,234,39657.805443718775,38949.60743034056,40010.8178343949
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(3, 13)",0.0743890410402513,39,8279.81979040841,8146.31811023622,8541.73338376371
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(4, 45)",0.09866896538823816,180,51916.32558713763,51129.30258235275,52522.56407557497
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(1, 77)",0.32440254692671666,77,74.155683997443,73.80850822783019,75.05694578119986
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(3, 44)",0.0731257582039728,132,19611.057995806408,19506.151574677006,19765.643870272157
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(2, 86)",0.364774384007187,172,90.25582962526377,89.99205726947335,90.56691800043313
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(1, 70)",0.032066905387638865,70,1757279.3813708262,1754489.2631578944,1759163.6133567663
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(1, 10)",0.10237917719040227,10,165414424.38095242,131416064.0,172840277.3333333
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(3, 97)",0.003621151899325216,291,344517.3848275862,344498.87349189934,344547.92827586207
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,"(3, 76)",0.010488353118031106,228,9518872.150943395,9501560.754716985,9526749.866666667
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,"(3, 78)",0.2520100514613696,234,231.41387382725247,230.8168675948967,232.3264877184097
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,"(3, 13)",0.006312145903059664,39,11081.80430059854,11068.22106287028,11093.368756641872
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,"(4, 45)",0.02914880849719479,180,5964300288.0,5934940160.0,5993660416.0
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(1, 77)",0.036250191744553344,77,93049204.36363636,92548747.63636364,94264599.2727273
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(3, 44)",0.7396523083724917,132,63.480074149594685,63.0238463325551,64.15579264665054
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(2, 86)",0.15187645315263745,172,1257.3846118701158,1248.1315204900986,1281.2073121913581
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(1, 70)",0.3443756577540619,70,61.388817503426736,60.78311653835943,62.23415198173359
