Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS#NEED_TO_ENLARGE=2&SIZE=65536,"(5, 100)",0.17873397094115945,500,1374285.6775539222,1346550.1940418386,1403153.925193658
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS2#NEED_TO_ENLARGE=2&SIZE=65536,"(5, 100)",0.03824730221546444,500,4051072.422786373,4033839.150181958,4069661.100476991
squidlib#squidpony.performance.DijkstraBenchmark.doPathGDXAStar#,"(5, 100)",0.03912390722416513,500,137534559.57333332,136983048.6601143,138234152.61281526
squidlib#squidpony.performance.WaypointBenchmark.countWaypoint#,"(5, 100)",0.021050981951517646,500,19584554.428006165,19542687.595450368,19636466.42940143
squidlib#squidpony.performance.RNGBenchmark.measureThreadLocal#,"(5, 100)",0.1054954382299909,500,37.295264788653355,36.911537256114,37.841673959140316
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS#NEED_TO_ENLARGE=0&SIZE=65536,"(5, 100)",0.08195359793133437,500,782096.1636851828,775182.9724660035,790180.2478486277
squidlib#squidpony.performance.HashBenchmark.doWisp64#,"(5, 100)",0.11214698671323976,500,129.89809390847827,128.37380458251437,131.78604097707205
squidlib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS#NEED_TO_ENLARGE=2&SIZE=65536,"(5, 100)",0.03340909425313902,500,5542578.947380394,5520902.342698789,5563688.55160589
squidlib#squidpony.performance.NoiseBenchmark.measureEasySimplex4D#,"(5, 100)",0.15106363668152575,500,144.28710389797607,141.91713196617988,147.01111889147612
squidlib#squidpony.performance.CoordPackerBenchmark.doUnionG#,"(5, 100)",0.013831345862455288,500,1580.8313414057054,1578.4415472767457,1583.4634422452887
squidlib#squidpony.performance.NoiseBenchmark.measureEasySimplex2D#,"(5, 100)",0.10256623752968724,500,80.88482396091678,80.07152249007306,81.96772972681568
squidlib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS2#NEED_TO_ENLARGE=0&SIZE=65536,"(5, 100)",0.0882574586026667,500,791125.4846191868,783653.1558972279,800073.0745351313
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet#NEED_TO_ENLARGE=1&SIZE=65536,"(5, 100)",0.07058584437887132,500,5366847.507464815,5327265.859483747,5411294.722095767
squidlib#squidpony.performance.HashBenchmark.BenchmarkState.measureHastyPointHash2D#,"(5, 100)",0.09320923234855269,500,39.70884338220546,39.347634885443206,40.18996248591653
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap#NEED_TO_ENLARGE=0&SIZE=65536,"(5, 100)",0.07029761449576258,500,5190470.225939464,5150743.732647304,5234634.799078304
squidlib#squidpony.performance.RNGBenchmark.measureLathe32Int#,"(5, 100)",0.06559251186529515,500,35.85387929977242,35.6071274152674,36.15826539156814
squidlib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap#NEED_TO_ENLARGE=1&SIZE=65536,"(5, 100)",0.05963995618938698,500,5842861.382246048,5805384.668520961,5885505.7423772905
