Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder#,"(5, 100)",0.10327620891539521,500,4265532.582963392,4222987.4686474325,4324445.072884605
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3#,"(5, 100)",0.12921808062890483,500,2043.3329753774992,2017.7010318859789,2078.92938067452
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder#,"(5, 100)",0.07947263191337303,500,1910773.143582024,1894585.987869547,1929695.27722274
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3#,"(5, 100)",0.11242609504252388,500,1341.5758738720688,1326.5712050788259,1360.6096336701532
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2#,"(5, 100)",0.1175297022952347,500,1694.689122283695,1674.5750094679124,1719.6114151283991
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan#,"(5, 100)",0.13711844602738835,500,12797.954187056635,12611.682688968913,13019.057557058617
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder#,"(5, 100)",0.12021856632275114,500,2245086.7350348006,2216874.767978132,2279126.0309916153
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray#,"(5, 100)",0.06949899179930201,500,35.98891449630198,35.738894567787014,36.307320388962225
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64#,"(5, 100)",0.05719855411733752,500,33.48039988754006,33.28614736464744,33.72892751166065
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT#,"(5, 100)",0.09363876086399774,500,2711.7984830516743,2685.0284050344135,2743.205181066645
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory#,"(5, 100)",0.09340846722202227,500,45.24367397229727,44.81232013657907,45.77535322339477
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong#,"(5, 100)",0.06202357003734987,500,36.14361070813169,35.91456311649708,36.43032557974593
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2#,"(5, 100)",0.11882793322565244,500,1665.3711436982449,1643.631879165124,1690.6407685031827
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_addr#,"(5, 100)",0.4301061174782779,500,205.5625761124008,195.76413361862356,216.19819474707617
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder#,"(5, 100)",0.10833420379852125,500,7184146.819718533,7105547.078299134,7283516.555924194
zipkin#zipkin2.SpanBenchmarks.padLeft_31Chars#,"(5, 100)",0.4169439983647651,500,88.30855669249986,84.3103820627112,92.79481884921832
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2#,"(5, 100)",0.11423552985367479,500,8760.053985814355,8658.214092927614,8891.037218019343
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT#,"(5, 100)",0.10338208663824008,500,4949.622860361697,4897.539812416316,5015.248499319222
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2#,"(5, 100)",0.1063491064339541,500,9221.856490073736,9123.374954400619,9345.375158214561
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes#,"(5, 100)",0.04987189247598053,500,36.477183989918615,36.28803616049555,36.70188371518985
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder#,"(5, 100)",0.11077212784560919,500,4127538.7228803663,4082628.7392863277,4186449.56548471
zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#,"(5, 100)",0.4023246237968385,500,86.57401395995609,82.78040246259015,90.75812988012242
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32#,"(5, 100)",0.05563175515242699,500,34.370077442982755,34.166456289229565,34.61801541820857
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans#,"(5, 100)",0.08957843086703705,500,108182.58242023899,107196.1478974004,109466.77219882763
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1#,"(5, 100)",0.0974181075090294,500,3761.370265311709,3726.1445976594387,3808.6757198526543
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder#,"(5, 100)",0.09327698362319709,500,6565088.5405236855,6503340.51830631,6645684.409105684
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#,"(5, 100)",0.09907281046086017,500,6410704.835998022,6345834.608357489,6493175.276927925
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_literal#,"(5, 100)",0.32355703563958993,500,251.16825723375484,242.15507483934925,261.1645786945085
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3#,"(5, 100)",0.15248391754799778,500,1785.5143874159255,1757.7247065847414,1818.67236438684
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1#,"(5, 100)",0.10851193321648091,500,16172.020157299989,15992.7362538719,16383.498294250126
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder#,"(5, 100)",0.1254180690155528,500,2220577.8849396007,2191064.5202844427,2255855.235009199
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1#,"(5, 100)",0.1127185675745682,500,3954.1811456748005,3907.802989376365,4010.9522354499254
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk#,"(5, 100)",0.16941372687382908,500,431.0072528368696,423.1446193292242,439.9665086111992
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1#,"(5, 100)",0.092345875924193,500,16208.868776923362,16062.760403769315,16400.00206261512
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_bytes#,"(5, 100)",0.4461382488849262,500,196.10074048602277,186.41689057021966,206.36902044870791
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_clone#,"(5, 100)",0.4097228509281681,500,302.7224601568516,289.59923854550584,317.95926466407525
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#,"(5, 100)",0.24824140341183398,500,569.3609888350346,555.3029677111816,587.0805692366147
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder#,"(5, 100)",0.11620718512407135,500,1657281.9865981743,1637065.825452138,1682814.256473173
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_literal#,"(5, 100)",0.23359640375405283,500,476.1179199417153,464.4206680214073,489.1164284490683
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory#,"(5, 100)",0.08688390295325552,500,45.21971705917578,44.847737593073944,45.7095136661294
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese#,"(5, 100)",0.21093123293817712,500,161.30359842056194,157.74019465649084,165.5928467356701
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory#,"(5, 100)",0.0908463927517997,500,45.3451838414292,44.938678800835895,45.89662662248966
zipkin#zipkin2.SpanBenchmarks.padLeft_15Chars#,"(5, 100)",0.4023874074717841,500,82.97891292931021,79.43567884849753,87.03154977889673
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT#,"(5, 100)",0.09694347868545583,500,2509.969871540847,2485.225386645809,2541.57206661297
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData#,"(5, 100)",0.14510742451080988,500,81.84570384020051,80.64955084899661,83.32176982972132
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_addr#,"(5, 100)",0.3054248390342396,500,192.80515311559012,186.21233492298214,200.10721024333805
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan#,"(5, 100)",0.17698423479092562,500,14670.193414364507,14391.428147233908,14987.424269756146
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_localArray#,"(5, 100)",0.052848163298611674,500,36.729880784198045,36.53266587666092,36.97768079518708
