Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder#,"(5, 100)",0.10327620891539521,500,4216918.413502109,4209328.403361346,4224255.697552742
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong#,"(5, 100)",0.06202357003734987,500,35.93886686956847,35.81949079975056,36.02524782299141
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2#,"(5, 100)",0.11882793322565244,500,1627.104760096176,1618.8864093906218,1635.0324786324786
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_addr#,"(5, 100)",0.4301061174782779,500,176.69076816329925,162.9280156204054,204.13868126106593
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder#,"(5, 100)",0.10833420379852125,500,7002470.041958042,6983765.333333334,7023121.902097902
zipkin#zipkin2.SpanBenchmarks.padLeft_31Chars#,"(5, 100)",0.4169439983647651,500,71.34225614856578,70.91891891891892,72.36253906010664
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2#,"(5, 100)",0.11423552985367479,500,8536.478810654593,8522.032595181292,8559.1592297182
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT#,"(5, 100)",0.10338208663824008,500,4858.247704229938,4836.882388449971,4876.087561881189
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2#,"(5, 100)",0.1063491064339541,500,9013.656199445155,8988.796333780712,9033.683973388292
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes#,"(5, 100)",0.04987189247598053,500,36.13897842474164,36.03042823788529,36.29320221525369
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder#,"(5, 100)",0.11077212784560919,500,4084706.742857143,4076610.601626016,4094411.922285714
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1#,"(5, 100)",0.1127185675745682,500,3874.1746979384316,3859.7339806694163,3888.515988504008
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk#,"(5, 100)",0.16941372687382908,500,400.2785930994618,398.92978915795123,401.91209996179214
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1#,"(5, 100)",0.092345875924193,500,15969.814377085859,15938.929255253011,16027.264383256545
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_bytes#,"(5, 100)",0.4461382488849262,500,166.33047429294814,160.9510142698948,167.87659664267022
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_clone#,"(5, 100)",0.4097228509281681,500,260.93403094908376,255.4293319490184,266.0306993126144
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#,"(5, 100)",0.24824140341183398,500,524.0914690223772,522.0741186944479,525.7633228336333
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder#,"(5, 100)",0.11620718512407135,500,1641025.5598158767,1607630.6109324761,1659805.505804312
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_literal#,"(5, 100)",0.23359640375405283,500,448.1354699213349,445.3367854791053,454.3022526396533
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory#,"(5, 100)",0.08688390295325552,500,44.38640349536226,44.27520679622836,44.56941889067656
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese#,"(5, 100)",0.21093123293817712,500,151.23917508161873,150.6705640653796,151.80998004138686
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#,"(5, 100)",0.09240359348575425,500,7660395.480916031,7639571.541984734,7676060.804885495
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder#,"(5, 100)",0.12110552572499535,500,1610112.2061191625,1603864.9525455819,1618014.4466019417
zipkin#zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2#,"(5, 100)",0.07192013406409681,500,15807.534901662711,15777.92805755396,15839.36607142857
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity#,"(5, 100)",0.06645129114703102,500,36.199894301010545,35.747405365455336,36.4108774802059
zipkin#zipkin2.SpanBenchmarks.padLeft_1Char#,"(5, 100)",0.4323361222182205,500,68.3188437278894,67.86927732654627,69.54294627106967
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_bytes#,"(5, 100)",0.4660635596307957,500,143.5463416533658,128.29837092524156,186.32653720376285
