Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#,"(1, 77)",0.004257236074915144,77,7726886.819163923,7564522.346967228,8074004.487767256
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder#,"(3, 44)",0.03554146848235095,132,1697898.9106755794,1640744.6512069262,1765033.0244219003
zipkin#zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2#,"(2, 86)",0.010789268522689433,172,16051.617685090972,15846.758941762584,16330.82879357818
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity#,"(1, 70)",0.005771451795339475,70,36.233562195969746,35.71128927179544,37.11686744833898
zipkin#zipkin2.SpanBenchmarks.padLeft_1Char#,"(1, 10)",0.07725861926100559,10,107.21393251630086,74.19736058164995,152.2543541532899
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_bytes#,"(3, 97)",0.24282400801371717,291,151.16454110545948,141.92040331001908,160.70651260117737
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3#,"(3, 76)",0.04138019980877269,228,1076.46106780714,1049.1596131063134,1111.4418850018178
zipkin#zipkin2.SpanBenchmarks.buildClientSpan#,"(3, 78)",0.11777027084101803,234,416.6671969216786,393.32434488559954,443.09051942978164
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_longs#,"(3, 13)",0.4248944033239207,39,704.4874609770193,557.4852605632324,881.3147920786686
zipkin#zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2#,"(4, 45)",0.012564401128658143,180,67513.3157951971,66284.44088972421,69267.6651960578
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3#,"(1, 77)",0.027953091078689322,77,2041.787126149848,1986.7928462741527,2160.7678535694254
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder#,"(3, 44)",0.01867081485138821,132,1940340.420016446,1899485.1091953076,1991498.7857385008
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3#,"(2, 86)",0.012684515473518098,172,1347.2978256352822,1321.1504763983496,1385.6722197884117
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2#,"(1, 70)",0.010111001655390289,70,1680.7375380620913,1626.7609275186317,1771.0429318050176
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan#,"(1, 10)",0.20806422114970424,10,15727.416359117697,12788.360867592855,19305.52439933466
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder#,"(3, 97)",0.023649139514481565,291,2287443.9000858003,2252230.584674504,2331523.872489257
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray#,"(3, 76)",0.009994672640006313,228,36.26899994374604,35.82897339558467,36.93704723059448
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64#,"(3, 78)",0.009598707603705224,234,33.5026878653078,33.23500306783781,33.85177488897087
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT#,"(3, 13)",0.03836389978611066,39,2980.5458148200487,2746.507587599527,3271.3244702489496
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory#,"(4, 45)",0.015844688953003186,180,45.83835932092641,44.8293245935751,47.18710133500234
zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#,"(1, 77)",0.0300123837910362,77,83.96810755420572,76.15541066749084,94.04564050749637
zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32#,"(3, 44)",0.027824297476183552,132,35.26056574760091,34.71586079731291,35.943646926227174
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans#,"(2, 86)",0.005962395909454962,172,107477.71773347135,106105.9920009232,109469.12284357511
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1#,"(1, 70)",0.015045193137058663,70,3760.203740039675,3688.0312868646315,3915.8025795131543
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder#,"(1, 10)",0.026293446334282725,10,7486685.252532482,6483423.2064462155,9083132.09396081
zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#,"(3, 97)",0.010273431276427764,291,6341280.704401759,6258601.093471881,6447620.511927112
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_literal#,"(3, 76)",0.14152472427374893,228,272.05683894138156,261.3804387056913,286.24522503543494
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3#,"(3, 78)",0.03301716681459574,234,1809.11475442643,1766.3356168422738,1862.7582916502022
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1#,"(3, 13)",0.07200709017897011,39,18120.128575137267,16750.811318936383,19950.238405499218
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder#,"(4, 45)",0.03543971662513146,180,2295073.3600787898,2226763.574330854,2379568.9532307805
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory#,"(1, 77)",0.009628760069370142,77,45.8607713459318,45.098620958620224,47.31466554647527
zipkin#zipkin2.SpanBenchmarks.padLeft_15Chars#,"(3, 44)",0.030705475090312122,132,89.2970210685342,80.68513543632405,99.34854081892018
zipkin#zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT#,"(2, 86)",0.027788824347144907,172,2546.2155630256343,2496.3229271377545,2612.032845702824
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData#,"(1, 70)",0.007620617644721456,70,77.74929939863702,75.74420770239513,83.0552888137836
zipkin#zipkin2.EndpointBenchmarks.parseIpv4_addr#,"(1, 10)",0.22550692429850833,10,252.21090817794143,198.87739964138794,315.9869716848242
zipkin#zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan#,"(3, 97)",0.020540927524586854,291,14837.791173617397,14428.322995915709,15321.307745343876
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_localArray#,"(3, 76)",0.00832165383749492,228,36.782939319069776,36.4407900914582,37.25578396698505
zipkin#zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese#,"(3, 78)",0.012464664743829597,234,94.90594178352544,94.39288084079317,95.53774845721505
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_clear#,"(3, 13)",0.32175027041069065,39,599.6184300996011,511.9668109877117,697.8049482166899
zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT#,"(4, 45)",0.025660073337407694,180,4506.601375178709,4379.036528131317,4676.2750150277125
zipkin#zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1#,"(1, 77)",0.011435884549873808,77,3940.038009737655,3829.441990758094,4139.094622609368
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk#,"(3, 44)",0.02026858644012322,132,437.6179037534234,419.70835791830706,460.9126296363216
zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1#,"(2, 86)",0.010212943104598478,172,16382.303903200313,16134.430251893833,16770.706696571586
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_bytes#,"(1, 70)",0.024619903824166022,70,156.86871085650859,141.74967156345014,175.25901326176574
zipkin#zipkin2.SpanBenchmarks.buildClientSpan_clone#,"(1, 10)",0.43176795174050936,10,657.9797637906029,412.0469106321189,924.1798755312419
zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#,"(3, 97)",0.014147864560708986,291,569.0081036086394,551.1462842661724,592.620233302861
zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder#,"(3, 76)",0.01236109895527746,228,1701294.9332535095,1671504.4049934584,1743115.8073629315
zipkin#zipkin2.EndpointBenchmarks.parseIpv6_literal#,"(3, 78)",0.10019406031596069,234,495.4791069729625,475.97713933129546,519.0854676525838
zipkin#zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory#,"(3, 13)",0.012652293821673198,39,47.572823585781194,44.55553608253039,52.267391539766855
zipkin#zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese#,"(4, 45)",0.01591775493997633,180,164.05889988130346,157.08669221057474,173.18884620824727
zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong#,"(1, 77)",0.005152553666643638,77,37.15221832941139,36.62331368024089,37.938154343276146
