Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,57,0.01200432329539812,0.07865137550839839,-0.02282466233577177
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations,57,-0.029562658760437323,-0.05524524854288956,-0.0051086520268333315
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,57,0.040062285772372946,0.03726206949280121,0.007950356559390125
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,57,0.016095073990336665,-0.0005483323705112103,0.01803953003786313
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,57,0.26521420505307974,0.2838686382769269,0.011192872088561215
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,57,0.03512641688130653,0.029229437692038836,0.048407192990662304
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,57,-0.032481627974464744,0.1241350595527711,0.010944998393917183
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,57,-0.019760361227207184,0.052316328971535965,0.0027862592202174494
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,57,0.008931096616012966,0.004420188957233872,-0.0040064726436231345
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,57,-0.009953468161278593,-0.01110786626553037,-0.0081646247390261
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,57,0.017388630264376186,0.0837351097336514,0.0
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,57,0.05604339638438069,0.23851751474616523,0.07189605866008225
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,57,0.01649213407260202,0.015857610093953367,0.00421978735799713
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAnnotations,57,0.015676993676411653,0.010848107790203934,-0.008352025447317737
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,57,0.31281966611516426,1.8008433079706982,-0.07832549099702618
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,57,-0.05453999632251646,-0.009390578645478159,-0.035426831307845394
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,57,-0.0833938840426329,-0.037409638079194334,-0.026928816332259693
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,57,-0.018142881674595934,-0.05431175035811598,-0.07126111758249466
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,57,0.03469931939744143,0.1058116795704609,0.0025560535764222164
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,57,-0.0484261571274424,-0.03207253833014056,-0.04170335229226963
