Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 3)",4365.438981387376,3,35.96813570027832,-88673.04061460805,68343.66105921783
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(1, 3)",16490603156.562868,3,1423296.0120425553,-1.0107303706721666e+16,1.3363706002190636e+16
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 3)",86741027231.67249,3,3974904.4148618043,-1.6056425059199507e+17,1.842230415008279e+17
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 3)",63393795587839.28,3,3808337.8619775884,-1.9859324612942447e+20,4.283174582221166e+19
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(1, 3)",14590854904479.59,3,1501170.256617709,-2.189813693120024e+19,5220470029143101.0
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(1, 3)",111613304138.24236,3,1497506.1940050803,-1.049345670110201e+17,6.220704726937067e+16
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 3)",494751356007.064,3,8306971.773106411,-2.0971754916950804e+18,2.012710057361721e+18
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(1, 3)",41502896276.559135,3,8875675.85241588,-2.174890226523064e+17,1.5087723163487043e+17
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(1, 3)",5065894137027.248,3,1867683.8802876137,-9.459671173725553e+18,1817645243769929.2
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(1, 3)",4465973755.4438095,3,945059.8917863482,-1777848708101472.0,2442763965938925.5
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(1, 3)",27473380787681.387,3,57.0692523863608,-1254952091719041.0,312933210359743.94
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(1, 3)",17660823756779.98,3,1736359.2185935255,-3.0651927958879154e+19,1.3606179161302916e+16
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(1, 3)",17965332293.5442,3,1280442.3572629485,-1.1505654692207906e+16,1.1497917738750008e+16
