Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,57,-0.06237721518341969,1742.1845820742092,-2357.873172504411
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,57,0.02020612368663933,9105175347.383966,-7559287708.45299
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,57,0.03174794129170154,45901613323.25806,-43179747655.82373
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,57,0.03153560516595636,11133866747545.117,-55984558596341.15
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,57,0.028943142161463094,3379920752.1186876,-15674223971010.715
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,57,-0.0022274847803386492,39605326779.27777,-72866994456.23926
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,57,0.043701813398712756,235463255222.6173,-276219683993.80237
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,57,0.200771440456711,19731668851.23147,-30280716530.77265
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,57,0.014903043366063377,973745566.2897272,-5178896231225.376
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,57,-0.0219737141859598,2469832236.407786,-1877289357.7936423
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,57,0.07708934689075894,5439551415894.739,-25410699706083.184
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,57,-0.0964469019957393,6648479696.281509,-16849721826382.969
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,57,-0.040612027167890294,8295907107.406942,-8899259668.41584
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,57,-0.007783584757187996,12520693321.744555,-28719539473.83084
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,57,-0.005886313675205739,8851090657.585258,-11332958527.78737
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,57,-0.04648203387820106,345.6568261930543,-387.8398305868284
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,57,-0.0029458257767553692,474.6180626061626,-735.7647362199945
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,57,-0.01243026467984056,1387.514065791949,-1724873404499.1333
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,57,0.06646523508810197,313121.17815589893,-239012.8134910988
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,57,0.03291086902813826,112766.20292682965,-239202.3528708014
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,57,-0.17337067918702917,686.6677911440657,-458.26667961324137
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,57,-0.05666541709285798,1366.0254740437085,-3252.869413383728
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,57,-0.03640265790286848,741.643165530033,-450.24659993872376
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,57,-0.15797723276319278,203.06021190758233,-347.5990684634689
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,57,0.0441316630454027,158710.97205997014,-340731.1110416982
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,57,-0.0840789010124011,31305463761703.23,-401701.4582161495
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,57,-0.0745437105641493,180986.11809606917,-197040.48572188726
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,57,-0.012274842528440438,225.6967389672169,-153.82224971971837
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,57,0.06802525538467209,79508966188712.27,-3427592723.1206837
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,57,-0.16547831176980213,13228690184.200245,-215555101027196.62
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,57,-0.08390198763842206,9883516056604.385,-641933875.8698726
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,57,-0.02040176347410099,2405646918750.193,-30431303.350187164
