Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 3)",0.004341386776747089,3,36.569814709775,36.351900025503696,36.73962621244382
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(1, 3)",0.12502702479024377,3,1295507.4241245135,1171552.150234742,1574308.8881889763
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 3)",0.026817871957610737,3,3936320.503937008,3788862.060606061,4045663.6144578313
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 3)",0.06041504736071634,3,3665904.996336997,3279311.3180327867,3785759.0303030303
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(1, 3)",0.0576336732872524,3,4937072.236453202,4887866.692682927,5537067.845303867
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(1, 3)",0.0677868862669713,3,5628134.112359551,5331379.744680851,6264320.0
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(1, 3)",0.07346173295726932,3,1444452.624277457,1292113.1384217334,1547495.4303405574
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(1, 3)",0.07787770315273228,3,1497852.5457271363,1272329.7834394905,1517801.4346504558
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(1, 3)",0.05140720252912873,3,1663950.5890183027,1541167.4074074074,1747846.2657342658
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(1, 3)",0.12749627028807228,3,1692630.345762712,1613189.4969325154,2138927.6916488223
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 3)",0.1683622996253983,3,9824456.784313723,9416971.962616822,13502928.213333333
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(1, 3)",0.12034332752042963,3,7237131.050359712,7192281.323741008,9227423.706422018
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(1, 3)",0.020150326726739068,3,8876503.221238937,8565611.213675214,8984283.42857143
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(1, 3)",0.07788787092002313,3,9106748.50909091,8495104.0,10239916.408163264
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(1, 3)",0.01867201317616362,3,1861006.540037244,1818039.3890909087,1903142.0342857144
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(1, 3)",0.03779113501689792,3,964931.5246376812,937956.1164319247,1026146.9270298048
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(1, 3)",0.22075672127845475,3,38.319042010208086,36.91613610270327,58.450304797243575
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(1, 3)",0.06425924983661487,3,1789592.9588550983,1750602.4238178637,2020498.8767676768
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(1, 3)",0.05906695597418854,3,1904760.9295238096,1775521.4209591474,2051776.3942505133
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(1, 3)",0.018697943568842777,3,1473998.1592920355,1423689.663817664,1487088.761904762
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(1, 3)",0.10545825229615018,3,1105857.6301218162,1045532.9507853404,1329991.9254327563
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(1, 3)",0.03176376037527808,3,1364614.2950819673,1300650.6666666667,1405368.7088607594
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(1, 3)",0.008385872909909504,3,5.053213841601989,5.032913553895411,5.131571042355062
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(1, 3)",0.011023348233031076,3,5.040417605267718,5.036902286902287,5.157370517928287
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(1, 3)",0.014913974261890419,3,5.832275793155134,5.795194565163095,5.996801439352291
