Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.11281760527278221,60,7.280685371085671,7.092366836855679,7.877658019081614
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.12109739143971571,60,7.783402618955525,7.4647741258346425,8.374138013311134
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.23906235740264856,60,32.108043527406195,30.431875798873566,37.96826426497016
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.11066258929850298,60,39.84378078836895,38.11873580877287,42.53757614042538
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.1000484203436296,60,34.827970104692405,34.18050549149699,37.76302360147945
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.08585831315621631,60,224223.38818624718,215928.79715559303,235035.04776151196
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.19313855220446857,60,830759.9319029971,755405.6076013065,913637.4045297918
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.07084371868175664,60,278664.1311378866,269257.1406571917,288973.53433902725
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.031045860645078915,60,120502.49542469862,118704.18746009967,122394.65240399454
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.12877379489033955,60,7920585.702445993,7541649.207892697,8575723.648461508
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.08769013773791995,60,7852358.014871331,7535940.323921122,8230826.890941771
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(3, 20)",0.08478855942720118,60,8842359.74274898,8571986.132284904,9329706.67654938
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(3, 20)",0.06434916645528621,60,9084240.65677413,8816339.065922003,9405334.602518914
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(3, 20)",0.019480689025747115,60,1845178.6691114788,1830501.7941252987,1865712.261761144
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(3, 20)",0.042703644566626876,60,949949.3086422519,930744.7424493922,972409.6835205638
