Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,57,-0.0505635690156855,-0.04499316292604832,-0.04653329702589049
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,57,0.14254430074381325,0.06158544233627938,-0.014306220122884194
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,57,-0.0037179826805601667,-0.03339613461256938,-0.031235670528735805
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,57,0.12357345893877406,0.10817481781296996,0.19291965795639462
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,57,-0.04895574165121575,-0.03398292239601528,-0.0743983943053068
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,57,-0.02459363450605834,0.12323739446240073,-0.033220093923759776
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,57,-0.03625656688809846,-0.0460674064981461,-0.028558786039485015
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,57,0.10391239826120954,0.07946347055664282,0.021127906708207755
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,57,0.011253442763726725,0.006548631991178106,0.007839306816857041
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,57,-0.09515672255956446,-0.009757504236839206,-0.02012927454843602
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,57,-0.019343004652268268,0.16820917113319314,0.002802543595122501
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,57,-0.0408676617623542,0.12958047328400735,0.018664736691354024
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,57,-0.06415581111130014,0.02346422399162239,-0.03218753360335483
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,57,0.03779026775123377,0.133756707805935,-0.05296721531304976
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,57,0.00812823853163851,0.03889904873919342,0.002730835223441829
