Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.2658866869114913,60,8.626588060172132,7.713033397994108,9.969494609195548
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.11362593978761494,60,8.350175114453462,7.916870045333185,8.873010081469562
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.12383880122202877,60,31.847071030438222,30.055793969626617,34.00221926158379
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.11054199112738781,60,38.80578346350526,36.878912797082876,41.052575440480425
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.01567387483320079,60,34.0545194855768,33.81054091801651,34.33818767228734
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.04034678593641539,60,171185.27763529253,167751.27821061155,174761.92823623263
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.19391287473437716,60,802202.0935475677,726426.5547134352,883042.0282551516
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.07427729461047515,60,268170.8346647399,258344.35684523,278480.80382354226
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.04087599871747117,60,125519.36328271107,123021.03583295431,128075.5751816349
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",0.06000904013202314,60,36.71191838529905,35.935968398123876,38.10629110305754
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.11211703406746489,60,889199.2044886257,842929.2783491494,941904.0076016682
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.10087121927512074,60,2833259.1295093093,2702355.814026779,2984961.9208637318
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(3, 20)",0.07795801061890188,60,2624906.624278586,2529269.7018314805,2729480.200244652
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(3, 20)",0.09993184462505816,60,4214220.808754106,4014292.570110068,4440176.061073413
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(3, 20)",0.10152765672248837,60,4202086.705213948,4006056.743015481,4436468.861363257
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.092069540356169,60,990836.6667264287,945535.5749481582,1040146.4914496591
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(3, 20)",0.09861396636818355,60,1007304.6964830437,959999.8024738829,1060118.9900075998
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(3, 20)",0.11408484143925297,60,1196475.766364094,1134002.2432838806,1267042.4968080309
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(3, 20)",0.11441858115983397,60,1158517.9356641779,1097088.5826862403,1229892.4183912317
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.07340605576468817,60,6103248.972195926,5911578.671921573,6354358.984634878
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.05955857967009666,60,5930197.539637397,5764007.450173368,6112365.414127862
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(3, 20)",0.06305563891267854,60,6908120.522451519,6714493.693117134,7138153.076298529
