Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 3)",0.0028981293826695195,3,37.20183934030364,36.49698950185262,37.30965508398513
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(1, 3)",0.1935548453445807,3,1106091.2336655592,892001.9159964254,1642798.6600985222
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 3)",0.1380105778529276,3,2764664.2209944758,2383111.314285714,3149167.0943396227
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 3)",0.0069957112388073,3,2649699.1405835543,2631162.610526316,2748100.923076923
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(1, 3)",0.043128889469190045,3,4063448.4552845526,3423063.671232877,4238700.474576271
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(1, 3)",0.104667795694966,3,4070325.073170732,3644293.12,4923775.369458128
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(1, 3)",0.017586770584522095,3,1137245.3029612757,991648.921549156,1157245.775202781
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(1, 3)",0.06991802309178717,3,932191.8506069096,867014.8392701999,1071250.1287553648
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(1, 3)",0.03785875082758769,3,1001216.2567703108,963311.4599807136,1094262.326396495
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(1, 3)",0.005607495426212284,3,1019337.6653061224,1013621.7340101524,1078579.4211663066
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 3)",0.03705731831131939,3,6653585.801324504,5897613.552941176,6900149.848275862
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(1, 3)",0.0027654567888109626,3,6291507.522012578,5542317.966850828,6308906.414201183
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(1, 3)",0.012021328250856606,3,7320478.832116788,6817583.020408163,7408480.711111112
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(1, 3)",0.03358639571539202,3,6905912.496551724,6673967.786666667,7390147.764705882
