Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.01373689365557084,60,7.769787583722234,7.405192157761172,8.230284502822116
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.013329468057686348,60,7.805221890702969,7.3818008002838145,8.362137123608006
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.042000879129646326,60,30.65218673682244,29.5786297484636,32.28299782206564
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.04675694312363684,60,40.892065596237316,38.95057046152593,44.00095336753623
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.01576333698328766,60,40.04750979235964,37.3841184288056,42.98202615020329
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.06234793589541168,60,171814.4860096175,166191.16205879912,179001.92106077683
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.22597718706523776,60,818477.5969619486,733311.6359048081,911262.4639163753
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.07480680353531949,60,268987.9719627689,259308.96077467655,279361.6654884048
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.025981281287752803,60,122193.41712048785,120082.34208583794,124690.43889402002
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.0886728015814003,60,1271752.9479905926,1192146.1036628669,1366580.465699425
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.03325921849436421,60,1402285.6819712243,1377121.1154470914,1430466.9947426978
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.005702046559229664,60,5.088748564381813,5.070806235895874,5.109628124885421
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.008841771768013287,60,5.0973105137968036,5.076906076536071,5.119646683954015
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.015313563842250529,60,5.955554664503426,5.915850107407309,6.006220134817212
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.060301357125887474,60,17.514697342612447,16.533587703829152,18.6816260185755
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.013988862931578106,60,11.866920238827278,11.528841802071184,12.259202282998187
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.05755067695783335,60,8.434522813002808,7.653203694872603,9.56233142552276
