Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.01373689365557084,60,7.234001725811018,7.1837023914969,7.289156626506024
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.013329468057686348,60,7.275716979711014,7.238093281303143,7.350289161121821
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.042000879129646326,60,29.605233521648117,28.65621842977681,30.358845364491465
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.04675694312363684,60,38.42653919178045,37.72294120234855,41.387571670109566
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.01576333698328766,60,34.27794573930649,34.12235799207398,43.27479760129163
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.06234793589541168,60,169054.76542382222,165085.58397360216,172842.04740689442
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.22597718706523776,60,751565.6114177294,667492.0400801604,889685.3333333334
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.07480680353531949,60,262178.30149755825,254030.4337655733,277977.32577785687
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.025981281287752803,60,120230.79987399132,118327.21687603698,123164.68829406686
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.06887838847338287,60,6027685.242911767,5749941.394285714,6235384.049689441
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.05698498229513967,60,5709352.96,5549831.071823205,5861232.280701755
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(3, 20)",0.06681934869576013,60,6736370.905133322,6608953.285465319,6942286.596382927
