Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,57,0.05254354781148986,41930.119826864655,-22139.532416185648
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,57,-0.021046898426666176,4285.414615897788,-2682.370281619986
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,57,0.012980218012610052,70443531414885.19,-452791.26524374046
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,57,-0.009276448700132571,56544.583437859204,-78086.34623165507
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,57,0.09765855769260526,196271.9716373277,-250421.4767463762
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,57,-0.16098690110799604,2463609.547529623,-5443236.186343244
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,57,-0.13183442397931772,2927687.9466649317,-5744033.319262918
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,57,0.04406560895229688,119727.53014102817,-79866.72462905695
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,57,0.004640304415718867,72800.96578687096,-8403547105597.774
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,57,0.013256393201919426,347261263774.20215,-23443.355563879333
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,57,0.023177473382620835,22147.87497181447,-25449.406882275107
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,57,0.02974619617188371,69920.13687652202,-97517.6902156197
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,57,0.023423220229450675,5866.618606083414,-344473186745.7343
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,57,-0.029306771918490862,273190.6377260162,-264075.1517134943
org.jenetics.internal.util.IndexSorterPerf.heapSort160,57,0.008863811096229466,5836862.209692953,-7428949.973881623
org.jenetics.internal.util.IndexSorterPerf.heapSort250,57,0.007157232572353199,4934053.461184099,-6860875.81860713
org.jenetics.internal.util.IndexSorterPerf.heapSort320,57,-0.004225996044671953,399343407378.3792,-2112554.2337145405
org.jenetics.internal.util.IndexSorterPerf.heapSort80,57,0.0242150868177614,4618976.006703355,-7481994243741.776
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,57,-0.0026116158020214595,12050797904323.02,-18845003.560377326
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,57,0.006663959978730372,33653420.83013283,-50289944.83817841
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,57,0.007156735654166618,2430667703692.1895,-24213778.91758444
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,57,-0.056872534438064413,13374187.783740105,-17744707.558004405
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,57,0.011924938476203234,15871.227725655568,-9828.751949430995
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,57,0.037140759193659445,550.3453630582467,-683.694599932289
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,57,-0.009908376817415288,2278.51230837814,-2985.3270744010238
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,57,-0.0043031116866962095,526.0339521741932,-356.2300651955233
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,57,-0.008208661452927634,124.39250506219584,-87.15954404565277
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,57,-0.01879436699007902,1147.620708814482,-1950.207052934121
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,57,-0.019216977013869523,1554.470050879773,-1716.2855616059373
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,57,-0.008452944361029493,38091.60507448679,-8076847789946.785
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,57,0.010271488063687767,9867.981734721649,-14259.632251836216
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,57,-0.017614537225169084,1042.9469747743706,-1569.3267380396858
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,57,-0.03629401215267633,217.15135752255628,-162.00410990255685
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,57,-0.0332163642994303,1898.307026373888,-2108.784506326258
org.jenetics.util.SeqPerf.arrayList_contains,57,0.003183762585678879,72.0753699100094,-88.74709627101687
org.jenetics.util.SeqPerf.arrayList_copy,57,0.20119632201860468,4709780559827566.0,-282966.78652734275
org.jenetics.util.SeqPerf.arrayList_forEachLoop,57,-0.006601913077002829,16.704169443864625,-10.258863233628269
org.jenetics.util.SeqPerf.arrayList_forLoop,57,-0.0009961659441370967,2.2116128371656214,-2.1875991563356623
org.jenetics.util.SeqPerf.arrayList_get,57,-0.001262740734205279,0.5599634493635526,-1.002527668307994
org.jenetics.util.SeqPerf.arrayList_set,57,1.8877598731346896,52328.783197876335,-293741.44498174195
org.jenetics.util.SeqPerf.array_copy,57,0.9619412018205108,82832.90368299975,-298992.1598364575
org.jenetics.util.SeqPerf.array_forLoop,57,-0.10014316178174683,217.51885845709876,-605628721945058.5
org.jenetics.util.SeqPerf.array_get,57,0.7158513578479903,7766.255211974972,-34425.29986662327
org.jenetics.util.SeqPerf.array_set,57,-0.10674457619970058,3466.984712698157,-4031.658497959848
org.jenetics.util.SeqPerf.mseq_contains,57,0.0036917125887126353,2506.682714381278,-4480.320612840407
org.jenetics.util.SeqPerf.mseq_copy,57,-0.0720380729941599,92.8463941005257,-165.82525628973303
org.jenetics.util.SeqPerf.mseq_forEachLoop,57,0.0016489407531368283,22.490696424221763,-16.086856022616892
org.jenetics.util.SeqPerf.mseq_forLoop,57,-0.001240296953507877,1.2338866307605545,-0.7594246745772723
