Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 3)",0.03447380054698435,3,41.91046624493758,40.46565319077848,45.57428444717361
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(1, 3)",0.013279595252660481,3,47.321013133208254,46.69260923185342,51.87807838588731
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(1, 3)",0.11030256423591177,3,54.27813669846637,48.29111903867818,66.95893959259378
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(1, 3)",0.01079715960003473,3,45.4130906460945,44.24323800666512,45.90342303373123
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(1, 3)",0.00988840057372481,3,67.69404296524765,49.47203696896497,68.36342877854295
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(1, 3)",0.017401862628114346,3,54.95782676824985,54.00145821648906,56.29830898571109
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(1, 3)",0.006924692447675769,3,50.678485273492285,38.275599461707856,51.029418197725285
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(1, 3)",0.009359748490679946,3,41.344727145113175,40.95775089761913,41.95215036407332
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(1, 3)",0.0031024855793115574,3,42.396700440694566,40.72166496076424,42.52823559242221
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(1, 3)",0.02866086944976653,3,98.17286442475454,95.35914477396702,102.1846192206312
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 3)",0.0160432491536939,3,44.31153831395572,42.12964964267039,45.02243936350997
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(1, 3)",0.003712281109912537,3,125.40512746926866,124.93958838347832,130.5848154899739
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(1, 3)",0.008078703224073289,3,49.44571188267143,49.00469128329298,49.84516911467457
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 3)",0.02767285555898896,3,61.79976166832175,60.08958579009434,64.40788197251415
io.jenetics.internal.util.IndexSorterPerf.heapSort160,"(1, 3)",0.0004987623325885202,3,10776.131271803264,10673.924611973393,10781.506000172669
io.jenetics.internal.util.IndexSorterPerf.heapSort250,"(1, 3)",0.003406451633111804,3,20389.40758584085,20319.95205507188,20654.943396226416
io.jenetics.internal.util.IndexSorterPerf.heapSort320,"(1, 3)",0.0024158411256175916,3,26475.435109651447,25819.309532420564,26539.395554607963
io.jenetics.internal.util.IndexSorterPerf.heapSort80,"(1, 3)",0.00501872892342237,3,5609.555377350084,5545.041277706499,5637.708215169931
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(1, 3)",0.02752632187725812,3,16290.535974973933,15842.117438173747,16777.557980992042
io.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(1, 3)",0.06568021315702748,3,37892.1763411488,34003.4759861026,40380.942560219126
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(1, 3)",0.016543703145678133,3,62773.27100219918,59696.92182644035,63811.77336314277
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(1, 3)",0.030546593790465766,3,4647.323993773627,4318.325785947432,4789.283912024115
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(1, 3)",0.002217446193655991,3,39.62026580838489,39.509077281812125,39.708121615993335
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(1, 3)",0.0037528370255724476,3,40.01186170982207,38.69535523079149,40.162019705908776
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(1, 3)",0.00123092607469287,3,37.48006005689601,37.28768926925609,37.526195240101096
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(1, 3)",0.0020927900093417055,3,35.94737534534929,35.87214503736449,36.39417613636363
io.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(1, 3)",0.00023014575453810196,3,51.48644133528236,51.47459194939277,53.1634644071842
io.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(1, 3)",0.012005700533487842,3,39.10828329694324,38.63876095930134,40.149909590256215
io.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(1, 3)",0.001072638315011489,3,38.171705486947005,38.13076105309237,40.30570320805453
io.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(1, 3)",0.0009344191986731742,3,49.96809418188023,49.6808075063975,50.01478532840489
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(1, 3)",0.007047093073015024,3,38.64377549439769,38.37144921179597,39.65935483870968
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(1, 3)",0.0013695518415828424,3,38.19549160426304,38.098009657886,38.24780231012982
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(1, 3)",0.018598063082096335,3,36.64209975750083,35.96062767475036,38.60706643207
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(1, 3)",0.028637338096195918,3,41.98838250861812,40.78594700260643,43.78834180691118
io.jenetics.util.SeqPerf.arrayList_contains,"(1, 3)",0.00014905187005082065,3,662.0211920529802,661.9225165562914,662.1271523178808
io.jenetics.util.SeqPerf.arrayList_copy,"(1, 3)",0.3316018202767669,3,0.0100164654226125,0.0066949872557349,0.1487012987012987
io.jenetics.util.SeqPerf.arrayList_forEachLoop,"(1, 3)",0.0007432607590475024,3,1.0040883360123,1.0033420365535248,1.0097892353248563
io.jenetics.util.SeqPerf.arrayList_forLoop,"(1, 3)",0.0009768638700050304,3,1.0027701766832202,1.0009119464991387,1.0037497466387406
io.jenetics.util.SeqPerf.arrayList_get,"(1, 3)",2.4800370552834447e-07,3,1.003699966363942,1.0034990915819932,1.003700215285253
io.jenetics.util.SeqPerf.arrayList_set,"(1, 3)",0.3783103606937849,3,0.0065322881672265,0.0040610558745273,0.3337559876021414
