Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.PhenotypeEvaluationPerf.baselineEvaluated,"(1, 3)",0.005086643345446108,3,48771.872337750974,48568.90790625304,49121.19203999607
io.jenetics.PhenotypeEvaluationPerf.baselineHalfEvaluated,"(1, 3)",0.009891890797269843,3,46157.30713599471,45521.622641509435,46573.287187039765
io.jenetics.PhenotypeEvaluationPerf.baselineUnevaluated,"(1, 3)",0.12485277288844654,3,55691.57992831204,50114.08510218185,65493.89661740558
io.jenetics.PhenotypeEvaluationPerf.evaluated,"(1, 3)",0.007366859384667232,3,12172.585872917056,12052.80633326897,12268.55489964581
io.jenetics.PhenotypeEvaluationPerf.halfEvaluated,"(1, 3)",0.0063118743153119826,3,10915.140789526973,10852.171679621491,11011.014390705452
io.jenetics.PhenotypeEvaluationPerf.unevaluated,"(1, 3)",0.0021968366585610717,3,11334.182796282636,11307.720938710414,11367.53321527494
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 3)",0.013777996346309712,3,43.64893393977635,42.8189029699139,44.22457350272233
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(1, 3)",0.026254247080329852,3,44.99283880398233,43.36964627983969,46.146448041949306
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(1, 3)",0.066543628646798,3,59.70148450222772,55.10957186361736,64.80099361695437
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(1, 3)",0.03366731127434665,3,45.14126054325561,43.43490499648135,47.126198952879584
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(1, 3)",0.0646423078066501,3,65.9611334257222,60.46084699864601,70.85163747143945
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(1, 3)",0.2884992852408907,3,47.7800334726758,37.83973381801125,67.272983310153
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(1, 3)",0.27750253140547715,3,48.660156760798195,38.74754609668837,67.7520361666248
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(1, 3)",0.05983022633979935,3,42.38762345504923,39.319996497986345,45.530678225032865
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(1, 3)",0.01849819480713334,3,45.09138874565326,43.96487657810439,45.95768809635539
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(1, 3)",0.04256927364302002,3,99.79025995705429,95.41586161879896,105.54351032448376
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 3)",0.030457509361874368,3,42.652137208391196,41.72947114660238,44.48930470090837
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(1, 3)",0.010326380963801942,3,134.49399935747775,132.68468958694038,136.06054389563937
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(1, 3)",0.004862441310642607,3,48.9731628265581,48.67561730041064,49.25853068018461
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 3)",0.07577427153208975,3,66.10885337213712,59.60873044743544,71.79852252913646
io.jenetics.internal.util.IndexSorterPerf.heapSort160,"(1, 3)",0.007182459815315448,3,10791.20428771954,10690.712535746296,10879.359916601512
io.jenetics.internal.util.IndexSorterPerf.heapSort250,"(1, 3)",0.007399228149776913,3,20553.313702716776,20341.38682322244,20691.012380439734
io.jenetics.internal.util.IndexSorterPerf.heapSort320,"(1, 3)",0.007738896967384299,3,26644.55877153152,26353.41308134931,26804.37900128041
io.jenetics.internal.util.IndexSorterPerf.heapSort80,"(1, 3)",0.013409964207612972,3,5800.247226374653,5711.169797556083,5900.676546694896
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(1, 3)",0.04310308889359292,3,16558.059824432283,15760.40790633262,17492.490716737895
io.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(1, 3)",0.03080914853047617,3,37881.31149403995,36302.85333719415,39088.27771696638
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(1, 3)",0.040275206921180556,3,61395.194142017244,58481.42388758782,64526.551091590234
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(1, 3)",0.04369167173870883,3,4297.638638776499,4037.973124878868,4475.609714285714
