Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.util.ThreadIDPerf.getThread,"(3, 20)",0.022814112385867995,60,34.72572903457059,34.4784971010321,35.00925753857081
io.jenetics.util.ThreadIDPerf.getThreadId,"(3, 20)",0.0572048414774398,60,35.954228551719666,35.45388383736426,36.787158298066885
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(3, 20)",0.06756808046285076,60,39.643083957441476,38.82346878866585,40.591921350268024
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.05264144279704664,60,38.93692488395334,38.297795253049856,39.65189694070393
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(3, 20)",0.04563940502319646,60,37.26162846834132,36.820436514678086,37.93495973158261
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.04382190195822986,60,36.30251438505493,35.800807810181205,36.873458797113486
io.jenetics.util.SeqPerf.arrayList_contains,"(3, 20)",0.003792757746774032,60,660.5296470803958,659.7530402451814,661.4323014047241
io.jenetics.util.SeqPerf.arrayList_copy,"(3, 20)",1.357126396016512,60,0.05342518707819173,0.03359848005050244,0.08140290480963792
io.jenetics.util.SeqPerf.arrayList_forEachLoop,"(3, 20)",0.00807419716041358,60,1.0084320924626935,1.0060640905929212,1.0114404448083059
io.jenetics.util.SeqPerf.arrayList_forLoop,"(3, 20)",0.0019469120522395335,60,1.0041235426483228,1.003509050437244,1.004813656504246
io.jenetics.util.SeqPerf.arrayList_get,"(3, 20)",0.0020493291804272486,60,1.0043886306672845,1.0037169043924152,1.005087845510011
io.jenetics.util.SeqPerf.arrayList_set,"(3, 20)",1.0651037782316495,60,0.008650329386414609,0.006049956230179915,0.0120135118446164
io.jenetics.util.SeqPerf.array_copy,"(3, 20)",0.963686578572499,60,0.04329465308023233,0.030342243519144708,0.05844542620277624
io.jenetics.util.SeqPerf.array_forLoop,"(3, 20)",0.6570760824415042,60,0.005140602552666391,0.004083089873034135,0.0063398020817935045
io.jenetics.util.SeqPerf.array_get,"(3, 20)",1.026468133423967,60,0.005385871076173255,0.003846584848757441,0.00740371086896131
io.jenetics.util.SeqPerf.array_set,"(3, 20)",1.8762241570688902,60,0.020106734308091786,0.010199600762595714,0.03502071676577854
io.jenetics.util.SeqPerf.mseq_contains,"(3, 20)",0.006607092981286882,60,713.6252433308869,712.1767152485469,715.376245193833
io.jenetics.util.SeqPerf.mseq_copy,"(3, 20)",1.0232350977656244,60,0.047744502673415484,0.0322083403528964,0.06506259878461502
io.jenetics.util.SeqPerf.mseq_forEachLoop,"(3, 20)",0.021943501450484675,60,1.0116064184146525,1.0065485124358289,1.0206764839154023
io.jenetics.util.SeqPerf.mseq_forLoop,"(3, 20)",0.0024158701117091624,60,1.0045989931949042,1.0038784469343423,1.0054738056206216
io.jenetics.util.SeqPerf.mseq_get,"(3, 20)",0.0027413409291533884,60,1.0048947064717761,1.0040249316125476,1.0058366743585452
io.jenetics.util.SeqPerf.mseq_set,"(3, 20)",0.9991358920890518,60,0.010403877099601664,0.007709609661237159,0.01449789446553247
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(3, 20)",0.03779238720164924,60,45.05711471859126,44.50609046466718,45.65097594095922
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(3, 20)",0.037851762055313064,60,130.6251286681259,128.94880269477346,132.24980888404588
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(3, 20)",0.04133382862486909,60,50.23515163691875,49.60619689583843,50.949808744785216
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(3, 20)",0.08015090993697681,60,64.33087314284218,62.66341329056999,66.13390158125992
io.jenetics.internal.util.IndexSorterPerf.heapSort160,"(3, 20)",0.021195463572795906,60,10746.454114459095,10669.219326823533,10821.714108554228
io.jenetics.internal.util.IndexSorterPerf.heapSort250,"(3, 20)",0.013640306319614203,60,20252.954468740816,20160.574423942086,20342.615819964565
io.jenetics.internal.util.IndexSorterPerf.heapSort320,"(3, 20)",0.013632089794746205,60,26486.656225685972,26365.892724412424,26607.120738959347
io.jenetics.internal.util.IndexSorterPerf.heapSort80,"(3, 20)",0.025659892088148006,60,5738.149568997906,5687.691034703702,5786.447689211128
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(3, 20)",0.04973771860122912,60,16732.262679096904,16462.1198429886,17015.976775616426
io.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(3, 20)",0.030230635802233174,60,39037.94540811959,38638.4043749666,39434.383497005045
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(3, 20)",0.03558220941980303,60,62360.62789081397,61597.857914178094,63073.06017691103
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(3, 20)",0.06622301895833012,60,4579.39995668704,4479.80155846452,4679.7418637301735
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(3, 20)",0.021666205537010593,60,39.34540579901955,39.087263514248534,39.65989122675167
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(3, 20)",0.022865180118032197,60,39.19681624212374,38.90871509438123,39.50121483708141
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(3, 20)",0.04012684535871674,60,37.579311913113706,37.09917576351632,38.115543908831796
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(3, 20)",0.011813527578597847,60,35.9250156689772,35.79838767806683,36.07928780283238
io.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(3, 20)",0.01601847615036908,60,51.692855353157135,51.43873852676442,51.98483430448365
io.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(3, 20)",0.054545230881884066,60,40.579867857162185,39.892942651379535,41.33070759766551
io.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(3, 20)",0.019520649121245997,60,38.043159915739004,37.80486239910563,38.291794220112436
io.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(3, 20)",0.03997121114715053,60,51.42817881594483,50.78058690495192,52.17140810363045
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(3, 20)",0.05199805913987591,60,41.79003670715033,41.092231266632055,42.521095911198756
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(3, 20)",0.03572741124706582,60,43.52545772363609,43.0064833641625,44.06955280670114
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.1313516878772058,60,58.082212269712095,55.44601793891319,60.621648990676505
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 20)",0.051390526300446965,60,45.45480300742167,44.7591418015378,46.32137492213902
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.18517528136963385,60,63.35179747385526,59.44037639637779,67.10881615397551
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(3, 20)",0.15712087969013375,60,52.20050301482889,49.46907047955835,54.97143593518919
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(3, 20)",0.12908655350632964,60,55.144657713430014,52.75084245691285,57.50514660735503
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(3, 20)",0.046309592452400954,60,41.94882259062262,41.31433962718131,42.591064391622986
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(3, 20)",0.02871442712959162,60,42.076081683924365,41.67242871845588,42.479280871785804
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(3, 20)",0.04034909129074704,60,99.55052267201589,98.22503713832478,100.87508914793925
