Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.03648072382884752,60,795414801.0666667,783539794.8730007,812521007.4971479
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09885809621337889,60,298997077.3333333,285826808.55440295,315083785.17512685
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.048547083323661734,60,1129159065.6,1109918105.5091522,1163344517.686632
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.04660713206620042,60,982061329.0666667,956697414.993259,1001926586.8004107
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.09202075495037135,60,49.04599372072288,47.92112346292298,52.24434779069325
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.04437982527623384,60,46.77298355665463,46.08851856711655,48.10985075076898
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.9963120099659081,60,52.778718154091045,47.624623465428,100.45572680414145
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.46501647709470184,60,48.14844879859234,45.11218831056634,68.13238576186376
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.17741613963790925,60,53.786229106833126,51.62639607923333,61.42644765525928
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.1913234139663478,60,51.4192356978741,48.93657052263087,58.16989696554522
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.017536520091835407,60,2987602739.2,2961667348.485146,3013567652.075946
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.043591227836005685,60,909351321.6,892995114.8174065,932647608.9619069
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.06738904483006485,60,1324596155.7333333,1289247880.1115108,1378769769.4737332
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.10649234805015045,60,371125998.93333334,354112978.05887306,394911175.99074924
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.042922227372768754,60,2100053060.2666667,2059370916.3525329,2149764004.6702976
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.07991328587778551,60,831057646.9333333,799588255.0238956,865182380.739122
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.017051022844409732,60,13463436219.733334,13380323618.897001,13608335011.263105
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09066859018584758,60,136102980.26666668,131720818.06129909,143715135.8187655
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.0263415306531594,60,2921123020.8,2887578240.0027447,2962322228.3534307
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.06515062434937965,60,807779259.7333333,791936759.9911045,844155478.2006911
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.005493821127220252,60,8737014852.266666,8715864099.649967,8763794652.746435
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08073207928497828,60,204542225.06666666,200499789.64497018,216611072.04668066
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.01225618544138953,60,10786351786.666666,10715833565.471762,10847653756.312586
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.008328481102594577,60,12249604642.133333,12200141959.992058,12301435913.455414
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.jdkIntern,"(3, 20)",0.018247728473499734,60,249.2035546421794,247.13614566457,251.588002584736
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.xdIntern,"(3, 20)",0.013159552304940472,60,118.17928295663506,117.41093546828901,118.95222495193829
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternDefault,"(3, 20)",0.006322633373706828,60,149184277.94285715,148666337.8968088,149648078.0661599
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternSparse,"(3, 20)",0.004998717759219896,60,137644168.53333333,137323547.5910828,137988827.7588232
