Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.0444920825287938,60,314.38384751768376,306.2006904488627,323.4376228616994
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.019991983345138832,60,349.9827287430636,347.081752418919,352.71804141703564
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(3, 20)",0.020078333330722526,60,34030097.112047605,33686970.75813141,34375893.95181942
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(3, 20)",0.012677459803854523,60,25321723.583154313,25102787.769139018,25559811.41561831
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.00519442214101988,60,9666804.630936494,9611612.92008901,9724450.484620066
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.013223765557809575,60,13208666.721059285,13069719.120156009,13335398.307235409
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.0017159709453428921,60,652372.8728970296,650392.0441557737,654057.7883231657
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.0020638067037009994,60,5910385.478913139,5894283.774409352,5928004.035524834
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.025179856115107913,60,2961318434.133333,2908888935.0826664,3028499649.8773327
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.15497301464919044,60,339742993.06666666,320562397.18399996,358858205.8666666
