Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.006648936170212766,3,796218709.3333334,783286272.0,816840704.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.11678200692041522,3,313611605.3333333,267649024.0,370147328.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.02384737678855326,3,1324001962.6666667,1287651328.0,1365245952.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.006122448979591836,3,1033196885.3333334,1021313024.0,1050673152.0
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.012349473487743559,3,47.17832696741359,46.56910800797948,47.814469884907886
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.008541375402286564,3,44.75177849362439,44.20505971087366,45.464391282071496
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 3)",0.007808007698977151,3,51.11414025401629,48.565505268682635,55.82922629054082
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.003209472988510982,3,45.783923634214666,45.26274195395717,46.680549707154604
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(1, 3)",0.024576354670471895,3,55.25389490416699,53.85658227848101,56.691572870374216
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.09043946273078662,3,54.10156432980642,47.486831897431706,59.892634536037214
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.038582421220204215,3,124.22585643518319,112.94633672625257,132.32346634150443
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.0065583740846997685,3,49.59769208209375,48.660812294182215,51.15020901822314
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(1, 3)",0.0036517833850185396,3,37.011948893305586,36.68855702515178,37.24139617003939
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(1, 3)",0.009330648395643026,3,76.56887150231617,54.94977044720286,119.28952758506772
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 3)",0.05691449397574738,3,150.3550726968715,77.29759524047596,291.80517644765064
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(1, 3)",0.01982393075682312,3,107.11397594099192,92.22841145080308,135.01979755488367
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 3)",0.007657496025167547,3,627.2689103201554,609.6630503609271,657.7761130319717
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 3)",0.006822061906508833,3,643.4662390158511,615.7508974358974,694.6673772169166
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(1, 3)",0.028492151346684882,3,123.18641923696923,119.21675056836636,127.62939604043105
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(1, 3)",0.005525581464819446,3,120.3720917226921,119.55980783323834,121.33235135471556
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(1, 3)",0.013422236406472209,3,300.82703362251794,295.8116937161881,306.8332415370928
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(1, 3)",0.0017963177380979365,3,356.5064095202624,349.8767796021628,360.14411109986844
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(1, 3)",0.0028032204439517854,3,33567903.28888889,33415714.133333337,33778346.666666664
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(1, 3)",0.030735410649011963,3,25796843.936934266,24693485.268292684,26747311.157894734
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(1, 3)",0.0004092389791941935,3,9702186.63480209,9667977.846153846,9721279.378640777
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(1, 3)",0.0011736515233017784,3,13398034.204444444,13375460.693333333,13417185.28
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(1, 3)",6.351027432329809e-05,3,654724.1780778376,654607.5913555992,654915.7745740497
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(1, 3)",0.002740754033639523,3,5939525.318969998,5891397.270588235,6019590.168674699
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.002911208151382824,3,2853524821.3333335,2789212160.0,2889875456.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.029639175257731958,3,367875413.3333333,277872640.0,418906112.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.002840909090909091,3,2977955840.0,2944401408.0,3036676096.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.003416856492027335,3,915756373.3333334,902823936.0,923795456.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.14931506849315068,3,1502958933.3333333,1218445312.0,1759510528.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.009554140127388535,3,346729130.6666667,326107136.0,384827392.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.016822429906542057,3,2203407701.3333335,2084569088.0,2281701376.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.12190221031480242,3,786432000.0,687341568.0,889192448.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.00878293601003764,3,13404995584.0,13254000640.0,13589544960.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.005149330587023687,3,125195605.33333333,120389632.0,127926272.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.005813953488372093,3,2975159637.3333335,2868903936.0,3170893824.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.003136762860727729,3,840783189.3333334,833093632.0,853540864.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.01338432122370937,3,8802445994.666666,8657043456.0,8975810560.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.006587615283267457,3,201588736.0,197656576.0,208142336.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.02086677367576244,3,10441020757.333334,10200547328.0,10670309376.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.009708737864077669,3,12085187925.333334,11945377792.0,12213813248.0
