Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,57,0.019994204578382985,719362232883.2064,-920751705104.6603
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,57,0.07118095678299062,10840259915884.19,-23143987181544.07
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,57,-0.03493463151771223,44599576196.60535,-50158940766.27225
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,57,-0.0656092285508291,445418105458.7719,-462429907134.0151
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,57,0.06600975788303154,773453.1237967048,-1304945.9628299116
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,57,-0.05483168584469351,263164502.99732488,-10174626014460.363
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,57,0.05957794035186586,42792620005913.65,-1355000422.8803716
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,57,-0.04341370954384983,1597.08703769728,-2754779818.4384007
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,57,-0.041802665404160146,205039.5844972118,-228808.86960573567
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,57,-0.02199744624743946,9049.861574195975,-10175.598601245616
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,57,-0.053268613770970474,4863136314827.239,-96607.285086171
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,57,-0.050414628758275876,18176.418385914636,-20204.962915954624
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,57,0.023692963716774113,12319.627051800846,-11771.896143089525
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,57,0.5895267815796668,1731129759078561.5,-85116776.00341341
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,57,2.8097302090073137,2.0099323578900676e+16,-2801081810.9609027
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,57,2.8831311784995637,2.843400303700848e+16,-2810006804.0072985
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,57,1.962279155686997,2.726403610997526e+16,-2566458294.228678
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,57,-0.07629857389509864,15470.234909039391,-4796341604931.287
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,57,-0.1433097834357068,37088.81567405887,-98964.72219453548
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,57,-0.09124780015336144,21299.482417082385,-17858.10554652461
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,57,-0.0402372779828046,39500.57241047275,-33626.256395657096
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,57,0.09797740432454452,3003482.921027239,-441158098660057.7
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,57,0.2243358967339381,883830.0877276426,-1646533.6343889162
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,57,-0.3910617055557512,21275.221968131038,-50095.203382040454
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,57,-0.00755503736652429,3857.0190065083825,-243656952968.67487
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,57,-0.11812599959509756,12353.066673128793,-58698.47696848762
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,57,0.015153882007100366,31934.682234885215,-30347.942915903084
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,57,0.12320227973099923,5630130.874003112,-94296553036084.7
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,57,-0.028277151655396897,530270029.97325,-369271391.3604022
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,57,0.013149051270280664,5582762939179.918,-9803868452836.947
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,57,0.023966834073935774,18384480.46333479,-18978820.933110036
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,57,-0.006655823982386549,652603240528.4462,-1488096398691.1746
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,57,-0.004362409296056768,169671.22556434298,-245039.0259696504
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,57,0.003335398374946913,602996499239.2972,-1327857103.2379708
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,57,0.001974070319586003,3396785102411.887,-5076637530158.869
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,57,-0.053158522050059595,5552339058734.566,-8197891931657.127
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,57,-0.020972167777342197,24477080218.835503,-24871333211.41598
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,57,0.04034071876345874,3871932884201.998,-2512056049875.3086
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,57,0.10719469210035239,19679438422600.402,-14768569984407.111
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,57,-0.04863313349228025,2105098720943.6006,-3479884482733.6875
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,57,0.044928403053864883,5332245305693.135,-4253621332838.1035
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,57,0.03202416918428992,15291993094016.87,-24057756088688.375
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,57,0.006619208192831215,441140146849.7478,-668373007202.8838
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,57,0.08976705964672493,2168508718888.8208,-1217765573824.23
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,57,0.010250651119447531,11064463812031.016,-21884773629959.402
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,57,0.10260400028853177,54596535141966.82,-103447071065337.45
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,57,-0.010151481610322298,258082543865.18997,-325480368172.392
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,57,-0.027611557531201876,654994299.9185065,-869334396.0732889
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,57,-0.030843703271916215,7703947610582.887,-7937809176888.3125
