Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.05430348997409765,60,814219264.0,801112064.0,831520768.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.16571795239533524,60,301989888.0,288882688.0,311689216.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.08558235355838086,60,1053294592.0,1020264448.0,1138753536.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.08192045230596125,60,964165632.0,956301312.0,1090519040.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.24167525854037716,60,41.192452052139174,40.10061960031416,41.90524829371617
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(3, 20)",0.21869614189523737,60,43491.127615564765,41964.28231349539,44291.752249867655
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(3, 20)",0.28492675706275683,60,44912.95974096819,39348.56154148644,48491.16456843105
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(3, 20)",0.11209842677353442,60,427.1650757850053,423.7654761904762,436.90134207608196
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.09461121168528487,60,424.9709847946269,417.943784901202,434.3584292371892
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.8298442524848753,60,40.18341432643133,39.31989501764048,40.784573916649386
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(3, 20)",0.9652093790867442,60,73.422936613016,72.43474364416772,75.85515411118354
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(3, 20)",0.12373406254113674,60,85.01475012874894,83.78470394261086,90.9171275255982
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(3, 20)",0.3422469473025917,60,314.0799473860464,308.0514169503515,600.4194982945469
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(3, 20)",0.3430732705997616,60,323.2101042010763,312.2762764104168,471.2264149054836
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(3, 20)",0.5484054391466345,60,122.11607922322935,120.63806591211716,124.93186947001594
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(3, 20)",0.029313964972301047,60,120.58090737719054,119.62347829651186,122.6220032979578
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.29987934423275375,60,307.6037066349612,296.7911813643927,343.9348382020262
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.0816197383768923,60,309.5842595804712,297.4991019831948,325.90543222020983
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(3, 20)",0.028982359402901572,60,33740663.46666667,33559893.333333336,34269866.666666664
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(3, 20)",0.023133598411399076,60,23736224.744186047,23607438.883720927,23846525.805714283
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.02875524969517367,60,9445066.867924528,9419881.271028038,9869432.470588235
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.028061401420905,60,13457708.373333335,13423738.88,13898163.706544897
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.002052110895556978,60,637317.8775510204,637067.0133843212,638084.0025526484
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.009555313542517251,60,5841015.069767442,5832418.232558139,5906962.070588236
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.05539669401878324,60,2636120064.0,2571108352.0,2692743168.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.16709504409041864,60,279445504.0,268173312.0,294125568.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.03010169773781993,60,2967470080.0,2936012800.0,2994733056.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.04993404225921607,60,756547584.0,735051776.0,781713408.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.10063355757065548,60,1264582656.0,1257237381.12,1319108608.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.13650798286040922,60,351272960.0,342884352.0,407633920.0
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.06304908739922356,60,47.62848787004737,46.98752694022886,48.24716627252712
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.08672694789549182,60,47.64094439104549,47.057151986233734,48.01423459557233
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.05820610070690608,60,47.60907845962404,47.00167182962109,48.1388025036413
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.05683532727232997,60,45.5117626038871,44.416931818181816,46.44298476090383
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.07015707558056421,60,52.56263552481279,51.187033139366925,54.04614068847552
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.24962308994413418,60,48.62411255216953,47.23639109916452,49.80686648677097
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.5462102279830094,60,116.51323625576242,114.71843628466365,120.59162400771572
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.07930203653125928,60,54.3897986122674,53.60366128415956,54.98528521998391
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(3, 20)",0.4102317904554735,60,40.38512546942675,39.200009828180484,41.05330000036288
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(3, 20)",0.1810116988122698,60,55.378249908887625,54.768360106431246,56.78449853357732
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.04591702860728157,60,2018508800.0,1979711488.0,2059403264.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.12037653013807058,60,747372544.0,676855808.0,758644736.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.014186629897144901,60,13421772800.0,13329498112.0,13472104448.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09384645202147811,60,127926272.0,127696896.0,128319488.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.04902674608085501,60,2854223872.0,2814377984.0,2931818496.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.08024664187783863,60,803471360.0,781713408.0,817895833.599999
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.005354608770482935,60,8724152320.0,8698986496.0,8740929536.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08410996455413221,60,202768384.0,200015872.0,206307328.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.014646003143789093,60,10989076480.0,10955522048.0,11064573952.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.015455709419884339,60,12356419584.0,12213813248.0,12398362624.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.02279363704927235,60,1632632832.0,1625292800.0,1646264320.0
