Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.014673879503194048,3,810549248.0,806354944.0,833617920.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.13846183277970178,3,271056896.0,270008320.0,358612992.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.03865409987478881,3,1228931072.0,1201668096.0,1314914304.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.030871253005107648,3,1049624576.0,1042284544.0,1115684864.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(1, 3)",0.01443288196007272,3,39.13587052390192,38.492789415656006,39.87637277819433
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(1, 3)",0.05825421100356128,3,44053.78579600457,39969.68028304921,46035.61888139627
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(1, 3)",0.21561272417280553,3,38857.00046375019,33303.59051957075,54835.44490873104
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(1, 3)",0.04205247491615054,3,453.38213694662807,428.4578576392336,475.0072026474596
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(1, 3)",0.009431726439053002,3,411.6409533817348,411.2648682378918,419.73396846890415
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(1, 3)",0.039493572939532005,3,38.89861024683675,38.528334786399306,42.03411558376482
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.003824153796828322,3,48.74837615324149,48.368620661225165,48.77638825624249
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.012316766247409723,3,45.70176614365686,44.51818721551553,45.70217288615966
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 3)",0.017653671231320223,3,48.25806856187291,48.03975623911782,49.96489917849141
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.03857408031677791,3,47.67277518265661,45.16631255901794,49.64319361277445
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(1, 3)",0.044621115918419524,3,49.56466680506539,49.47127472257483,54.35713701431493
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.056470959480808956,3,55.02264444535441,52.40021929824562,59.99918140144074
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.1926314539333121,3,131.12214963638604,108.69660352710646,172.62507593812796
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.007506555973610137,3,50.700365101347096,50.18525944341968,51.11507870753936
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(1, 3)",0.5999830822438479,3,38.67525900684273,37.706585524885895,122.60906778965791
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(1, 3)",0.6058658271962155,3,54.87915328903159,52.75874810627055,174.80831998909747
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 3)",0.1026573163831831,3,76.27372016936104,70.81421106582994,90.09940575231757
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(1, 3)",0.011797440842145472,3,85.1420741765551,83.64247297653573,86.07557727165262
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 3)",0.001476746299309165,3,595.8063994694741,594.2793483667717,596.3585250394485
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 3)",0.021132154142164704,3,623.6831221099503,618.446880631597,648.9566927413364
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(1, 3)",0.004125897254947467,3,119.36409100225455,118.36162633583098,119.43912633692578
