Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(3, 20)",0.2463569095824516,60,86.87018056795357,77.50107468537286,99.62697139911563
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(3, 20)",0.10201772946384301,60,88.10151002867018,84.14203635184631,93.02644956999913
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(3, 20)",0.18336543145036907,60,508.7947760959906,459.4753514823272,554.0214982062402
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(3, 20)",0.1916541807887797,60,519.2229083158089,469.28493125818653,567.4916405066849
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(3, 20)",0.2260430279928602,60,131.90643074724,123.0735774010133,152.75090059724695
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(3, 20)",0.04312839562310891,60,123.41604243417399,121.56841387854097,126.98800355360618
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.0558505184797791,60,307.6248990714934,301.6743564825147,319.1276127549293
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.023252112368240593,60,301.9676046133897,298.69649641574216,305.623675658981
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(3, 20)",0.025792213280666637,60,34344215.962955445,33940537.94468335,34812605.16287423
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(3, 20)",0.019287043324391826,60,24214535.912689492,23996086.927264746,24465318.920909077
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithValueGetter,"(3, 20)",0.14898571822227877,60,130805851.02222224,121892093.952,140830199.35288885
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testNoSort,"(3, 20)",0.1325846171843427,60,102707291.02222222,96415814.99733336,110046691.32799998
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testQuickSort,"(3, 20)",0.08482651170041394,60,210199438.2222222,201731396.9493333,218896833.64977774
