Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternDefault,"(3, 20)",0.008420948517189556,60,150372039.9238095,149949482.52038094,150785253.76609528
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternSparse,"(3, 20)",0.0033664312734806197,60,136625083.73333332,136478717.26933333,136778001.06666666
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternDefault,"(3, 20)",0.02147353362907338,60,122557386.9037037,121692927.92414819,123465164.11733334
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternSparse,"(3, 20)",0.018537516333977072,60,121159771.02222222,120426360.6802963,121928334.90488888
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(3, 20)",0.6753383904264445,60,87.99102154883124,74.55801897853608,112.18286825246635
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(3, 20)",0.06897888948804616,60,79.49649783437465,78.07355056213038,81.69902330277226
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(3, 20)",0.29843870740905803,60,525.8750507015545,474.7184115725849,576.2943298231929
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(3, 20)",0.028911404320112168,60,606.2131924485182,601.4131207596497,612.7688584601034
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(3, 20)",0.05537615802080179,60,126.08595788631041,124.0085275248242,128.62276088368952
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(3, 20)",0.03818441199357355,60,125.11996279346491,123.71612734075396,126.93275095846806
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.07506275590497077,60,307.4579105090344,301.9783253679524,316.95542201122316
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.07086962368220934,60,316.8023182136345,309.46321612588014,324.37853781999354
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(3, 20)",0.05249990689397617,60,34312238.00680209,33800061.31457937,34988317.232320815
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(3, 20)",0.02741467631669823,60,24046040.196885273,23845170.725852236,24282587.252526466
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.06400431460960744,60,770161595.7333333,754677536.0853333,787673339.2213331
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.12670575372860365,60,303558382.93333334,291071568.55466664,316879798.27199996
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.0793211763263565,60,1105531153.0666666,1077341760.1706667,1135083782.144
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.055888788908762234,60,952281770.6666666,933686586.0266666,969967752.5333333
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.8341667911342582,60,44.51599096883988,39.30403702703771,59.2661153931223
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(3, 20)",0.22865765565846677,60,41903.50989780341,38876.16103668534,45145.41164160092
