Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.0074962518740629685,3,699400192.0,694157312.0,707788800.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.0713128038897893,3,323485696.0,300417024.0,409468928.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.0018726591760299626,3,1119879168.0,1117782016.0,1132462080.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.0036540803897685747,3,860880896.0,857735168.0,866123776.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(1, 3)",0.0010445307966035517,3,39.12495644599303,38.60065445026178,39.16582366791664
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(1, 3)",0.17212753700639036,3,39221.35504070132,32470.279799492226,55031.06720275703
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(1, 3)",0.026835663950698842,3,37166.86486888047,36169.46737315816,45547.86051244103
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(1, 3)",0.005682499139260646,3,420.76287059294873,418.37188594297146,527.2787171429997
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(1, 3)",0.010829891830037798,3,486.85092119224464,481.5783783783784,503.0106274566895
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(1, 3)",0.0027726620509558957,3,51.05923814659323,50.82313998691351,51.20080815855301
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.0023186767001727193,3,48.4685517862258,48.356168884507966,49.52177657480315
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.0027434630292629283,3,46.24692733138731,46.12005059603664,48.11540528093337
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 3)",0.00197509205411035,3,47.6741600096343,47.579999155012885,50.70217051714215
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.04963432153614501,3,49.68960426491696,47.22329446982827,87.53577725837536
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(1, 3)",0.08383800818009957,3,52.74146443514644,48.3197251084022,60.04784891598916
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.0037300155301655973,3,44.70635354798375,44.5395981549527,46.38949153879531
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.012301364301997663,3,116.44472191502264,109.40348152696016,117.87715086034414
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.058985937000658815,3,52.209342920078136,49.129725907748615,56.3234155989337
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(1, 3)",0.0929941537805505,3,41.66794651132,37.79307108572655,105.46897892737633
