Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,57,-0.03231395651043924,-0.034046361314448874,-0.03413345078176618
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,57,-0.037094098127518384,0.10302716387665004,-0.14882983503533737
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,57,0.03397196946266673,0.08967913204136108,-0.0017501047762290283
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,57,-0.04112084527101998,-0.05166289958023887,-0.028593948890657018
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,57,-0.020442306859113323,-0.027031167751021056,-0.014968838930243835
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,57,-0.03853725381782325,-0.06972184129441276,-0.014970331631332753
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initJbChaChaCipher,57,-0.054097804992171324,-0.07566231990366139,-0.036950860139870104
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,57,0.2033982593012376,0.4493923441462747,-0.009030060458750416
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.jbChaChaCrypt,57,-0.2406986934645669,-0.4539866848468402,-0.046669594245568054
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,57,-0.28614751969354135,-0.5016419117069628,-0.032015609898167506
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,57,0.01588949112717327,-0.0025440554459553945,0.0250356545306943
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,57,-0.04396377443689393,-0.06369219556136536,-0.030906158202610324
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,57,0.02751023907077723,0.10386995043655124,-0.003446350722992587
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,57,-0.013180970633632065,-0.015736210898964112,-0.007408248276780289
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,57,-0.08545756914907623,-0.2557127890595259,-0.03990219041680804
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,57,-0.06869751480805149,-0.09214714487291416,-0.04291542415727114
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,57,-0.05946687977158653,-0.02625163714472752,-0.07101470169362424
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,57,-0.13457467661876865,-0.24881873569846608,-0.046385658198232864
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,57,-0.06573942436763641,-0.1026773799783058,-0.0435076149472907
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,57,0.2223084009055166,0.6518358027859129,-0.02299363615322997
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,57,0.5507975403416032,1.3415003539518855,0.026557135961469594
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,57,-0.05648090790160968,-0.11409331220201344,-0.01153110678849852
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,57,-0.3831877597109152,-0.41824382524020726,-0.33892997684607096
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,57,-0.26538225643544494,-0.337643370827228,-0.18030008689342486
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,57,-0.12646584027137886,-0.27121956288934196,-0.02673688346658978
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,57,0.022270089728989882,0.0598238811035353,-0.026328310037458006
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,57,0.06196006848958192,0.046871572937564894,0.08353252050572015
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,57,0.10698724490421563,0.1070666172660649,0.10159389347936147
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,57,-0.024721317525372606,-0.03545073309989055,-0.016950588695568054
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,57,-0.046709474659395074,-0.056894385117212114,-0.03701889813390826
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,57,0.06972128741955382,0.045409068869534996,0.09725089362590211
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,57,0.057752992249023666,0.057381561391103786,0.06654819058349011
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,57,0.0018005706480030811,0.005020764085438219,0.00015833366162041007
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,57,0.01562847458088294,0.02681732385569096,0.011373032384710189
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,57,-0.06494668555663255,-0.05105420956397947,-0.06444567013761698
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,57,-0.0451528312709989,-0.019471643148368453,-0.12065432180081131
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,57,-0.010248901903367497,-0.010429419060220798,-0.01465498195743434
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,57,0.05781634807083371,0.06852018500690187,0.05960586880084533
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,57,0.006534569983136582,0.0609395747503045,-0.03024041753266843
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,57,0.023438458706589792,0.032198500793187965,-0.04806663961742816
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,57,0.0348933948875222,0.029356708174968237,0.04200871041727831
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,57,0.02566324706698011,0.10236708458133016,-0.03822580631572913
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,57,0.011397495468089106,0.01775049767750496,0.009648590384897062
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,57,-0.05633335222717963,-0.07385033974997307,-0.06179452815435449
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,57,0.09826314537235313,0.13670341992150994,0.01402333341674724
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,57,8.690740016504502e-05,0.03346382410946701,-0.045479909746657395
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,57,-0.0010871650572361444,-0.0014665561435949464,-0.0038142248148979423
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,57,0.07884532529082293,0.2775319676677428,-0.021746071349338626
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,57,-0.0030172524950356117,0.002103622286466417,-0.004278490859587709
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,57,-0.002833379032995073,0.0013660062197169373,-0.007843676895555311
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.randomRead,57,0.005829043100880807,0.010301756784871184,-0.005581468059009445
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.successiveRead,57,0.0417831190609279,0.14491519335036465,-0.047706072552687266
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.randomWrite,57,0.04171618730686967,0.07285104115384,0.009774908079992909
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.successiveWrite,57,-0.018937956050444873,-0.017051992886285224,-0.020158203623373252
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testBoundedSort,57,0.0031339268380617554,0.1369318478916311,-0.15206088223606015
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSort,57,0.22166806577452972,0.264404041486554,0.1946435828877237
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSortWithValueGetter,57,0.12272481032638435,0.2765097752081734,0.011152104190653156
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testKeapSort,57,0.08828497615262323,0.10317370379328394,0.04443226566206983
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSort,57,0.08276939094221748,0.14726369448380214,-0.10437667461142737
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithArrayList,57,0.011687174998712841,0.12438712000927743,-0.11646039884406816
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithValueGetter,57,-0.09641873278236926,0.0800181394567813,-0.17493145428370002
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testNoSort,57,0.24721837710921482,0.2795165253044312,0.2192498491409229
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testQuickSort,57,0.033558314746333064,0.15599324193401656,-0.08303577120851939
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testTimSort,57,0.09265613086573772,0.18082797273442144,-0.05621741020474405
jetbrains.exodus.benchmark.util.JMHStringBindingTest.byteArray2byteArray,57,0.018232378668162748,0.03753839947219204,-0.027289475230308256
jetbrains.exodus.benchmark.util.JMHStringBindingTest.byteArray2string,57,0.03866509400345113,0.10616308707698897,-0.03303211193483794
jetbrains.exodus.benchmark.util.JMHStringBindingTest.stringBinding2byteArray,57,-0.01116011494707087,-0.014949219738162786,-0.008704983859385345
jetbrains.exodus.benchmark.util.JMHStringBindingTest.stringBinding2string,57,0.1838432164658952,0.13081002056330904,0.24018917860037461
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.jdkIntern,57,-0.02182599106936359,-0.02245264762439011,-0.023155950334033743
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.xdIntern,57,0.004258936269000739,0.004361338550082084,0.005772747188998181
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternDefault,57,-0.014902522029272778,-0.015289019778557565,-0.01255078700441809
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternSparse,57,0.0036550115065175316,0.00644667265564273,0.003456636693156171
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternDefault,57,0.03174014323357626,0.03707225833932203,0.032095680069230074
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternSparse,57,0.009298645701955514,0.012243438330973964,0.010043775189120073
