Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,57,0.004194305871025322,0.012318980675863777,-0.009351293764330113
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,57,0.01723268636350935,0.061006855831025206,-0.020576277139569096
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,57,-0.05344321820605134,-0.1046363083137564,-0.030844805915584327
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,57,0.011395956388435203,0.00458323851669094,0.02933264269096111
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,57,-0.041918844019599194,-0.04326915023198157,-0.03475983290813153
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,57,0.10545616369174013,0.16330009466315362,-0.04316348189628864
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,57,-0.05677606544656094,-0.07120976552724352,-0.04361005097253362
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,57,0.027619687225207,0.06574823602515234,0.005457802766110035
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,57,0.005521190137241463,0.038304282299637046,-0.02787802526865642
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,57,-0.013653448004297707,-0.018647920610794497,-0.008435966475006343
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,57,0.011624377184622224,0.005622059064883726,0.016491620633728433
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,57,-0.02010228887382347,-0.028267767377453974,-0.012578147975438958
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,57,-0.011976873745579875,-0.016576166920046057,-0.009264942669332036
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,57,-0.003051102610559683,-0.004271609348087364,-0.0003587349689242785
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,57,0.007802339766010316,0.0014383152992089772,0.014228636784987545
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,57,-0.0028410328986363895,-0.007971168863335761,-0.00226955703926882
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,57,-0.027192981507762906,-0.030350756547976584,-0.02313935727986224
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,57,-0.02549938320209966,-0.03300365418847545,-0.017450771124480867
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,57,0.0038864777246829635,-0.0036086234692216668,0.007354920251791684
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,57,0.00036824443055416073,-0.006055479020063954,0.0077701747821695265
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,57,0.07052772596885981,0.24246993461639837,-0.023793126494177717
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,57,-0.012811697824629278,-0.0072195162558742745,-0.014676450877485855
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,57,-0.023519378896952305,-0.022542745297416414,-0.023960120695097415
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,57,-0.038010479946696346,-0.05584866619682059,-0.022184467741096676
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,57,0.019720725487074302,0.07525243211964146,-0.010290300553806756
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,57,0.025397912412994918,0.01676128975640768,0.031217689231182462
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,57,0.033609366041192794,0.06576647114110154,0.004373472834906593
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,57,0.01574541091619453,0.046205531258426524,0.003291565733837223
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,57,-0.012118317051085282,-0.0009000156644222767,-0.01605891189412457
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,57,-0.03538668558436391,-0.03953664055499003,-0.0378384348744969
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,57,0.024472727861520938,0.05189514073902347,0.012625394069243867
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,57,0.021853445408077026,0.07211764162502336,-0.0031421423037352996
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,57,0.0031399713287243846,0.01949567999024639,-0.010097194113966205
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,57,0.002631850240166611,0.006631534109555866,-0.0007718374395399497
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,57,-0.017605739521788916,-0.030315734331148488,-0.01036019600939173
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,57,-0.02926662020466089,-0.017034252037370218,-0.0327482258444855
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,57,-0.01341717057634584,-0.016303724414913113,-0.012383975058795484
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,57,0.019556166643050522,0.046308903635338676,0.007973719288577964
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,57,0.02344902910944541,0.10771224504549493,-0.016870584713576057
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,57,0.0023712766970834494,-0.0017564319573718924,0.00742659901225584
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,57,-0.057748608052094745,-0.06581207138685936,-0.0461795904792949
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,57,0.12066664041508716,0.26510457199091403,0.0056706674177238615
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,57,0.014806080556847028,0.023054131377733444,0.005455857239237753
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,57,-0.05818436033998449,-0.09647357915036833,-0.022069560583969184
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,57,-0.08148025909902389,-0.10538261632735392,-0.05856635451438768
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,57,-0.049595370939360034,-0.08168368415522724,-0.032811040364373885
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,57,0.12531909216418957,0.44199426767447675,-0.044627012006517856
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,57,-0.05622087763726598,-0.07370030769793713,-0.0608591368397306
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,57,-0.06184660438844027,-0.08715934904523134,-0.04654429870921645
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,57,-0.020903423277625514,0.07396307802551363,-0.06455743053348872
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,57,-0.10172455158060356,-0.1202698859675837,-0.08087414912296345
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,57,-0.010912799550545416,-0.025813861215482403,0.005179502337175956
