Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.023138074958672136,60,62.188401956643546,60.72921972548635,63.54371288804465
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.0680570648505087,60,63.896738317716895,62.498014687826426,65.27468291587357
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.016102723347515252,60,27847.598756898577,27625.516910003134,28100.226445072996
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.009152675501365776,60,7348.7190375288,7279.898916209277,7427.838094810086
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.008305926002579248,60,7339.08143864236,7288.510759112744,7397.888462979956
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.007182063900257042,60,106686.10667353497,105967.62243423457,107570.75926600733
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.0166246820044933,60,53591.44699686553,53009.11552934983,54208.33434049765
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.010364432552913713,60,26415.59739377219,26209.70302598205,26668.440214442868
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.011574871979603175,60,4694.96975026505,4659.750719305917,4736.613687330968
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.02666761578892019,60,1708.8173678698215,1691.7615238845278,1726.9422608034681
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.023123035311842084,60,2586.2564522660828,2549.2199534924057,2629.892273711492
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.018417551679806236,60,4866.787126034897,4822.140137113531,4915.666478024771
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(3, 20)",0.0352065769131102,60,4216.045752539348,4137.793074250802,4304.515046826889
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(3, 20)",0.018169645519233814,60,10901.584619311336,10745.340717925861,11113.514567089156
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(3, 20)",0.043029074281758437,60,1369.2759404023082,1334.7172268085621,1410.3187388698127
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(3, 20)",0.08272672793751087,60,481.19451242375425,462.2852054586955,502.6058410405945
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(3, 20)",0.030587722084166928,60,330.53843925702796,321.6442302298064,340.7149536710349
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(3, 20)",0.014491687816560291,60,315.5387381641149,302.1258478604894,331.35270259089
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(3, 20)",0.018576578717373917,60,244.94746190043668,233.2069157959671,260.1009644606721
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(3, 20)",0.07459282278154684,60,476.63686963509156,460.0803344894705,496.9016983226369
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.025329905736935155,60,160.6634950537191,156.47758970677313,166.65114790676705
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.029853084232872966,60,279.3845048435762,264.7217996647314,300.3627185525405
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.012678558203115012,60,43648.70315589357,43362.14163163049,43968.82995858991
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.009108680982481954,60,15802.133107572496,15666.640786879703,15960.135260154842
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(3, 20)",0.008940065287901457,60,22679.92196097841,22531.097976756646,22855.26255358227
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.009436302846944916,60,9906.359987467335,9849.240329427552,9975.56930887943
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(3, 20)",0.005401675650103397,60,127.75355598932866,126.50309781961208,129.64590501094088
