Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 3)",0.014380076508217703,3,14726.789753057928,14342.207566346697,14938.562116427338
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(1, 3)",0.038696232166747724,3,8324.97319508202,8002.828099543175,8858.433819968173
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 3)",0.003641136618986973,3,2963.1201599709143,2882.9797929569186,2973.909285291843
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 3)",0.004231857350069061,3,3109.2567132116005,3096.0987823365444,3201.490249743414
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 3)",0.006783640028991506,3,7780.054000248849,7727.276914505045,8149.179045729464
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(1, 3)",0.012641738645474394,3,1563.626282301,1226.836612749762,1583.393237101044
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 3)",0.0008527571223442776,3,1336.2109857531088,1331.0338969072166,1337.3504491881645
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 3)",0.015585413406853748,3,26307.993937176605,25897.972975760706,28083.882709807887
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(1, 3)",0.044519806079528525,3,5994.540825947577,5727.665030840574,6283.6998318814
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(1, 3)",0.003451524554974385,3,6199.024223099986,6177.628138777075,6248.488389798249
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 3)",0.002966939006079591,3,28174.61521302699,28081.10645469356,28258.207577883804
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(1, 3)",0.0011736721095966481,3,7196.777927927928,7188.331270394959,7217.869695428603
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 3)",0.0024742277781752767,3,7257.303606783163,7220.983124784755,7275.259828961717
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 3)",0.0010497263935859557,3,106040.92209721929,105929.60814249364,107111.2590051458
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 3)",0.003996511286353944,3,53979.09102702703,53763.36298051039,54286.30301712422
