Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 3)",0.00811448770027785,3,14246.888766585247,14125.295536657219,14402.334767786286
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(1, 3)",0.04612242741151607,3,8494.078699581636,7955.870787940209,8877.076804376797
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 3)",0.08507686829435299,3,3254.3422445182136,3009.2139829542866,3641.328331728088
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 3)",0.004793044435667182,3,3159.65832156619,3146.117003283256,3180.7991935483865
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 3)",0.00758705492165924,3,7829.191487367704,7753.709957509699,7898.862396719885
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(1, 3)",0.002061736443014325,3,1235.2051068110686,1233.1933174224343,1238.7980460998322
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 3)",0.08039142629732146,3,1574.475819458099,1432.824124841839,1740.078772425098
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 3)",0.005019762340616159,3,25411.14307712766,25255.873730773095,25568.308241170176
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(1, 3)",0.039254540904463696,3,6010.374865851937,5838.011486331266,6343.974796145293
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(1, 3)",0.011351433918220554,3,6353.635276966692,6251.6474199678405,6405.8210727781325
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 3)",0.015264910146545066,3,28003.260374337475,27652.87190515577,28605.084799636734
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(1, 3)",0.03568643109652411,3,7405.441271756769,7045.956412686027,7673.721349152122
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 3)",0.03785065468766487,3,7396.735422393569,7133.6293674354865,7784.525211254527
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 3)",0.04773644875480296,3,105628.11982574164,101982.644483005,112758.4216704289
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 3)",0.041588129579095766,3,54026.905155589426,52380.06357866023,57203.75435380385
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(1, 3)",0.002619241681281422,3,26040.29581887741,25967.90330079033,26131.69665195951
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(1, 3)",0.019776421371984057,3,4770.111785335087,4700.006331022008,4903.463886370505
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(1, 3)",0.010649983302970612,3,1682.9811672888584,1665.4519986511375,1707.6024809259354
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(1, 3)",0.11286910591129218,3,2796.516636384975,2439.797185649074,3207.269679794604
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(1, 3)",0.0009640411975449467,3,4675.45304019649,4669.17771575628,4679.559853670904
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 3)",0.0345521539960875,3,1064.0285956277194,1032.109506618532,1115.531343283582
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(1, 3)",0.009358735785579084,3,2996.223171789107,2968.27369507105,3034.5608921793732
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 3)",0.010517814653415442,3,1939.8027552289404,1910.9628505523858,1954.9889102740356
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 3)",0.0030332575316165166,3,429.1703473619787,427.72693621125626,430.8816924159133
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(1, 3)",0.003239903910213858,3,9024.155046833397,8983.036427395691,9048.480292127591
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(1, 3)",0.01847609998627276,3,8300.092075938712,8145.824815161593,8509.237355146557
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(1, 3)",0.028369828137501316,3,1933.2146281547846,1892.782136391068,2010.7533458487253
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(1, 3)",0.0039737615223107495,3,9610.720415926016,9557.144985934769,9643.428484363692
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(1, 3)",0.02583646155550179,3,10472.889691704957,10239.880085653103,10852.267382370208
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(1, 3)",0.011981874871790905,3,2425.7335885987445,2384.8154681139754,2449.573126382484
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 3)",0.00133495381609567,3,43147.262657503015,43088.47519313305,43225.48872439318
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(1, 3)",0.0056696994197757014,3,15648.064192517115,15538.294179371644,15755.577309236947
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 3)",0.003518245431206511,3,20880.381001239715,20796.836674307146,20975.635166117805
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(1, 3)",0.04817436738355215,3,9875.93417655016,9501.838246981795,10547.306789261966
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(1, 3)",0.004390422528169918,3,122.0876194039029,121.5791666666667,122.8287512727946
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(1, 3)",0.00214594693443551,3,44.90586254230001,44.834344609758126,45.0420873322531
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(1, 3)",0.008128353422949404,3,125.15816044271662,124.018433824902,126.48842311642234
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(1, 3)",0.0024544061862727595,3,47.73587058249151,47.59902395740905,47.885198652004256
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(1, 3)",0.003633125250917618,3,124.04803897221619,123.62527416118344,124.67248785954426
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(1, 3)",0.018152125201134232,3,44.92309350179752,44.14604108071253,46.04957585574832
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(1, 3)",0.028801119255995312,3,4138.270992225011,3983.528242546232,4273.51519323434
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(1, 3)",0.06848228694313004,3,11455.634344095766,10700.483950617285,12537.120192539109
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(1, 3)",0.03175892308161893,3,1254.5412148184494,1211.6360213839318,1307.6251356712453
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(1, 3)",0.011801135830051088,3,413.32101752038915,407.6108840921109,419.527665317139
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(1, 3)",0.2704616076030516,3,398.37668802895473,302.0955455352873,548.7969127251138
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(1, 3)",0.025126733268983608,3,348.65590099387714,342.4112918733895,361.04510288722287
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(1, 3)",0.054014521099698,3,244.34140404045039,227.60224426892697,259.86154803666403
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(1, 3)",0.06645932981274665,3,445.56566225273946,419.9319874558997,487.06161114118396
