Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 3)",542427337306.24255,3,14246.888766585247,-22009290498.923794,7727879929266555.0
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(1, 3)",27293699419469.625,3,8494.078699581636,-183768330951.04877,2.3183464710336966e+17
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 3)",65864708.38187099,3,3254.3422445182136,-131224730422.3245,83121572487.67114
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 3)",222825212219.97345,3,3159.65832156619,-704051284877991.4,251167600.05862537
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 3)",1348786.4542545634,3,7829.191487367704,-5068583212.3535385,5491324213.573158
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(1, 3)",14152.50674322348,3,1235.2051068110686,-11205206.451403083,6276042.152004643
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 3)",30251981.370985646,3,1574.475819458099,-25671982540.4428,21959030618.870975
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 3)",214244989862.0982,3,25411.14307712766,-24553241066.00913,5444185537702477.0
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(1, 3)",6959118455684.802,3,6010.374865851937,-96396888479.44083,4.18268142576458e+16
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(1, 3)",2143416.2404185515,3,6353.635276966692,-4609675433.867088,9008809604.47954
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 3)",1055033141730.3885,3,28003.260374337475,-315078124356.1615,2.954405269330701e+16
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(1, 3)",27437579.866600994,3,7405.441271756769,-86833653678.35822,116353732662.89139
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 3)",10949764482362.127,3,7396.735422393569,-132970546835.68796,8.09923778430081e+16
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 3)",630005498.5119021,3,105628.11982574164,-44033499374205.23,22512796913486.074
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 3)",245693958.42200002,3,54026.905155589426,-8742219478379.617,4531864710587.11
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(1, 3)",525433.1524715334,3,26040.29581887741,-7635118630.618718,6047316092.78533
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(1, 3)",4927959.822334882,3,4770.111785335087,-15407125539.260551,8099793686.91687
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(1, 3)",549790.3395121408,3,1682.9811672888584,-540485043.7712755,384801743.585005
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(1, 3)",106092219.18270728,3,2796.516636384975,-158788447995.1631,137900207940.279
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(1, 3)",12258.237085228808,3,4675.45304019649,-22666284.02445343,34646527.82312896
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 3)",3530209.6964229774,3,1064.0285956277194,-2319018727.143503,1437225338.4127948
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(1, 3)",1002784123248.6459,3,2996.223171789107,-2363999893935100.5,640565132444716.1
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 3)",1965664578745.753,3,1939.8027552289404,-1225165723453040.2,2587835842253905.5
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 3)",77022779299.32817,3,429.1703473619787,-2728059.8206511573,33055890218617.87
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(1, 3)",259684.90033782378,3,9024.155046833397,-871037869.568915,1472398934.4010854
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(1, 3)",8223483.8232860835,3,8300.092075938712,-39281387357.308556,28974285560.95845
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(1, 3)",4099004.228142823,3,1933.2146281547846,-5208358387.429052,2715896547.284965
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(1, 3)",419928.33047462266,3,9610.720415926016,-1529873573.041658,2505940205.8765254
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(1, 3)",19377816.41502018,3,10472.889691704957,-125723639762.88403,77218094017.7319
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(1, 3)",950301.7850752638,3,2425.7335885987445,-848613820.8907243,1456565138.471688
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 3)",224014.08736413304,3,43147.262657503015,-5518400527.310174,4147194139.170901
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(1, 3)",1508799.9926767696,3,15648.064192517115,-11682267703.362022,11927531435.71342
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 3)",770434.3062952148,3,20880.381001239715,-8570242219.199586,7516719632.670319
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(1, 3)",61684012.91592155,3,9875.93417655016,-391204144049.2344,217983107253.87677
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(1, 3)",157085724500.1776,3,122.0876194039029,-486418.4846445883,19178221660145.547
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(1, 3)",41141954877.18473,3,44.90586254230001,-1847514961950.6804,8485.686268066755
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(1, 3)",760886346048.5128,3,125.15816044271662,-95231133957222.52,1420189.6578205295
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(1, 3)",860.2472529292302,3,47.73587058249151,-21380.10263056577,19684.5489042078
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(1, 3)",4659.736022774971,3,124.04803897221619,-344553.34458702256,233477.7711664068
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(1, 3)",4862930802353.426,3,44.92309350179752,-129279993814123.53,89177901312770.66
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(1, 3)",10229006.397015046,3,4138.270992225011,-19742060716.57152,22588339735.47992
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(1, 3)",154044797.08479732,3,11455.634344095766,-1039115596858.1353,725565271155.7325
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(1, 3)",3733648.0868783477,3,1254.5412148184494,-2590353964.0087404,2093661442.6082008
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(1, 3)",1185468197454.6543,3,413.32101752038915,-37077392.871318564,489978884532626.44
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(1, 3)",81718956.24133343,3,398.37668802895473,-19849583374.2471,12705343762.358387
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(1, 3)",573433.8759842095,3,348.65590099387714,-132929346.66761965,67001758.02406612
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(1, 3)",34128920160898.13,3,244.34140404045039,-566065550881756.6,7773042719616526.0
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(1, 3)",48515608788858.56,3,445.56566225273946,-2.161688842994209e+16,929660502.1528981
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(1, 3)",109861.81130286836,3,150.57046007277503,-8580649.19540281,7961294.276898474
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(1, 3)",157123.47311202507,3,257.97144486967636,-17664885.075438805,22868484.306212045
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(1, 3)",8248.018496234203,3,56.26397499070024,-191435.79230143386,272630.51409352035
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(1, 3)",33143.57941430581,3,69.19122373123021,-837765.0870475929,1455479.7314614365
