Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(1, 3)",0.015810999589036787,3,18980.128718882817,18801.00428990743,19512.039844021467
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 3)",0.009963633842657584,3,14504.91030545247,14397.966744757445,14744.672527725104
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(1, 3)",0.007478340436183096,3,7866.473896579551,7799.992106074622,7944.017125306363
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 3)",0.03277348074278981,3,2957.226877186687,2849.506897326444,3087.1566913883507
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 3)",0.01897881384033266,3,3203.2055756017994,3119.121249690057,3267.272927733788
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 3)",0.17797035329901442,3,8298.661205615193,7883.948090197883,11564.607118750844
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(1, 3)",0.046227834938594406,3,1304.0930215126302,1191.274116170935,1325.4842376070346
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 3)",0.08437859895666838,3,1388.0810833402993,1372.458469533149,1642.6351721522187
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 3)",0.000945516729457658,3,25415.34442190669,25373.40992591089,25430.124816520725
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(1, 3)",0.0034218807480444384,3,5827.289416846652,5799.9704864274,5848.677223780654
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(1, 3)",0.012371846225999102,3,6219.070274517508,6190.23632192884,6367.003365689478
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 3)",0.018222969748909107,3,29202.878574777307,28296.954004176307,29551.605770943417
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(1, 3)",0.013620517162137023,3,7107.695282547091,6930.279015758916,7153.330457386207
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 3)",0.004293590065276381,3,7060.7720402315,7002.478357875948,7071.229646266143
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 3)",0.03241683731286921,3,109836.36803341762,106417.37863457238,115121.85480525468
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 3)",0.0024847773244898903,3,50734.443168538186,50674.91935238289,50967.39806023482
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(1, 3)",0.006062571573202564,3,26507.49693572888,26273.51240448027,26664.234770632484
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(1, 3)",0.005921483005401919,3,4775.902679260539,4722.885141951289,4787.737318580256
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(1, 3)",0.00012908744447086122,3,4381.557482517483,4380.779749660053,4382.161539267381
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(1, 3)",0.03219807927134623,3,1704.1091919058326,1675.755040532114,1805.4056614412991
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(1, 3)",0.04344452960830706,3,2460.5142233652878,2436.1734278739973,2680.147091483728
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(1, 3)",0.021106372896114153,3,4918.772023491724,4723.3754253308125,4958.360206875571
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 3)",0.01863185849025517,3,1295.7151847190346,1249.0046769950306,1302.9084905660377
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(1, 3)",0.03305137478606108,3,3011.3742494996663,2987.215407912171,3213.571880420365
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 3)",0.03268445820011937,3,2088.0206323431084,2032.8403739278483,2198.4389748794724
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 3)",0.0027954496624213107,3,473.6930201881165,472.2239850810501,475.46357692530233
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(1, 3)",0.00043769753603853227,3,9026.228131962913,9019.23618599602,9028.52425299342
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(1, 3)",0.010773138956945044,3,8281.027262671612,8142.578500569199,8357.613897082923
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(1, 3)",0.0035512422236413568,3,2259.5252662425846,2244.6586408320272,2263.183372155528
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(1, 3)",0.04154348317283015,3,9672.125186757885,9606.230360852504,10512.43998166743
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(1, 3)",0.003637462770496615,3,10097.506946688209,10053.180218204983,10143.14897713598
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(1, 3)",0.014145893123212681,3,2462.7922428991187,2461.896099819509,2536.976611165524
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 3)",0.001969636091595632,3,43567.97362255965,43555.34270345306,43743.593597773135
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(1, 3)",0.008994636006605583,3,15579.775480059085,15478.58305830583,15814.124420831531
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 3)",0.004138613059889963,3,22684.91803575469,22663.29338111872,22872.870405836755
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(1, 3)",0.02562505630183542,3,11341.336553513129,11227.049209451056,11900.871591703566
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(1, 3)",0.02280068957895423,3,122.6042460280591,122.48527088560544,128.5681818181818
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(1, 3)",0.0029360748039317535,3,44.40133066063889,44.27971342061496,44.59639247793271
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(1, 3)",0.031694198948685685,3,122.29517260604936,122.11923237767762,130.6105746913007
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(1, 3)",0.004182470673268328,3,43.6870908175256,43.45676265636806,43.90422345048732
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(1, 3)",0.0019907909132942537,3,127.82940380036416,127.61672425063033,128.23079077583793
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(1, 3)",0.0221834969010923,3,43.8995596561124,43.80160228178348,45.94525501408569
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(1, 3)",0.025018047591001444,3,4485.93565441202,4475.8967025338425,4722.8479100281165
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(1, 3)",0.0210767590731302,3,11887.4677221751,11780.008273787138,12362.58695444561
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(1, 3)",0.04653264273056325,3,1236.6938602898774,1233.6951632778805,1361.242015070956
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(1, 3)",0.06764495709670373,3,455.49707216494846,454.7121980809529,523.6877260803534
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(1, 3)",0.03141826269399334,3,296.66306846576714,294.9649221971007,315.922491349481
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(1, 3)",0.10923002269259742,3,291.03747836506454,286.9207200181954,361.4486975186185
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(1, 3)",0.004207994256440419,3,220.2975237889273,218.7129367564183,220.90969152747405
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(1, 3)",0.08140482495161096,3,468.7570296808748,412.69709302325583,503.9954070466385
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(1, 3)",0.039140381458417875,3,162.3954219637544,162.0308419630797,176.06124000264393
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(1, 3)",0.057965082850118574,3,266.92118008059447,258.3211253109186,295.4232759431744
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(1, 3)",0.011516347017775838,3,56.15515033032224,56.02672913576918,57.467963193906094
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(1, 3)",0.00333582130245821,3,68.0677818813817,67.66800680937375,68.20186841438245
