Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,57,0.010791301592473991,0.017787436632350603,0.007402595384789569
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,57,-0.002751484168287534,0.0015671399667683363,-0.004642255546173241
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,57,-0.021059680908384264,-0.030002970761987997,-0.01588395883801991
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,57,-0.0023938581664027544,0.02139212556174262,-0.02709076389067713
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,57,0.025530634731736508,0.01760006979281356,0.03275089160795819
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,57,0.15960040807816647,0.4079467209025296,0.007839551406090248
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,57,-0.035591603341039744,-0.033308704814284135,-0.06837224699931484
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,57,0.004752702211942648,0.08680283031259743,-0.032692759084403326
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,57,-0.007695131824194454,-0.014209072438924674,-0.003220951955101671
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,57,-0.030903521536243452,-0.04255749693078355,-0.02084668465882113
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,57,-0.018608662810995182,-0.013589572215284717,-0.018677754025463525
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,57,0.03696962761227013,0.04493817195921924,0.02086647147850717
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,57,-0.046223571569218025,-0.0548331494585893,-0.04929157353254064
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,57,-0.037587014516828644,-0.04207400820778461,-0.03565369636303931
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,57,0.02936000783270766,0.05793653505482186,0.00253043253624383
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,57,-0.02657108400603482,-0.03178433295541828,-0.02138885488285976
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,57,-0.007155166012923122,-0.011048887577395531,-0.005281205976424862
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,57,-0.010916941052627385,-0.023926997715529294,-0.0024901704182077305
