Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.BufferBenchmarks.writeVarint_64,"(3, 20)",0.021496633270431238,60,47.54454625526391,46.98194478985327,48.81639195701466
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.039369628997678985,60,1191.9553156863049,1170.989141955563,1198.3365150928112
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.022320454107055365,60,3293.3792211880386,3235.8236918377147,3314.5794586039838
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.04349654224633332,60,2107.9003885137936,2052.435400760533,2177.616241816409
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.038543580388971224,60,483.9415580987282,481.0264780974784,499.18446146433917
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.01515678374274144,60,10715.852601256982,10674.7465437788,10839.288273267495
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.011714816252065685,60,8881.50132287755,8832.246532266518,8928.872749528717
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.02289050213357945,60,2279.400391366751,2250.4761741877073,2301.2560379630286
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.021377122349572297,60,10417.611022763886,10332.495051924252,10488.666365317444
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.02228808995855256,60,9904.21936454306,9782.453150832403,10048.22604343263
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.02138581536789367,60,2497.4805055763172,2475.266972225487,2568.2765615337044
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,"(3, 20)",0.025945351694279584,60,8618.033726258582,8516.8448,8725.339593978732
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,"(3, 20)",0.5334089187376099,60,132.9926767628603,129.54488357843138,135.0944510587653
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,"(3, 20)",0.05149593373388167,60,2061.6240721297895,2026.2895236908507,2220.320530726257
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(3, 20)",0.023149851177009028,60,11997.159895635657,11889.90651923557,12202.90477580002
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.02922885920743031,60,15036.457932055127,14686.816840426138,15301.592372728908
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.033927259876200766,60,8666.321145420538,8565.988297371183,8797.346214892003
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,"(3, 20)",0.1916231899295582,60,130.16597391555635,129.1359485247445,135.692291104313
