Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,57,-0.019854541155365488,-0.008582106767846626,-0.02068856976923023
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,57,-0.10954000840071722,-0.20749643671058363,-0.017066672203433716
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,57,-0.040458321277466756,-0.06593384937276466,-0.017172954023851827
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,57,-0.011877977934218829,0.00017983219695847733,-0.016519419926486
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,57,-0.007538635669916538,-0.01442597726748126,-0.002261164610145544
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,57,-0.02788187725822324,-0.03527536515321727,-0.024166005783453754
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,57,-0.09352210616149129,-0.14871957163258132,-0.05001722049010409
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_zipkin2,57,-0.0549933385693989,-0.054857217088689264,-0.04805139992406329
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,57,-0.06506557985265089,-0.09964834641155862,-0.04386946324036687
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,57,-0.06012176240603073,-0.07454416376134512,-0.05275907532634483
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,57,0.00791636780511967,0.038127284988489246,-0.010131802663374451
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,57,-0.008343134347240502,0.041503305092472555,-0.05162142619488651
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,57,-0.02410628081662625,0.0003511547752083397,-0.028319037372072996
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,57,0.0018551633351495459,0.016805521174001116,-0.0027582552564750715
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,57,-0.005456296687357336,0.04011962716000454,-0.03921019279965391
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,57,0.015657734234891002,0.0414944151302105,-0.0011541433701661263
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,57,0.05402841806841478,0.07367783339990838,0.012412683121725996
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,57,0.05011058496494769,0.10582798950135487,-0.0034662676593788045
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,57,0.012611018199388691,0.024029103936668118,0.007906131140042516
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,57,0.027473426313429458,0.08580169187100946,-0.0013016269824957382
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,57,0.011041865383180043,0.010276234603988922,0.00882138189898218
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,57,-0.005464702062440675,-0.0070438987704232086,-0.0015987191046819736
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_json_zipkin2,57,-0.012248755372294876,-0.020749186883320996,-0.00366295524171588
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_proto3_zipkin2,57,-0.0055895413855932335,-0.007549108829779901,-0.0024343445918625453
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,57,0.018213632247543812,0.15396095255751616,-0.06622976298727533
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,57,-0.016041380623038694,-0.01590518069695422,-0.016807821000177456
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,57,-0.029577030836919132,-0.03704948547055959,-0.022874923814734015
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,57,-0.012015413098824642,-0.0068734374798847765,-0.019575196200955325
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_proto3_zipkin2,57,0.062495622209424326,0.1461901062926056,-0.0085939708241416
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,57,-0.05763862400992173,-0.05040028147197669,-0.05892638799028695
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,57,-0.0042450821931466305,-0.00031554895545976585,-0.03217040558878206
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,57,-0.032663659327023586,-0.043551612122986284,-0.02241019873048997
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,57,-0.0013626949355875452,0.0459237185066718,-0.03112933334552943
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,57,0.09116484167469618,0.07839233076873872,0.103580906095831
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,57,-0.0037220578229511265,0.00225418840933411,-0.014686365306003538
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,57,-0.005299252138083573,0.009531346393481894,-0.013136998324826598
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,57,0.013822987192528861,-0.0030152306877226725,0.027682691833439414
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,57,-0.006612739249450073,-0.0021702280776527932,-0.009848717055933216
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,57,-0.021789827040177612,-0.009673394893715553,-0.027605586983931188
