Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,57,-0.01392018095733139,0.010798209282098119,-0.009272197281989952
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,57,0.02587585871502901,0.004134315934568544,0.0355533997725948
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,57,-0.016268314121611494,-0.0045492025356771324,0.010251064098040845
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,57,-0.01662495115024652,0.008557571658940541,-0.013673775971508397
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,57,0.003665202977868432,0.0019450129826050697,0.004120746165848433
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,57,-0.01835430937080255,-0.02368993610550487,-0.0160785554626671
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,57,-0.018393487944580667,-0.008344496672017638,-0.018351935356854133
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_zipkin2,57,-0.04617100603956973,-0.04532382630481176,-0.03227753071162944
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,57,-0.014719938787323276,-0.007640159181841914,-0.02387311337297472
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,57,-0.010715200364015963,-0.0855566592352687,-0.017243086478196404
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,57,0.0072970481129602605,0.058217592266743605,-0.0015213578096657703
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,57,-0.00596490858338986,0.0549664195022247,-0.04232031430309593
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,57,-0.038077208974201325,-0.003013117336505801,-0.0011515633235941755
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,57,-0.010277269166224158,0.019988988300056715,-0.0008963897706171132
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,57,-0.005046602969023742,0.05280521999430224,-0.026795413006088842
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,57,0.012661388421659344,0.0470078257057963,0.0012448726062330249
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,57,0.08558484093519494,0.08945778972955734,0.0178800500429983
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,57,0.05304092162360717,0.11704807166333599,0.000675573251463239
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,57,0.01190088567472936,0.03284031555607568,0.012959017645728666
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,57,0.000712438619176317,0.09789186577231272,0.0028438176495641514
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,57,0.020213802241892273,0.01758207990053104,0.012494513752078114
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,57,-0.0002673674573346804,0.008246447401353238,0.004116853407454356
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_json_zipkin2,57,-0.0045885943173350945,8.022542275220442e-05,0.0027980694043981606
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_proto3_zipkin2,57,-0.006079642649995826,0.00033167439370433433,-0.002566699223384556
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,57,-0.01200833836523464,0.10150750105426265,-0.03364241122769584
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,57,-0.011099097396482075,-0.017209638850360656,-0.010252773026423124
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,57,-0.023916460609970235,-0.03351626404817979,-0.008770532094642746
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,57,-0.007060614125799516,0.001720804287535496,-0.014105701204655857
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_proto3_zipkin2,57,0.05290160001928429,0.17194950636738457,-0.0032942794797336007
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,57,-0.07687206918952191,-0.0565540615466665,-0.05736560513912371
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,57,0.03596017544432642,0.02230425948907767,-0.020846874191636233
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,57,-0.026823068130514622,-0.04333816350864678,-0.020417456816839773
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,57,-0.008563227191634779,0.05171375095682944,-0.015289120840717575
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,57,0.12437953813344622,0.09111222384495117,0.12327142176564039
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,57,0.0041398797990534544,0.009038844757285058,-0.011684765623953276
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,57,-0.01351730325636445,0.005748235944058361,-0.01546283997917478
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,57,0.0216812371419786,0.0037708617451268755,0.043642997138858636
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,57,-0.005387182794883223,0.00276090589587207,-0.007306927406257833
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,57,-0.024571038181657817,-0.010047070636255574,-0.017902830812904377
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,57,0.003659668110586644,0.01621529686801789,-0.0025662082244859875
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,57,-0.006854210608542923,0.06794736736253885,-0.010332257837025408
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,57,-0.00794486522538806,-0.005382391692572848,-0.002778941210743591
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,57,-0.010927781039573608,-0.012506086522684551,-0.008574369090031503
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,57,-0.002583539027500721,0.001931527662587748,-0.014872672859261275
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,57,0.039767630096209254,0.09561913026300252,-0.0005317515090537369
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,57,0.028552556227640916,0.03593882196771699,-0.010035193228882574
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,57,0.0004400620422439778,0.00019102426791221927,-0.0022600720418070102
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,57,0.04667295809562743,0.02872451365937947,0.0641360823659337
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,57,-0.007732720087411873,-0.0008705361577016701,-0.0003933708649248753
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,57,-0.06249263355593992,-0.05177814226279019,-0.052916501181187056
