Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin2.EndpointBenchmarks.parseIpv4_addr,57,-0.012337726293377664,-0.10970422748598896,0.004468386307038179
zipkin2.EndpointBenchmarks.parseIpv4_literal,57,-0.008924497279307952,-0.013214852900592879,-0.004386397662370957
zipkin2.EndpointBenchmarks.parseIpv6_addr,57,-0.038848626494541745,0.060890149395896084,-0.013757406634298164
zipkin2.EndpointBenchmarks.parseIpv6_literal,57,0.1297904145929436,0.12729141652117437,-0.009812808928689904
zipkin2.SpanBenchmarks.buildClientSpan,57,-0.009535083713452994,-0.043955728671749725,-0.008080767214563137
zipkin2.SpanBenchmarks.buildClientSpan_clear,57,0.01910939062839417,0.020688831474754713,0.0262635804767692
zipkin2.SpanBenchmarks.buildClientSpan_clone,57,-0.04021726235281857,-0.0884656688131579,-0.02487596200722478
zipkin2.codec.CodecBenchmarks.readChineseSpan_json,57,-0.0007244083648841882,0.015338002273141006,-0.0001413226114064174
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3,57,-0.03293159969834278,0.04564313126766903,-0.02485945053135914
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_protobuf,57,-0.0006768296134390479,-0.04939601921335689,-0.0038006396092067117
zipkin2.codec.CodecBenchmarks.readClientSpan_java,57,0.03277729415481965,0.005660786458250908,0.041050477922613626
zipkin2.codec.CodecBenchmarks.readClientSpan_json,57,-0.01589480037693005,-0.012798923328870343,-0.017383010586641063
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3,57,0.010623747909030833,0.04450362937407406,-0.005911540050691337
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3_protobuf,57,0.02100272237976038,0.0687354130706388,-0.014862600194991605
zipkin2.codec.CodecBenchmarks.readTenClientSpans_json,57,-0.013335846321878578,-0.014682862147514825,-0.018716477891905753
zipkin2.codec.CodecBenchmarks.writeChineseSpan_json,57,0.023870372046707063,0.047660400752192564,-0.02919132194677223
zipkin2.codec.CodecBenchmarks.writeChineseSpan_proto3,57,0.04974756443397735,0.1339385812334783,0.03880177296024804
zipkin2.codec.CodecBenchmarks.writeClientSpan_java,57,0.08315511803682009,0.07235852576708691,0.06914842715725575
zipkin2.codec.CodecBenchmarks.writeClientSpan_json,57,-0.00921643807265891,-0.014532231893186826,-0.00738728892378091
zipkin2.codec.CodecBenchmarks.writeClientSpan_json_legacy,57,0.005155899045490743,0.024174903604891756,-0.011492454837385353
zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3,57,0.00845148848769749,0.015108201139685836,0.002909979801749359
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json,57,-0.016224710471748716,-0.003990422360848221,-0.012981915791637514
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json_legacy,57,-0.006209487550333754,-0.00992746545356181,-0.00907737891270041
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,57,-0.01233405682875048,-0.04215936953083084,-0.008009208055500247
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,57,-0.0384402881532414,-0.045804941712699346,-0.03306629595301509
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,57,0.0245348395765606,0.058556813076468435,0.02513990108977558
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,57,-0.0025761067965423923,-0.004176463418838931,-0.0003744839017079858
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,57,-0.040128175362552435,-0.0353577745026435,-0.018224813920432018
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,57,-0.030657770819091268,-0.06432775851640102,-0.013085072113968515
zipkin2.internal.BufferBenchmarks.writeLongLe,57,0.010696127649595665,0.021981804471011064,0.000580455897573043
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,57,-0.01566867464789591,-0.010042895343803022,-0.02609695644426382
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,57,-0.008025151576485307,-0.01514428318708743,0.0010294576143796423
zipkin2.internal.BufferBenchmarks.writeVarint_32,57,-0.02163709427157069,-0.02570030255746137,-0.015280368361918602
zipkin2.internal.BufferBenchmarks.writeVarint_64,57,-0.00019043866470179767,0.025324101523360763,0.010006210288713825
