Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(1, 3)",0.026375911440087794,3,144.94669484731435,143.65694682675814,147.48004801358434
zipkin2.EndpointBenchmarks.parseIpv4_bytes,"(1, 3)",0.03218767300666321,3,176.13848598573216,172.3774994916288,178.0469874824263
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(1, 3)",0.15381758673091267,3,274.46515339298145,266.7087615427312,308.9263290793694
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(1, 3)",0.04529161268349226,3,125.80860478043355,123.6917589341975,129.38983353416344
zipkin2.EndpointBenchmarks.parseIpv6_bytes,"(1, 3)",0.00128818212482642,3,168.55495905748663,168.38345129059118,168.60058077589989
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(1, 3)",0.13187265898078512,3,420.6397857211492,418.7305194805195,474.20140649667513
zipkin2.SpanBenchmarks.buildClientSpan,"(1, 3)",0.00604873544925761,3,315.7970186380187,313.9827346946132,315.89290731601886
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(1, 3)",0.024608469771178487,3,527.349894576642,521.0481012658228,534.0253752053462
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(1, 3)",0.0073862452775209754,3,240.16799109980929,239.09297455350088,240.86691424357355
zipkin2.SpanBenchmarks.buildClientSpan_longs,"(1, 3)",0.4182726338440316,3,547.9191938661869,342.017738841537,571.1973431936456
zipkin2.SpanBenchmarks.padLeft_15Chars,"(1, 3)",0.49985651584408913,3,71.70783583783539,66.82328641370869,102.666915394329
zipkin2.SpanBenchmarks.padLeft_17Chars,"(1, 3)",1.6471842159260544,3,132.1651426481346,70.52618344560302,288.2265203112257
zipkin2.SpanBenchmarks.padLeft_1Char,"(1, 3)",0.029280950100131917,3,68.143273662772,66.86486335853753,68.8601631543168
zipkin2.SpanBenchmarks.padLeft_31Chars,"(1, 3)",2.0186610902923423,3,72.21594606706545,70.67255273067842,216.45207315491373
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,"(1, 3)",0.029891670474763814,3,16865.935496835125,16829.48762095429,17333.638607074306
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,"(1, 3)",0.016957670479824122,3,8453.184066301297,8383.91063687896,8527.256946780597
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,"(1, 3)",0.11508031993206856,3,2040.1388737014763,1931.0886405620663,2165.8684748534824
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,"(1, 3)",0.08535235570968237,3,5338.46409476022,4894.188581643909,5349.839068003251
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,"(1, 3)",0.02869992109681876,3,14723.808909865316,14462.638825149152,14885.210979106923
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,"(1, 3)",0.12140082248158222,3,8802.347902404774,8734.855593031747,9803.467868152717
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,"(1, 3)",0.00534961466870704,3,1580.534741577429,1573.8914598648182,1582.3467117027617
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,"(1, 3)",0.07976434321823053,3,4372.522574576727,4145.925233029215,4494.696624397214
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,"(1, 3)",0.06745250892431047,3,65527.41263696608,64771.80156928863,69191.78995497056
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,"(1, 3)",0.019754461404388794,3,3750.330886302597,3724.646303779415,3798.732070526567
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,"(1, 3)",0.1610637900606098,3,1596.5177810797425,1571.4384916748286,1828.5796963946868
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,"(1, 3)",0.07766393866788474,3,1347.3879790173387,1287.1453455852975,1391.7888029495452
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,"(1, 3)",0.025697275916241127,3,2581.516842491141,2566.0082017134278,2632.346152297346
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,"(1, 3)",0.09825438038082114,3,3798.618799186489,3735.928617552099,4109.159553969106
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,"(1, 3)",0.003548973744010759,3,1563.81338028169,1559.614287110329,1565.1642197374815
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,"(1, 3)",0.010602686776879117,3,992.6818490403012,990.230044191724,1000.7551389061916
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,"(1, 3)",0.14564597456546488,3,2375.7824084229,2372.1216369145404,2718.144781144781
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,"(1, 3)",0.015947994638693095,3,15381.610017889088,15371.566407695154,15616.87224179492
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,"(1, 3)",0.02273802294645573,3,4142156.165289256,4108036.196721312,4202220.638655462
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,"(1, 3)",0.06508851023796594,3,7680343.9389312975,7652203.480916031,8152105.62601626
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,"(1, 3)",0.012299657207792313,3,6423000.615384615,6384698.700636943,6463699.406451613
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,"(1, 3)",0.010193234405732415,3,4116362.008230453,4080167.706122449,4122126.7489711936
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,"(1, 3)",0.014482490635656006,3,7224754.647482014,7220570.244604317,7325202.686131387
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,"(1, 3)",0.19936931074075176,3,6506841.766233766,6308200.65408805,7605465.212121212
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,"(1, 3)",0.011283621783154065,3,1861696.834264432,1858837.8884758365,1879844.5714285716
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,"(1, 3)",0.03204440873574995,3,2369866.009478673,2357421.886792453,2433362.8418491483
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder,"(1, 3)",0.10258336962477413,3,1649762.00660066,1637330.7495908346,1806568.8953068592
zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,"(1, 3)",0.025816764227128995,3,1649052.303630363,1635869.3289689035,1678442.523489933
zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder,"(1, 3)",0.1262304436066895,3,2132736.5458422173,2113704.862579281,2382921.1428571427
zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,"(1, 3)",0.07870547815996666,3,1621879.9092382495,1618920.8025889967,1746571.6363636365
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(1, 3)",0.01733461011700776,3,45.26993156896694,45.132610577517625,45.91734719128929
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(1, 3)",0.031947777463868954,3,44.82452251023192,44.71519931784268,46.14724318792376
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(1, 3)",0.05525000408838412,3,69.6028009535161,69.4988327178573,73.34438775510205
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan,"(1, 3)",0.12361904916336057,3,13842.029895687709,13669.249315656702,15380.387889852427
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans,"(1, 3)",0.002817420371778757,3,108651.40917989991,108474.61396459983,108780.73065824575
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan,"(1, 3)",0.6114972278882662,3,12217.28024071243,11837.250514464127,19308.083513993868
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,"(1, 3)",0.16505157098528853,3,506.828027638966,504.2426507759004,587.8954129570869
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,"(1, 3)",0.008080784402178277,3,76.53073139465214,76.13219245686959,76.75062079741079
zipkin2.internal.ReadBufferBenchmarks.readLong,"(1, 3)",0.029240369301463877,3,35.69791381481684,34.65985109760771,35.70367128084478
zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes,"(1, 3)",0.006981113966638167,3,35.77009098914001,35.72361160032875,35.973326682120955
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,"(1, 3)",0.004403075648162929,3,36.24660462096207,36.18788658383053,36.34748312596568
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,"(1, 3)",0.010322302672964368,3,35.95797567454215,35.64062980675113,36.01179891517084
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,"(1, 3)",0.052666550723888345,3,36.226439315714565,36.112471756534354,38.0203933603013
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,"(1, 3)",0.007046681464874367,3,91.2054781626506,90.86000251004016,91.50269846250391
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,"(1, 3)",0.0400637147325432,3,34.31233043126139,33.861481151556866,35.23616056976368
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,"(1, 3)",0.13090785820483686,3,33.85525157834322,33.435306223560346,37.86722469666718
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,"(1, 3)",0.00897043107510106,3,150.04624577020394,149.310582494663,150.6565620004223
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,"(1, 3)",0.5629504115129297,3,391.204945381416,384.5148460157437,604.743831004105
