Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,"(3, 20)",0.09314037701572224,60,157.7441371155642,153.00577874697566,167.8368716070112
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,"(3, 20)",0.09814809266446456,60,415.55184392602604,401.9172132853511,442.3260781590486
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(3, 20)",0.19398671601774983,60,183.84780601535667,170.42384916500782,205.5535297962022
zipkin2.EndpointBenchmarks.parseIpv4_bytes,"(3, 20)",0.39868744964065017,60,171.78686107331754,141.46545878817318,210.3740858137582
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(3, 20)",0.2860209604422718,60,263.43108668163416,224.8377394846509,299.09442837195917
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(3, 20)",0.18639405621660188,60,187.48631735824895,172.8508026125754,207.54997981493682
zipkin2.EndpointBenchmarks.parseIpv6_bytes,"(3, 20)",0.27566806657769394,60,161.5063796734006,147.4270730293622,192.13147915673622
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(3, 20)",0.0695756268087165,60,473.6595963412963,458.90735010146284,490.8161341258431
zipkin2.SpanBenchmarks.buildClientSpan,"(3, 20)",0.16601598489881253,60,365.92522375893805,345.0402948352587,406.8956951528802
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(3, 20)",0.1613773778656226,60,426.90195618549103,394.71466687445434,462.73807602424694
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(3, 20)",0.18447080252797582,60,285.54487282837056,265.24811922804673,317.69988160587405
zipkin2.SpanBenchmarks.buildClientSpan_longs,"(3, 20)",0.1631236338941812,60,416.79299103492446,389.48367434606314,457.4349664878704
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.029993088702888283,60,1665000.7001814344,1643335.7145177808,1694573.6195876845
zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,"(3, 20)",0.02730400696487479,60,1691240.0017762189,1669828.9148651627,1716334.041731217
zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder,"(3, 20)",0.0301233529368995,60,2231662.8965720898,2199503.341427144,2266773.803714308
zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,"(3, 20)",0.030131713361622067,60,1557116.3012378274,1536411.263471776,1582764.1952024589
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.05641647715836289,60,45.90648113228877,45.02030436803135,47.640137601173286
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.04100291396437962,60,45.928406568512926,45.14965459872502,46.98367771525371
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.014912718804883781,60,45.144776778551815,44.85973256157578,45.49932798120225
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan,"(3, 20)",0.1675264843452376,60,16043.535068996505,15083.300859249737,17786.10134223803
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans,"(3, 20)",0.036019831729718635,60,111140.47716337802,109618.38490930264,113674.64625372371
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan,"(3, 20)",0.08372317879354291,60,13288.727565658113,12860.369646108575,13976.422405536798
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,"(3, 20)",0.044164055378571106,60,1754.0251178047595,1721.910830596847,1799.7690914724615
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,"(3, 20)",0.03137254324879225,60,4354.126179765296,4296.820449496519,4432.60676121442
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,"(3, 20)",0.01665162433723982,60,65700.71561451038,65253.72431941985,66342.4485255955
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,"(3, 20)",0.02134547429502252,60,3920.1733119792907,3886.036341618581,3968.668727201636
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,"(3, 20)",0.023390806332794965,60,1648.198233436721,1630.3439470026087,1669.1495974181641
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,"(3, 20)",0.04797482981669497,60,1321.2313061861073,1305.427779036983,1366.8898728484244
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,"(3, 20)",0.02663124305518999,60,2722.978470608721,2690.656985749676,2761.9486787906035
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,"(3, 20)",0.019260198586949967,60,3824.423132953627,3789.643781912598,3863.424160516266
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,"(3, 20)",0.05243184593214214,60,1682.158547220222,1656.874021427088,1745.0453200963975
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,"(3, 20)",0.020153188178318796,60,1031.3959413219015,1022.425692535973,1043.3303920042613
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,"(3, 20)",0.027746739110453975,60,2449.1477500129363,2419.451676864503,2487.647328028051
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,"(3, 20)",0.019345016778590494,60,15626.366937931138,15529.968325247142,15828.915412787826
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,"(3, 20)",0.020860632324959126,60,4213244.408874683,4185507.923302472,4273107.993942637
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,"(3, 20)",0.014113726013826355,60,7825167.421787088,7787615.484555443,7899447.569163154
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.023399656819673667,60,6540675.313606008,6483843.205864446,6643128.712185621
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,"(3, 20)",0.02225756483895571,60,4126975.8045096477,4095137.030755753,4183833.1525758826
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,"(3, 20)",0.02126958305560329,60,7082704.562173499,7029887.039411592,7177373.108979563
