Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,"(3, 20)",0.013415060625492352,60,151.67503246512777,150.60058652786057,152.95469788427536
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,"(3, 20)",0.02765763329254983,60,403.46681730433977,394.9178985029658,410.1177659914034
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute,"(3, 20)",0.025645729321852318,60,24128.924027045676,23565.69606302905,24493.669819390478
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,"(3, 20)",0.03312852162833887,60,24163.227119113944,23650.419390620944,24795.779335477557
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,"(3, 20)",0.020973321601310758,60,1713.3517068018798,1680.3888747146118,1733.6931140801644
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,"(3, 20)",0.01593149847562148,60,4329.3174525623235,4280.300766937349,4376.242806412001
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,"(3, 20)",0.011985451816707831,60,63589.95471974337,63222.332286916106,64890.05975578072
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,"(3, 20)",0.01573194589875401,60,3899.242646758713,3867.067845885485,3936.007307613767
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,"(3, 20)",0.008484706482025338,60,1586.911956036376,1580.901232321091,1648.898367769614
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,"(3, 20)",0.005716315030019362,60,1290.245748023512,1286.6724859211586,1296.3862671576076
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,"(3, 20)",0.016781815300411937,60,2505.9563104738827,2481.4540043078127,2546.8558663138897
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,"(3, 20)",0.009695736911819096,60,3712.0609168568208,3700.052154930824,3745.126136766269
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,"(3, 20)",0.023672597692611336,60,1615.8115193975764,1610.0133832726624,1640.0921399821664
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,"(3, 20)",0.012631767038103465,60,1068.7164111895472,1059.3442489675133,1082.8096184419717
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,"(3, 20)",0.033058749753867495,60,2351.5465086147806,2313.7383872987807,2419.0438935082075
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,"(3, 20)",0.006605522108174241,60,15531.11802283231,15445.23037543712,15571.632469690445
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,"(3, 20)",0.021683472779158608,60,4302505.201716738,4280214.974358974,4346546.992810088
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,"(3, 20)",0.014226594588448762,60,7835200.0,7732932.923076923,7881865.070866141
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.01618636932200792,60,6417302.974358974,6356784.607594937,6515645.506493507
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,"(3, 20)",0.005589326892206415,60,4010393.5999999996,3995982.533864542,4030243.4201321416
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,"(3, 20)",0.01374232392043513,60,7601214.060606061,7504116.537313432,7633094.262317834
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,"(3, 20)",0.011867067481581303,60,6300652.679245284,6263808.0,6371523.668789809
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,"(3, 20)",0.011438402264435722,60,1895181.5757575757,1881426.7669172927,1907696.589749182
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,"(3, 20)",0.03874165786971662,60,2487020.8955223877,2473031.9262681827,2566522.0923076924
zipkin2.SpanBenchmarks.padLeft_15Chars,"(3, 20)",0.04799363300884452,60,71.1799151941355,67.7637324667075,72.17352728722442
zipkin2.SpanBenchmarks.padLeft_17Chars,"(3, 20)",0.03322415757159248,60,72.31265610167314,70.87255734381185,74.57464591567853
zipkin2.SpanBenchmarks.padLeft_1Char,"(3, 20)",0.028406368739960886,60,68.53972783972952,67.74317090864508,70.63150424387103
zipkin2.SpanBenchmarks.padLeft_31Chars,"(3, 20)",0.02061976572957802,60,69.83074816576706,68.88254060889018,71.04393023445797
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,"(3, 20)",0.011108529061658162,60,15952.22494007456,15867.204010025063,16087.101265026118
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,"(3, 20)",0.011584345165435129,60,8356.362149030407,8308.292592346972,8440.328571182417
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,"(3, 20)",0.04481276517702246,60,1994.480327156018,1920.311185769565,2069.5554532175897
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,"(3, 20)",0.026282887793851444,60,4781.513466529501,4705.188867487296,4866.720661033983
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,"(3, 20)",0.01236053537314068,60,15100.992527327875,15023.552941176473,15258.672413793103
