Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,"(3, 20)",0.0880708309491383,60,154.58739762362106,150.88791558158798,159.65885488971026
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,"(3, 20)",0.0740051134156159,60,402.98078230058974,393.9510091798485,413.6027923648414
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute,"(3, 20)",0.0493870685417652,60,24101.370867554004,23708.930077652676,24507.332343317776
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,"(3, 20)",0.0859503591726439,60,25897.830800546406,25160.68396742737,26672.751661055616
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(3, 20)",0.37625287909465466,60,196.60771795371522,174.66559286691648,224.4023825117068
zipkin2.EndpointBenchmarks.parseIpv4_bytes,"(3, 20)",0.18225540727758902,60,109.70384379332168,104.03060230412294,117.13896234914182
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(3, 20)",0.4362889096179521,60,244.66946767534688,211.22831898907154,281.1685697493094
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(3, 20)",0.2536264371922374,60,165.44604028714375,153.47386611908303,181.220286047955
zipkin2.EndpointBenchmarks.parseIpv6_bytes,"(3, 20)",0.2861768312478332,60,195.23041462833228,177.10601346899827,214.651729875257
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(3, 20)",0.11594774827812862,60,473.35252044480814,456.08140494710784,492.2686597374287
zipkin2.SpanBenchmarks.buildClientSpan,"(3, 20)",0.2353600474222819,60,348.86788600106604,325.74751306100364,379.57741133028674
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(3, 20)",0.16074627640050443,60,346.9482838234977,330.2212951326183,366.8281451811984
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(3, 20)",0.12939190893552252,60,249.00677068010947,239.35873674522387,260.20686372975894
zipkin2.SpanBenchmarks.buildClientSpan_longs,"(3, 20)",0.41144105731546377,60,447.9824900557746,399.7640520534993,523.9146471540031
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,"(3, 20)",0.05882504198568104,60,1731.1064858560885,1701.8128666516845,1767.5305382655874
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,"(3, 20)",0.04350453069549891,60,4408.5101775479525,4348.97193634157,4475.526010495794
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,"(3, 20)",0.01868083011804732,60,64810.74553778081,64444.039225715875,65246.59454652025
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,"(3, 20)",0.03023078772559142,60,3873.4606525155023,3838.39661721917,3913.0589575283266
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,"(3, 20)",0.041108394763631984,60,1609.205310109716,1589.0589089905675,1633.0739139758152
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,"(3, 20)",0.025034426413841345,60,1311.894183888369,1301.7609914957038,1323.4964575615686
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,"(3, 20)",0.06121698708631548,60,2556.664791734394,2508.0433965316583,2612.8952891174113
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,"(3, 20)",0.024275924301616306,60,3748.8305281521593,3720.7317728194644,3781.9300045384753
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,"(3, 20)",0.05458429412353407,60,1653.58012211077,1627.2907530283749,1687.3040609652132
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,"(3, 20)",0.048760061930601804,60,1066.654903120965,1051.5419723876696,1086.00855140884
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,"(3, 20)",0.060841677740310046,60,2338.003595536449,2293.9664186413906,2390.2115666861123
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,"(3, 20)",0.02205962445076514,60,15831.256533294849,15726.907296271487,15957.79139694837
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,"(3, 20)",0.044859187289027845,60,4381126.090263364,4318906.868712745,4449814.245295234
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,"(3, 20)",0.01766678521613888,60,7662926.819704572,7624426.708529813,7712894.404208855
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.02153868801221335,60,6440450.166048687,6398170.9013827555,6491478.975943497
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,"(3, 20)",0.017389080912828918,60,4052713.375817173,4032692.404269213,4078602.1422949703
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,"(3, 20)",0.0223645478511504,60,7652688.632575435,7600324.781437187,7713270.569613875
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,"(3, 20)",0.031814788148013064,60,6511412.835426352,6445580.618496985,6583603.272826359
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,"(3, 20)",0.03935504992169421,60,1916015.249404722,1893127.5377114443,1942356.6637866665
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,"(3, 20)",0.041005117023768294,60,2516632.8335983166,2488855.103797591,2556365.663167864
zipkin2.SpanBenchmarks.padLeft_15Chars,"(3, 20)",0.2938652115838964,60,76.75704718425294,70.33626239748997,85.06261929434032
zipkin2.SpanBenchmarks.padLeft_17Chars,"(3, 20)",0.4481382668117905,60,84.38352040340095,74.10690570037784,98.78130787272636
zipkin2.SpanBenchmarks.padLeft_1Char,"(3, 20)",0.36232738892870525,60,82.58606262836378,74.18143541739315,93.99329666835364
zipkin2.SpanBenchmarks.padLeft_31Chars,"(3, 20)",0.571620903223579,60,86.59492992436796,72.9607447168755,106.08531133737354
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,"(3, 20)",0.03297603511531947,60,16173.986455225082,16004.359293811214,16353.133180958665
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,"(3, 20)",0.03745092670778356,60,8569.645651319557,8467.53796928124,8682.613584182385
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,"(3, 20)",0.03902495461093368,60,1995.8579966294417,1970.563642285393,2022.941752369986
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,"(3, 20)",0.038080912412212765,60,4954.414521317607,4894.934784755589,5020.143455829215
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,"(3, 20)",0.03461942533056027,60,15278.557643118336,15108.33485114008,15457.927297261169
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,"(3, 20)",0.04039662719364186,60,8961.144342196003,8848.97250845084,9083.67339448968
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.047125189908678616,60,1653192.975871422,1627887.2063878612,1680601.7606986891
zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,"(3, 20)",0.05517764710279942,60,1682313.8630975925,1652760.9995755765,1714894.8621458423
zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder,"(3, 20)",0.04134134672421715,60,2454534.6751489653,2423581.6553594125,2491701.844889336
zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,"(3, 20)",0.049274754453846055,60,1618136.1694136471,1592617.3408436428,1645961.2329300838
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.018288912827389057,60,44.80302714761984,44.54466803811368,45.095207398234855
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.024426908167798838,60,44.66899993389317,44.366644498203684,45.09176404625397
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.05531134869757012,60,46.37111304044893,45.568552902020116,47.25861511349782
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan,"(3, 20)",0.2939702698043734,60,12966.474789521506,11794.848418648975,14266.454326899688
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans,"(3, 20)",0.2053414834574654,60,111384.85854201854,104418.33397784975,119540.12213948597
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.writeRequest_singleSpan,"(3, 20)",0.2813122162265652,60,10416.596947812504,9567.988686371784,11493.463317783157
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,"(3, 20)",0.1024686650889142,60,551.0810351705878,533.5345983474995,571.7205676598619
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,"(3, 20)",0.02148951997854541,60,77.43174921005918,76.99693785270917,78.08441252948087
zipkin2.internal.ReadBufferBenchmarks.readLong,"(3, 20)",0.012947818082464185,60,34.99028899434109,34.8480098292531,35.14458010395803
zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes,"(3, 20)",0.01722489195996971,60,36.44185665708725,36.25485265296484,36.668347803323805
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,"(3, 20)",0.0413097727350023,60,35.96571823494075,35.54906497968396,36.51620609719402
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,"(3, 20)",0.027056301331998597,60,35.84618161675521,35.53467842186357,36.177646694429896
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,"(3, 20)",0.01962619040850384,60,36.78482934948339,36.54826712411293,37.02634820086594
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,"(3, 20)",0.0146108700752013,60,92.30259699238084,91.86620921243582,92.74752194166858
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,"(3, 20)",0.02580318420872942,60,33.80594445032677,33.53689619451513,34.12103891004916
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,"(3, 20)",0.06631596305164994,60,34.983726205100524,34.419707419609374,35.923711442391244
