Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(1, 3)",0.17397437772593005,3,1444224.739884393,1285595.758043758,1536853.8584615386
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations,"(1, 3)",0.04662559735598861,3,8420549.915966386,8192532.81300813,8585145.982905982
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(1, 3)",0.01227438586437256,3,2239648.717488789,2239506.3677130044,2266996.680272109
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(1, 3)",0.1235018727458747,3,935601.0646672916,881977.8939929329,997526.3776223776
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(1, 3)",0.11606626665160157,3,1747617.118881119,1608854.0547504027,1811693.4492753623
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(1, 3)",0.12637017285724816,3,1434408.0344332857,1334918.6648865154,1516185.0561456752
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(1, 3)",0.0808968860091159,3,1524011.7073170731,1441886.5685425685,1565174.369905956
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(1, 3)",0.026279360368691246,3,1367570.9110807113,1365145.8797814208,1401084.7685834502
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(1, 3)",0.005465109695326362,3,5.0407785385178485,5.034720130792066,5.062268538454913
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(1, 3)",0.022792280740156056,3,6.033036785285885,5.929513437905885,6.067020106031809
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(1, 3)",0.02105004579906447,3,16.17207461842849,16.01770817533748,16.358131086721286
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(1, 3)",0.01260112568262342,3,11.438946168729624,11.370048775258615,11.51419237360754
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(1, 3)",0.04016082774736429,3,6.959719892900226,6.839341486908549,7.11884959869722
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAnnotations,"(1, 3)",0.15971363836632843,3,7.1085814883332334,7.098366013071895,8.233703426197126
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(1, 3)",0.014097241473086837,3,30.234625105307497,30.234248543983057,30.66047335494083
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(1, 3)",0.14492846442525095,3,37.03013527389616,36.98278560250391,42.349506245209
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(1, 3)",0.16812995512375947,3,215353.64969801556,203579.9434800161,239787.34293948128
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(1, 3)",0.6061717564866644,3,598055.2901678657,551223.898286346,913748.1240035428
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(1, 3)",0.081100547037464,3,276099.7522123894,256936.8216216216,279328.66256295465
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(1, 3)",0.06542602829972824,3,118000.94918458992,117935.69576000945,125656.0292007552
