Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 3)",0.011414316555540769,3,14820.753462603878,14736.926719408671,14906.09549102246
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(1, 3)",0.009855885996902491,3,8520.258573225028,8447.647592605133,8531.62228976697
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 3)",0.051430763873230666,3,3030.529863321475,2968.70995185341,3124.572417664671
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 3)",0.042489129697111126,3,2913.753924140691,2823.3470675742687,2947.149935962549
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 3)",0.07159683978910181,3,7981.475710594315,7874.689571468583,8446.138009200613
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(1, 3)",0.1471047542270542,3,1388.529361494323,1311.2073635552672,1515.466634014938
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 3)",0.06986038138236035,3,1446.780704909189,1443.452418447694,1544.5250702692902
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 3)",0.03563726833001266,3,25966.462762933486,25949.13760324139,26874.511404305325
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(1, 3)",0.113224340989484,3,6330.075880485716,6124.343358518157,6841.062028499581
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(1, 3)",0.06431213473395807,3,6712.998123044838,6595.663238410254,7027.39047816832
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 3)",0.07608053957211085,3,29759.12813801309,27809.292018779342,30073.38254471496
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(1, 3)",0.1261102435738554,3,7925.34778703503,7478.777119848413,8478.244659678918
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 3)",0.03526080195287085,3,7608.323131629335,7564.596348884382,7832.871924022211
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 3)",0.10627889469689182,3,107276.6570753704,106927.98630136986,118329.23084211771
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 3)",0.015956591341376523,3,66778.32575554961,66077.75602011113,67143.31047465376
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(1, 3)",0.011612046042857468,3,27686.8311245532,27686.063750274785,28007.564508073912
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(1, 3)",0.022686616329066638,3,5306.273708783192,5243.295803135007,5363.677198903185
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(1, 3)",0.0072063480867021424,3,1605.3465307529425,1601.0650237529692,1612.6337096533546
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(1, 3)",0.03324618447449145,3,3600.3757949181763,3536.3468626342565,3656.0456204896
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(1, 3)",0.0393273690693025,3,4523.540359229604,4474.930661896244,4652.829603103552
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 3)",0.07311862579584152,3,1211.620143884892,1134.8078073799686,1223.3998072873917
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(1, 3)",0.008195192602917501,3,3200.4873526151364,3190.7057877813504,3216.934398059234
