m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
0,21347.0,35.39879139925985,20,3,1,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
1,21342.0,35.02876956236529,20,3,2,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
2,21312.0,38.95842717717718,20,3,3,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
3,21341.0,39.90262874279556,20,3,4,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
4,21351.0,36.21310477261018,20,3,5,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
5,21297.0,35.729633281682865,20,3,6,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
6,39494.0,34.57730288145034,20,3,7,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
7,21198.0,35.37843192754033,20,3,8,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
8,20419.0,36.67055193692149,20,3,9,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
9,20808.0,35.30223952326028,20,3,10,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
10,21216.0,35.16520550527903,20,3,11,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
11,21289.0,35.02052703273991,20,3,12,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
12,21124.0,35.09851353910244,20,3,13,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
13,21280.0,36.27255639097744,20,3,14,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
14,21245.0,35.134102141680394,20,3,15,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
15,21101.0,35.398606701104214,20,3,16,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
16,21341.0,34.73900004685816,20,3,17,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
17,21282.0,35.20505591579739,20,3,18,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
18,21205.0,37.70705022400377,20,3,19,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
19,21273.0,35.32853852301039,20,3,20,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
20,688.0,1452538.046511628,20,3,1,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
21,579.0,1726552.4283246978,20,3,2,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
22,831.0,1201172.9482551143,20,3,3,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
23,840.0,1188330.0571428572,20,3,4,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
24,821.0,1216205.174177832,20,3,5,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
25,873.0,1144273.667812142,20,3,6,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
26,673.0,1483954.0208023775,20,3,7,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
27,856.0,1167075.289719626,20,3,8,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
28,805.0,1267447.4136645964,20,3,9,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
29,872.0,1145538.9357798165,20,3,10,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
30,871.0,1146640.1653272102,20,3,11,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
31,648.0,1542744.4938271604,20,3,12,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
32,738.0,1353439.3929539295,20,3,13,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
33,852.0,1172114.6291079812,20,3,14,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
34,731.0,1366001.9917920656,20,3,15,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
35,876.0,1140345.5707762558,20,3,16,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
36,867.0,1152048.4244521337,20,3,17,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
37,668.0,1497048.1437125748,20,3,18,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
38,727.0,1374760.143053645,20,3,19,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
