m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
0,20903.0,213.05822130794624,20,3,1,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
1,20896.0,213.3792113323124,20,3,2,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
2,20714.0,217.41237810176693,20,3,3,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
3,21170.0,210.7782711384034,20,3,4,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
4,20914.0,215.51467916228364,20,3,5,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
5,21032.0,217.41142069227843,20,3,6,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
6,21116.0,212.89159878764917,20,3,7,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
7,20959.0,214.79927477455985,20,3,8,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
8,21030.0,213.68640038040894,20,3,9,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
9,20817.0,212.9920737858481,20,3,10,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
10,20751.0,216.18028046841115,20,3,11,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
11,20968.0,216.16367798550172,20,3,12,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
12,20729.0,215.75155579140335,20,3,13,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
13,21053.0,213.0861634921389,20,3,14,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
14,20883.0,213.14954747881052,20,3,15,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
15,20984.0,213.65588067098741,20,3,16,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
16,21037.0,211.61981271093788,20,3,17,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
17,20880.0,213.3243295019157,20,3,18,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
18,21028.0,212.0213524824044,20,3,19,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
19,20899.0,212.4188238671707,20,3,20,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params
20,26864.0,177.457824597975,20,3,1,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
21,26994.0,174.7935467140846,20,3,2,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
22,26890.0,173.7552621792488,20,3,3,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
23,27094.0,175.3081494057725,20,3,4,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
24,26953.0,174.1181686639706,20,3,5,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
25,26933.0,170.15111573163034,20,3,6,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
26,26894.0,176.94946828288838,20,3,7,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
27,26848.0,172.88893027413587,20,3,8,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
28,27024.0,170.58159413854352,20,3,9,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
29,26967.0,171.96536507583343,20,3,10,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
30,27096.0,176.5230661352229,20,3,11,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
31,26857.0,173.80824366087054,20,3,12,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
32,27129.0,169.9376313170408,20,3,13,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
33,27057.0,173.82407510071332,20,3,14,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
34,27168.0,170.93514428739695,20,3,15,1,org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2
