m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
0,30672.0,54.51258476786646,20,3,1,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
1,30689.0,54.364365081951185,20,3,2,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
2,30671.0,54.78869290208992,20,3,3,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
3,30802.0,54.43812090124018,20,3,4,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
4,30728.0,54.421797708929965,20,3,5,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
5,30679.0,56.13295739756837,20,3,6,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
6,30694.0,60.05404965139767,20,3,7,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
7,30677.0,61.24353750366724,20,3,8,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
8,30834.0,62.028864240773174,20,3,9,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
9,30714.0,60.02845607866119,20,3,10,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
10,30676.0,59.933628895553525,20,3,11,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
11,30675.0,60.24306438467808,20,3,12,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
12,30674.0,60.13839081958662,20,3,13,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
13,30677.0,61.36232356488574,20,3,14,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
14,30922.0,60.03634952461031,20,3,15,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
15,30723.0,59.573641896950164,20,3,16,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
16,30810.0,58.4814670561506,20,3,17,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
17,30482.0,66.17984384226757,20,3,18,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
18,30996.0,62.735449735449734,20,3,19,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
19,30703.0,60.664918737582646,20,3,20,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBackward
20,29607.0,39.82169757152025,20,3,1,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
21,29425.0,40.98953271028037,20,3,2,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
22,29611.0,39.745499983114385,20,3,3,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
23,29608.0,39.790293164009725,20,3,4,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
24,29613.0,39.881673589302,20,3,5,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
25,29593.0,41.694150643733316,20,3,6,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
26,29615.0,39.7854127975688,20,3,7,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
27,29595.0,39.74032775806724,20,3,8,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
28,29628.0,40.104867017685976,20,3,9,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
29,29605.0,40.03529809153859,20,3,10,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
30,29614.0,40.15506179509691,20,3,11,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
31,29607.0,39.694937008139966,20,3,12,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
32,29623.0,39.905208790466865,20,3,13,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
33,28799.0,41.13708809333657,20,3,14,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
34,29600.0,41.13489864864865,20,3,15,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
35,29606.0,39.8661419982436,20,3,16,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
36,29609.0,40.060893647201866,20,3,17,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
37,29401.0,41.766334478419104,20,3,18,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
38,29611.0,41.35301070548107,20,3,19,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
39,29615.0,41.38152963025494,20,3,20,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekBeginning
40,26047.0,41.91991400161247,20,3,1,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
41,25938.0,44.50420232862981,20,3,2,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
42,26014.0,42.02287229953102,20,3,3,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
43,26047.0,42.39490152416785,20,3,4,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
44,26056.0,42.05104390543445,20,3,5,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
45,25847.0,41.62761635779781,20,3,6,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
46,25361.0,41.88332479003194,20,3,7,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
47,25189.0,43.65913692484815,20,3,8,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
48,25059.0,42.842810966119956,20,3,9,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
49,25094.0,42.042559974495894,20,3,10,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
50,25006.0,43.84527713348796,20,3,11,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
51,25323.0,42.43312403743632,20,3,12,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
52,25104.0,43.39921924792862,20,3,13,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
53,25254.0,43.390591589451176,20,3,14,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
54,25298.0,41.92912483200253,20,3,15,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
55,25039.0,41.9811494069252,20,3,16,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
56,25274.0,41.44433014164754,20,3,17,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
57,25327.0,41.873099853910844,20,3,18,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
58,25265.0,41.83732436176529,20,3,19,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
59,25113.0,41.82180543941385,20,3,20,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekEnd
60,35877.0,50.65451403406082,20,3,1,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
61,35513.0,50.731900994002196,20,3,2,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
62,35206.0,51.043628926887465,20,3,3,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
63,35726.0,50.74248446509545,20,3,4,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
64,35687.0,50.6396727099504,20,3,5,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
65,35889.0,50.92591044609769,20,3,6,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
66,35671.0,50.65610720192874,20,3,7,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
67,35675.0,50.89468815697267,20,3,8,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
68,35863.0,51.82525165212057,20,3,9,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
69,35893.0,50.77683670910763,20,3,10,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
70,35885.0,50.853141981329244,20,3,11,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
71,35409.0,50.888022819057305,20,3,12,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
72,35891.0,51.02184391630214,20,3,13,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
73,35034.0,52.98164640063938,20,3,14,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
74,35883.0,51.26098709695399,20,3,15,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
75,35885.0,50.556806465096834,20,3,16,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
76,35841.0,51.920454228397645,20,3,17,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
77,35892.0,51.78641479995542,20,3,18,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
78,35876.0,50.44536737651912,20,3,19,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
79,35685.0,51.42398766988931,20,3,20,1,com.squareup.okio.benchmarks.BufferCursorSeekBenchmark.seekForward
80,23831.0,619.7837690403256,20,3,1,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
81,27779.0,563.4188415709709,20,3,2,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
82,28112.0,435.5774402390438,20,3,3,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
83,27258.0,567.8719641939981,20,3,4,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
84,23893.0,643.3360398443059,20,3,5,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
85,22935.0,672.0949204272945,20,3,6,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
86,24077.0,656.6771192424305,20,3,7,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
87,26435.0,576.040325326272,20,3,8,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
88,27371.0,489.2949472068978,20,3,9,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
89,27495.0,464.529769048918,20,3,10,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
90,27888.0,478.5279331612163,20,3,11,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
91,28065.0,453.7872795296633,20,3,12,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
92,27870.0,454.3497308934338,20,3,13,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
93,27700.0,463.1872202166065,20,3,14,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
94,25543.0,561.9379477743413,20,3,15,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
95,40187.0,405.3305048896409,20,3,16,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
96,40002.0,407.78698565071744,20,3,17,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
97,24336.0,611.2732166337936,20,3,18,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
98,28287.0,525.3039205288649,20,3,19,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
99,27700.0,538.3039350180505,20,3,20,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.cold
100,303325.0,34645.90181818182,20,3,1,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.threads16hot
101,302742.0,35085.248244379705,20,3,2,1,com.squareup.okio.benchmarks.BufferPerformanceBenchmark.threads16hot
