m_id,n,ns_per_op,it_pos,fork_pos,b_name
0,49631.0,157.31605246720798,1,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
1,50109.0,152.3677183739448,2,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
2,50161.0,151.6275991307988,3,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
3,50129.0,156.84228689979852,4,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
4,50075.0,149.69212181727409,5,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
5,50072.0,156.76915242051447,6,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
6,50136.0,153.78362853039732,7,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
7,50145.0,154.5079668960016,8,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
8,50112.0,158.80799010217115,9,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
9,49539.0,156.70734169038536,10,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
10,49603.0,160.68032175473255,11,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
11,49506.0,155.2236092594837,12,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
12,49565.0,153.32730757591042,13,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
13,49584.0,153.92072039367537,14,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
14,50916.0,149.7745502396103,15,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
15,50861.0,149.4008572383555,16,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
16,50978.0,145.73863235121033,17,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
17,50858.0,151.87435605017893,18,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
18,50946.0,144.8807364660621,19,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
19,50861.0,156.22146634946225,20,1,org.jctools.jmh.baseline.BaselinePingPong.pingpong
20,22816.0,34.946046633941094,1,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
21,22701.0,34.5784326681644,2,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
22,22820.0,34.600788781770376,3,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
23,22843.0,34.701352711990545,4,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
24,22787.0,34.806029753807,5,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
25,22797.0,35.382857393516694,6,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
26,22798.0,34.70817615580314,7,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
27,22821.0,35.16620656412953,8,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
28,22811.0,34.87462189294639,9,1,org.jctools.jmh.baseline.ConcQOfferPoll.offerAndPoll
