m_id,n,ns_per_op,it_pos,fork_pos,b_name
0,23137.0,398.71871893503913,1,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
1,32832.0,598.7579800194932,2,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
2,32823.0,458.9007403345215,3,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
3,32837.0,458.7938910375491,4,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
4,32740.0,533.5423946243128,5,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
5,32752.0,359.013922813874,6,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
6,32750.0,362.924,7,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
7,36184.0,623.2749281450365,8,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
8,31261.0,351.94782636511945,9,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
9,32779.0,419.4156624668233,10,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
10,32748.0,328.77238304629293,11,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
11,32757.0,23523.91556003297,12,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
12,32750.0,354.5239389312977,13,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
13,32803.0,358.97756302777185,14,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
14,32758.0,359.6939068319189,15,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
15,32762.0,24903.086014284843,16,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
16,32753.0,48610.351937227126,17,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
17,32793.0,427.0241210014332,18,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
18,32770.0,364.6443088190418,19,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
19,32781.0,378.6274061193984,20,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latency
20,33669.0,32.06709435979685,1,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
21,33567.0,33.295260225817024,2,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
22,33599.0,32.47486532337272,3,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
23,33703.0,32.15960003560514,4,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
24,33698.0,33.56095317229509,5,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
25,33717.0,34.1852181392176,6,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
26,33719.0,32.03357157685578,7,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
27,33706.0,32.113896635613834,8,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
28,33739.0,32.97830403983521,9,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
29,33603.0,32.0563640151177,10,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
30,33646.0,32.04918861083041,11,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
31,33681.0,33.138772601763606,12,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
32,33697.0,32.72172596967089,13,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
33,33623.0,33.56815275258008,14,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
34,33687.0,32.242378365541605,15,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
35,33709.0,32.54095345456703,16,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
36,33694.0,34.81892918620526,17,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
37,33640.0,34.22788347205707,18,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
38,33478.0,35.231375828902564,19,1,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.latencyBaseline
