Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,45,0.011284650236659508,0.05052147533325065,-0.02817942022776421
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations,42,0.03447884309560042,0.11450251751788024,-0.010831178275817033
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,43,0.004325294354733601,0.013133159956097862,-0.0026334299048138593
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,46,0.0015428399608177859,0.006572589602355379,-0.00759735552942803
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,22,0.0095412948050485,0.025740471136908086,-0.007016174869175579
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,30,-0.0002791652452796126,0.0066351172227200345,-0.006338327448068222
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,30,-0.02779103414843741,0.014355394499439024,-0.04833973043797218
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,54,-0.0219176160289371,0.0010036231045644022,-0.02641674085954452
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,42,-0.0021191720487323475,-0.0004020786332007952,-0.003346742537099722
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,44,-0.005189842619183333,-0.001095863167534715,-0.007758742292860704
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,45,0.04212624145419125,0.16127226127555638,-0.0461914369696218
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,42,0.028508278933535143,0.05764647340390038,0.0075478094814422966
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,43,0.0605578682637725,0.18760464643904745,-0.005165555269156833
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAnnotations,46,-0.04501795493543324,-0.11310066850738512,-0.015931320604137055
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,22,0.009786721290944858,0.06302889823882614,-0.01870867602134037
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,30,-0.007276468405567176,0.013476360386435656,-0.0220861141392944
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,30,0.017424736553428317,0.04113946887594158,-0.0009151091211651534
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,54,-0.03753703374484172,-0.004546666733812543,-0.06261162176579918
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,42,-0.03528337718858941,-0.005156537655524501,-0.06450170977542392
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,44,-0.008041534012848016,0.004369184047804981,-0.01766971865239073
