Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,45,-0.03779952004617785,-0.05915323912044908,-0.022021803746912615
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,42,0.0,0.07456281511391238,-0.0480034136890253
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,43,-0.029168531350877328,-0.010661504820568593,-0.07651649542035885
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,46,0.03627572703234876,0.05662807453416155,0.013754836504413382
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,22,0.0,0.03380567239718352,0.003292910400899142
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,30,0.037366685596421645,0.024135521251045195,0.026702010440562925
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,30,0.014829316403572879,0.01784824497982502,-0.01159669895433161
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,54,0.06913241565517154,0.0033424192460183113,-0.04968932312545998
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,42,-0.002864877110761502,0.09628811524995132,-0.05409295825247492
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,44,-0.011291946949242362,0.17102049924541138,-0.01757025640457275
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,45,0.18122209268247716,0.15719086773023072,-0.019647495067962647
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,42,0.00969740302443406,0.03656812828778924,-0.006381876007953067
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,43,-0.019861375271690077,-0.011497576949775172,-0.013052230610992588
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,46,-0.034715692517860476,-0.017704179232954014,-0.035730742103642146
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,22,-0.0053351033106489,-0.008847805674598634,-0.007632563446473838
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,30,-0.002621967113104148,0.008541165005306734,-0.006909237846240551
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,30,-0.006267283941888697,0.000667320139582246,-0.008970389915108382
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,54,0.06425957142986558,0.14714796156811702,0.05294693400625962
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,42,0.13411208308182557,0.10398664427470691,0.034176754359287
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,44,-0.0004886896343168048,0.04182914342085507,-0.02919638520628213
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,45,0.0646354384026468,0.05840270197246569,0.022856856926006815
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,42,-0.015343593451703847,0.016266288489354068,-0.039025840502943256
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,43,-0.0019399678965999897,0.007192807101850273,-0.0014192525914630354
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,46,-0.0032138260169777655,-0.08278976900813656,-0.004805185410620723
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,22,0.005397210431186457,0.02684505558974935,0.004698677775368564
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,30,-0.0031668987761863826,0.0,-0.009021719543778324
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,30,0.0024449498267093226,0.012797775398670766,0.0014151787804953166
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,54,-0.017024349473108814,2.031778406637281,-0.03227944518872869
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,42,-0.002444657667219228,0.13272388003295096,-0.004222788693098578
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,44,0.02780396673597355,0.09281149071398936,-0.044780674974519354
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,45,-0.03422987455203248,0.06227225988088619,-0.036141707861698034
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,42,0.005549148345548038,0.07452768808139525,-0.00472976660015611
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,43,-0.026960140973385442,0.005580803167917431,-0.005378285807328666
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,46,-0.07661661000050891,0.10384784316325406,-0.007758419540091417
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,22,-9.551112814106857e-06,0.0,-0.0010346684460060891
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,30,0.00626322070835504,0.04465719092510049,-0.0075287936992978685
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,30,-0.04850067613433851,0.009775441192484406,-0.12092992569020046
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,54,-0.06581860751903691,-0.008682691151875808,-0.11194851261819802
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,42,0.020946516825722232,0.04363618616153289,-0.002423215460827555
