Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 15)",0.033498890928111404,15,57.49005384394194,55.71656718483412,59.144309439245234
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(2, 9)",0.12963885626915753,18,1464099.940341794,1346035.3244529564,1581079.3698816265
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 17)",0.07868422442683146,17,3854737.8590176515,3642038.8931234744,4089294.9787624255
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 14)",0.0859099585777577,14,3710495.6589107527,3437135.960456297,4049947.0833185436
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(2, 19)",0.11387897192288539,38,5313908.143266583,5023682.65190743,5631398.185544033
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(2, 15)",0.09246692301551807,30,5304024.559503306,5006956.160056558,5638260.2095552115
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(2, 15)",0.08813571282093952,30,1532315.2874107142,1443233.7501450921,1633861.2914958557
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(2, 3)",0.07244168649307467,6,1440935.9463852076,1319498.6233384504,1558581.2116164705
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(2, 9)",0.0960606681440407,18,1707395.1640939927,1601724.4074253796,1817108.3739107242
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(2, 8)",0.05883068072038055,16,1757478.0683403565,1642661.6861014115,1888965.7361560904
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 15)",0.08619915383929075,15,7313783.223768434,6956675.297335216,7731263.686626651
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(2, 9)",0.07392802716829648,18,8088583.488341267,7632738.291476336,8558265.152552549
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(1, 17)",0.059110878558079616,17,8955527.487091795,8506381.39664195,9437445.670925861
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(1, 14)",0.04762640472324132,14,8852173.218861848,8347823.351302705,9494841.93966871
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(2, 19)",0.013295551097963597,38,1841521.4059160952,1825238.8437999068,1859188.4575112304
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(2, 15)",0.05308919820483299,30,952017.3657063398,919172.1084804137,990382.1249633785
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(2, 15)",0.03410149261237488,30,41.56891398154787,37.806949875527636,50.96749254804856
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(2, 3)",0.15037287520093845,6,1936587.138749676,1667017.0254252274,2209318.7440391565
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(2, 9)",0.09807935135751208,18,2162585.8860534322,2013786.2672104717,2318307.6083569783
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(2, 8)",0.05726673267040261,16,1354632.3748246795,1287805.5729472185,1427791.8642842127
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(1, 15)",0.10067007312856006,15,1300651.4813703035,1142794.7731187865,1568051.1048141168
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(2, 9)",0.044006511255190284,18,1400964.33439993,1347931.2555826122,1467242.3698452483
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(1, 17)",0.002494230258673221,17,5.071567813704168,5.051166468376088,5.099311242839256
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(1, 14)",0.006211630430228871,14,5.089304758779804,5.057646385581895,5.124155916282399
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(2, 19)",0.010630667263822446,38,5.954130931593947,5.904358312236843,6.0003617088014565
